Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
1;Brenden Aaronson;usUSA;MF;at RB Salzburg;20;2000;7.9;0;0;0;3;13;5;20;2;6;0;0;0;44;6;22
2;Malik Abubakari;ghGHA;FW;se Malmö;21;2000;1.3;0;0;0;5;4;0;1;0;0;0;0;0;4;2;2
3;Marcos Acuña;arARG;DF;es Sevilla;29;1991;4.2;0;0;0;11;6;0;27;7;10;0;0;0;33;1;5
4;Tyler Adams;usUSA;MF;de RB Leipzig;22;1999;3.3;4;0;0;6;2;0;2;2;4;0;0;0;20;1;3
5;Chikwubuike Adamu;atAUT;FW;at RB Salzburg;20;2001;2.6;0;0;0;10;2;1;3;0;2;0;0;0;15;5;10
6;Antonio Adán;esESP;GK;pt Sporting CP;34;1987;7.0;1;0;0;0;1;0;0;0;0;0;0;0;6;3;0
7;Edmund Addo;ghGHA;MF;md Sheriff Tiraspol;21;2000;5.4;3;0;0;14;4;0;0;11;9;0;1;0;34;1;5
8;Karim Adeyemi;deGER;FW;at RB Salzburg;19;2002;6.7;2;0;0;9;18;1;4;2;0;4;0;0;19;4;8
9;Michel Aebischer;chSUI;MF;ch Young Boys;24;1997;5.6;2;0;0;5;4;0;19;10;4;0;0;0;43;0;7
10;Sergio Agüero;arARG;FW;es Barcelona;33;1988;0.2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
11;Anel Ahmedhodzic;baBIH;DF;se Malmö;22;1999;4.6;1;1;0;6;0;0;0;13;2;0;0;0;23;5;6
12;Manuel Akanji;chSUI;DF;de Dortmund;26;1995;5.0;0;0;0;1;2;0;1;9;6;0;0;0;30;6;6
13;Nathan Aké;nlNED;DF;eng Manchester City;26;1995;3.6;1;0;0;3;4;2;0;12;2;0;0;0;12;13;10
14;David Alaba;atAUT;DF;es Real Madrid;29;1992;11.5;1;0;0;9;1;0;16;11;9;0;0;0;39;7;10
15;Jordi Alba;esESP;DF,FW;es Barcelona;32;1989;4.1;0;0;0;4;2;1;27;6;2;0;0;0;23;2;0
16;Raúl Albiol;esESP;DF;es Villarreal;35;1985;11.6;1;0;0;9;6;0;1;7;4;0;0;0;58;16;13
17;Paco Alcácer;esESP;FW;es Villarreal;27;1993;0.8;0;0;0;1;0;0;0;0;1;0;0;0;1;0;4
18;Thiago Alcántara;esESP;MF;eng Liverpool;30;1991;6.7;1;0;0;5;7;0;1;16;11;0;0;0;56;7;11
19;Trent Alexander-Arnold;engENG;DF;eng Liverpool;22;1998;8.8;2;0;0;5;6;0;81;9;7;0;0;0;73;1;4
20;Alisson;brBRA;GK;eng Liverpool;28;1992;13.0;0;0;0;0;0;0;0;0;1;0;0;0;24;0;0
21;André Almeida;ptPOR;DF,MF;pt Benfica;30;1990;2.6;0;0;0;2;5;0;3;3;5;0;0;0;11;7;3
22;Marcos Alonso;esESP;DF,MF;eng Chelsea;30;1990;6.1;1;0;0;11;7;0;31;8;6;0;0;0;31;9;9
23;Éder Álvarez Balanta;coCOL;MF;be Club Brugge;28;1993;4.5;4;0;0;18;3;0;1;12;8;0;0;0;48;9;1
24;Edson Álvarez;mxMEX;MF;nl Ajax;23;1997;6.2;4;0;0;17;6;2;1;4;13;0;0;0;30;17;6
25;Mohamed Aly Camara;gnGUI;DF;ch Young Boys;23;1997;3.8;0;0;0;4;0;0;0;7;4;0;0;0;26;5;1
26;Benjamin André;frFRA;MF;fr Lille;30;1990;7.0;3;0;0;9;10;1;5;8;8;0;0;0;62;25;24
27;Oleksandr Andriyevskyi;uaUKR;MF;ua Dynamo Kyiv;27;1994;1.1;0;0;0;0;1;0;0;2;1;0;0;0;5;0;0
28;Angeliño;esESP;DF;de RB Leipzig;24;1997;4.8;2;1;1;4;2;0;28;5;1;0;0;0;24;0;4
29;Marcos Antônio;brBRA;MF;ua Shakhtar;21;2000;2.8;1;0;0;3;3;0;0;3;4;0;0;0;17;0;4
30;Antony;brBRA;FW;nl Ajax;21;2000;6.4;1;0;0;5;9;4;21;3;7;0;0;0;41;6;4
31;Ronald Araújo;uyURU;DF;es Barcelona;22;1999;4.1;1;0;0;1;5;2;3;4;8;0;0;0;23;10;5
32;Danilo Arboleda;coCOL;DF;md Sheriff Tiraspol;26;1995;6.0;1;0;0;1;1;0;0;12;2;0;0;0;13;3;3
33;Maximilian Arnold;deGER;MF;de Wolfsburg;27;1994;6.0;3;0;0;10;9;0;21;5;6;0;0;0;42;8;2
34;Kepa Arrizabalaga;esESP;GK;eng Chelsea;26;1994;1.0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
35;Marco Asensio;esESP;FW,MF;es Real Madrid;25;1996;2.3;0;0;0;2;0;0;4;0;2;0;0;0;11;1;1
36;Giorgos Athanasiadis;grGRE;GK;md Sheriff Tiraspol;28;1993;5.0;0;0;0;0;0;0;0;2;0;0;0;0;4;1;0
37;Ludwig Augustinsson;seSWE;DF;es Sevilla;27;1994;0.9;1;0;0;2;3;0;8;3;0;0;0;0;3;2;3
38;Serge Aurier;ciCIV;DF;es Villarreal;28;1992;1.5;0;0;0;1;1;0;2;4;2;0;0;0;10;4;1
39;Sardar Azmoun;irIRN;FW;ru Zenit;26;1995;3.4;0;0;0;3;1;1;0;2;1;0;0;0;7;11;11
40;César Azpilicueta;esESP;DF;eng Chelsea;31;1989;7.5;2;0;0;9;3;0;18;9;8;0;0;0;35;12;12
41;Eric Bailly;ciCIV;DF;eng Manchester Utd;27;1994;2.0;0;0;0;2;2;0;0;5;2;0;0;0;11;2;2
42;Tiemoué Bakayoko;frFRA;MF,FW;it Milan;26;1994;0.7;1;0;0;1;4;0;0;2;3;0;0;0;5;3;2
43;Ridle Baku;deGER;FW,DF;de Wolfsburg;23;1998;4.6;0;0;0;3;1;0;8;2;6;0;0;0;29;1;3
44;Alejandro Balde;esESP;DF,FW;es Barcelona;17;2003;0.2;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
45;Gareth Bale;wlsWAL;FW;es Real Madrid;32;1989;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
46;David von Ballmoos;chSUI;GK;ch Young Boys;26;1994;3.0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0
47;Fodé Ballo-Touré;snSEN;DF,MF;it Milan;24;1997;1.0;0;0;0;2;2;0;1;3;3;0;0;0;7;3;3
48;Jonathan Bamba;frFRA;MF,FW;fr Lille;25;1996;5.2;3;0;0;7;11;2;23;7;7;1;0;0;34;3;7
49;Nicolò Barella;itITA;MF;it Inter;24;1997;5.5;0;1;0;3;7;0;9;5;6;0;0;0;26;3;2
50;Ross Barkley;engENG;MF;eng Chelsea;27;1993;1.1;0;0;0;0;1;0;8;0;0;0;0;0;9;1;0
51;Wílmar Barrios;coCOL;MF,DF;ru Zenit;27;1993;6.0;1;0;0;7;9;0;2;9;10;0;0;0;50;3;3
52;Gil Bastião Dias;ptPOR;FW;pt Benfica;24;1996;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;Alessandro Bastoni;itITA;DF;it Inter;22;1999;7.4;2;0;0;11;8;0;12;6;5;0;0;0;45;7;8
54;Michy Batshuayi;beBEL;FW;tr Beşiktaş;27;1993;4.3;1;0;0;6;3;7;3;1;3;0;0;0;9;4;7
