Data;Em casa;Visitante;Relatório da Partida;Season;home_goal;away_goal
2002-08-31;Racing Sant;Valladolid;Relatório da Partida;2002;0;1
2002-09-01;Rayo Vallecano;Alavés;Relatório da Partida;2002;2;2
2002-09-01;Barcelona;Atlético Madrid;Relatório da Partida;2002;2;2
2002-09-01;Villarreal;Osasuna;Relatório da Partida;2002;2;2
2002-09-01;Sevilla;Celta Vigo;Relatório da Partida;2002;0;1
2002-09-01;Recreativo;Málaga;Relatório da Partida;2002;2;3
2002-09-01;La Coruña;Betis;Relatório da Partida;2002;2;4
2002-09-01;Mallorca;Valencia;Relatório da Partida;2002;0;2
2002-09-01;Real Sociedad;Athletic Club;Relatório da Partida;2002;4;2
2002-09-02;Real Madrid;Espanyol;Relatório da Partida;2002;2;0
2002-09-14;Málaga;Rayo Vallecano;Relatório da Partida;2002;2;1
2002-09-14;Athletic Club;Barcelona;Relatório da Partida;2002;0;2
2002-09-14;Valencia;Recreativo;Relatório da Partida;2002;3;0
2002-09-14;Osasuna;La Coruña;Relatório da Partida;2002;1;2
2002-09-15;Espanyol;Real Sociedad;Relatório da Partida;2002;1;3
2002-09-15;Celta Vigo;Mallorca;Relatório da Partida;2002;3;1
2002-09-15;Atlético Madrid;Sevilla;Relatório da Partida;2002;1;1
2002-09-15;Alavés;Racing Sant;Relatório da Partida;2002;0;1
2002-09-15;Valladolid;Villarreal;Relatório da Partida;2002;1;0
2002-09-21;Real Madrid;Osasuna;Relatório da Partida;2002;4;1
2002-09-21;La Coruña;Valladolid;Relatório da Partida;2002;2;0
2002-09-21;Barcelona;Espanyol;Relatório da Partida;2002;2;0
2002-09-22;Sevilla;Athletic Club;Relatório da Partida;2002;1;1
2002-09-22;Real Sociedad;Betis;Relatório da Partida;2002;3;3
2002-09-22;Recreativo;Celta Vigo;Relatório da Partida;2002;0;3
2002-09-22;Villarreal;Alavés;Relatório da Partida;2002;0;1
2002-09-22;Rayo Vallecano;Racing Sant;Relatório da Partida;2002;3;1
2002-09-22;Málaga;Valencia;Relatório da Partida;2002;2;2
2002-09-22;Mallorca;Atlético Madrid;Relatório da Partida;2002;0;4
2002-09-28;Valladolid;Real Madrid;Relatório da Partida;2002;1;1
2002-09-28;Alavés;La Coruña;Relatório da Partida;2002;1;2
2002-09-28;Betis;Barcelona;Relatório da Partida;2002;3;0
2002-09-29;Osasuna;Real Sociedad;Relatório da Partida;2002;2;3
2002-09-29;Athletic Club;Mallorca;Relatório da Partida;2002;0;2
2002-09-29;Racing Sant;Villarreal;Relatório da Partida;2002;1;1
2002-09-29;Valencia;Rayo Vallecano;Relatório da Partida;2002;3;0
2002-09-29;Atlético Madrid;Recreativo;Relatório da Partida;2002;1;1
2002-09-29;Celta Vigo;Málaga;Relatório da Partida;2002;2;2
2002-09-29;Espanyol;Sevilla;Relatório da Partida;2002;0;0
2002-10-05;Recreativo;Athletic Club;Relatório da Partida;2002;1;2
2002-10-06;Barcelona;Osasuna;Relatório da Partida;2002;2;2
