Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2008-08-30;Espanyol;1–0;Valladolid;Relatório da Partida;2008;1;0
2008-08-30;Valencia;3–0;Mallorca;Relatório da Partida;2008;3;0
2008-08-31;Numancia;1–0;Barcelona;Relatório da Partida;2008;1;0
2008-08-31;Athletic Club;1–3;Almería;Relatório da Partida;2008;1;3
2008-08-31;Sporting Gijón;1–2;Getafe;Relatório da Partida;2008;1;2
2008-08-31;La Coruña;2–1;Real Madrid;Relatório da Partida;2008;2;1
2008-08-31;Osasuna;1–1;Villarreal;Relatório da Partida;2008;1;1
2008-08-31;Atlético Madrid;4–0;Málaga;Relatório da Partida;2008;4;0
2008-08-31;Racing Sant;1–1;Sevilla;Relatório da Partida;2008;1;1
2008-08-31;Betis;0–1;Recreativo;Relatório da Partida;2008;0;1
2008-09-13;Sevilla;4–3;Sporting Gijón;Relatório da Partida;2008;4;3
2008-09-13;Barcelona;1–1;Racing Sant;Relatório da Partida;2008;1;1
2008-09-13;Valladolid;2–1;Atlético Madrid;Relatório da Partida;2008;2;1
2008-09-14;Recreativo;0–1;Espanyol;Relatório da Partida;2008;0;1
2008-09-14;Mallorca;1–1;Osasuna;Relatório da Partida;2008;1;1
2008-09-14;Villarreal;1–0;La Coruña;Relatório da Partida;2008;1;0
2008-09-14;Almería;2–2;Valencia;Relatório da Partida;2008;2;2
2008-09-14;Real Madrid;4–3;Numancia;Relatório da Partida;2008;4;3
2008-09-14;Málaga;0–0;Athletic Club;Relatório da Partida;2008;0;0
2008-09-14;Getafe;0–0;Betis;Relatório da Partida;2008;0;0
2008-09-20;Espanyol;1–1;Getafe;Relatório da Partida;2008;1;1
2008-09-20;Atlético Madrid;4–0;Recreativo;Relatório da Partida;2008;4;0
2008-09-21;Valencia;1–0;Osasuna;Relatório da Partida;2008;1;0
2008-09-21;Sporting Gijón;1–6;Barcelona;Relatório da Partida;2008;1;6
2008-09-21;Athletic Club;2–0;Valladolid;Relatório da Partida;2008;2;0
2008-09-21;Almería;1–0;Málaga;Relatório da Partida;2008;1;0
2008-09-21;Racing Sant;0–2;Real Madrid;Relatório da Partida;2008;0;2
2008-09-21;Betis;0–0;Sevilla;Relatório da Partida;2008;0;0
2008-09-21;Numancia;1–2;Villarreal;Relatório da Partida;2008;1;2
2008-09-21;La Coruña;0–0;Mallorca;Relatório da Partida;2008;0;0
2008-09-24;Getafe;1–2;Atlético Madrid;Relatório da Partida;2008;1;2
