Data;Em casa;Visitante;Relatório da Partida;Season;home_goal;away_goal
2002-08-02;Guingamp;Lyon;Relatório da Partida;2002;3;3
2002-08-03;Strasbourg;Ajaccio;Relatório da Partida;2002;1;1
2002-08-03;Paris S-G;Auxerre;Relatório da Partida;2002;1;0
2002-08-03;Nice;Le Havre;Relatório da Partida;2002;1;2
2002-08-03;Sedan;Sochaux;Relatório da Partida;2002;0;0
2002-08-03;Troyes;Monaco;Relatório da Partida;2002;0;4
2002-08-03;Marseille;Nantes;Relatório da Partida;2002;0;2
2002-08-03;Bastia;Lens;Relatório da Partida;2002;1;1
2002-08-03;Montpellier;Rennes;Relatório da Partida;2002;1;0
2002-08-03;Lille;Bordeaux;Relatório da Partida;2002;0;3
2002-08-08;Auxerre;Montpellier;Relatório da Partida;2002;2;0
2002-08-09;Bordeaux;Paris S-G;Relatório da Partida;2002;0;0
2002-08-10;Lens;Sochaux;Relatório da Partida;2002;1;1
2002-08-10;Monaco;Marseille;Relatório da Partida;2002;0;1
2002-08-10;Nice;Strasbourg;Relatório da Partida;2002;4;0
2002-08-10;Ajaccio;Guingamp;Relatório da Partida;2002;0;2
2002-08-10;Lyon;Sedan;Relatório da Partida;2002;6;1
2002-08-10;Nantes;Bastia;Relatório da Partida;2002;1;0
2002-08-10;Rennes;Troyes;Relatório da Partida;2002;0;0
2002-08-10;Le Havre;Lille;Relatório da Partida;2002;0;0
2002-08-16;Marseille;Lyon;Relatório da Partida;2002;1;1
2002-08-17;Montpellier;Bordeaux;Relatório da Partida;2002;0;1
2002-08-17;Strasbourg;Le Havre;Relatório da Partida;2002;1;1
2002-08-17;Guingamp;Rennes;Relatório da Partida;2002;3;0
2002-08-17;Lille;Nice;Relatório da Partida;2002;0;3
2002-08-17;Bastia;Monaco;Relatório da Partida;2002;1;0
2002-08-17;Sochaux;Nantes;Relatório da Partida;2002;4;2
2002-08-17;Paris S-G;Ajaccio;Relatório da Partida;2002;2;2
2002-08-17;Sedan;Lens;Relatório da Partida;2002;0;1
2002-08-17;Troyes;Auxerre;Relatório da Partida;2002;1;2
2002-08-23;Lille;Troyes;Relatório da Partida;2002;0;0
2002-08-24;Nantes;Lens;Relatório da Partida;2002;2;2
2002-08-24;Auxerre;Guingamp;Relatório da Partida;2002;2;1
2002-08-24;Nice;Montpellier;Relatório da Partida;2002;2;1
2002-08-24;Bordeaux;Strasbourg;Relatório da Partida;2002;1;2
2002-08-24;Monaco;Sochaux;Relatório da Partida;2002;1;0
2002-08-24;Rennes;Marseille;Relatório da Partida;2002;1;3
2002-08-24;Ajaccio;Sedan;Relatório da Partida;2002;1;0
2002-08-24;Lyon;Bastia;Relatório da Partida;2002;4;1
2002-08-25;Le Havre;Paris S-G;Relatório da Partida;2002;0;1
2002-08-31;Paris S-G;Nice;Relatório da Partida;2002;1;1
2002-08-31;Sochaux;Lyon;Relatório da Partida;2002;2;1
2002-08-31;Troyes;Ajaccio;Relatório da Partida;2002;1;0
2002-08-31;Guingamp;Bordeaux;Relatório da Partida;2002;0;0
2002-08-31;Strasbourg;Lille;Relatório da Partida;2002;2;2
2002-08-31;Lens;Monaco;Relatório da Partida;2002;1;0
2002-08-31;Sedan;Nantes;Relatório da Partida;2002;1;0
2002-08-31;Bastia;Rennes;Relatório da Partida;2002;3;1
2002-08-31;Montpellier;Le Havre;Relatório da Partida;2002;0;0
2002-09-01;Marseille;Auxerre;Relatório da Partida;2002;0;0
2002-09-10;Lyon;Lens;Relatório da Partida;2002;1;0
2002-09-11;Rennes;Sochaux;Relatório da Partida;2002;2;2
2002-09-11;Ajaccio;Montpellier;Relatório da Partida;2002;0;0
2002-09-11;Lille;Paris S-G;Relatório da Partida;2002;2;1
2002-09-11;Strasbourg;Sedan;Relatório da Partida;2002;1;1
2002-09-11;Le Havre;Guingamp;Relatório da Partida;2002;1;2
2002-09-11;Auxerre;Bastia;Relatório da Partida;2002;1;0
2002-09-11;Monaco;Nantes;Relatório da Partida;2002;2;1
2002-09-11;Bordeaux;Troyes;Relatório da Partida;2002;1;0
2002-09-11;Nice;Marseille;Relatório da Partida;2002;2;0
2002-09-14;Troyes;Le Havre;Relatório da Partida;2002;1;1
2002-09-14;Lens;Rennes;Relatório da Partida;2002;1;0
2002-09-14;Marseille;Bordeaux;Relatório da Partida;2002;2;1
2002-09-14;Paris S-G;Strasbourg;Relatório da Partida;2002;3;0
2002-09-14;Montpellier;Lille;Relatório da Partida;2002;1;0
