Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2002-08-02;Guingamp;3–3;Lyon;Relatório da Partida;2002;3;3
2002-08-03;Troyes;0–4;Monaco;Relatório da Partida;2002;0;4
2002-08-03;Montpellier;1–0;Rennes;Relatório da Partida;2002;1;0
2002-08-03;Bastia;1–1;Lens;Relatório da Partida;2002;1;1
2002-08-03;Marseille;0–2;Nantes;Relatório da Partida;2002;0;2
2002-08-03;Lille;0–3;Bordeaux;Relatório da Partida;2002;0;3
2002-08-03;Sedan;0–0;Sochaux;Relatório da Partida;2002;0;0
2002-08-03;Nice;1–2;Le Havre;Relatório da Partida;2002;1;2
2002-08-03;Paris S-G;1–0;Auxerre;Relatório da Partida;2002;1;0
2002-08-03;Strasbourg;1–1;Ajaccio;Relatório da Partida;2002;1;1
2002-08-08;Auxerre;2–0;Montpellier;Relatório da Partida;2002;2;0
2002-08-09;Bordeaux;0–0;Paris S-G;Relatório da Partida;2002;0;0
2002-08-10;Rennes;0–0;Troyes;Relatório da Partida;2002;0;0
2002-08-10;Nantes;1–0;Bastia;Relatório da Partida;2002;1;0
2002-08-10;Lyon;6–1;Sedan;Relatório da Partida;2002;6;1
2002-08-10;Ajaccio;0–2;Guingamp;Relatório da Partida;2002;0;2
2002-08-10;Le Havre;0–0;Lille;Relatório da Partida;2002;0;0
2002-08-10;Nice;4–0;Strasbourg;Relatório da Partida;2002;4;0
2002-08-10;Monaco;0–1;Marseille;Relatório da Partida;2002;0;1
2002-08-10;Lens;1–1;Sochaux;Relatório da Partida;2002;1;1
2002-08-16;Marseille;1–1;Lyon;Relatório da Partida;2002;1;1
2002-08-17;Sedan;0–1;Lens;Relatório da Partida;2002;0;1
2002-08-17;Paris S-G;2–2;Ajaccio;Relatório da Partida;2002;2;2
2002-08-17;Sochaux;4–2;Nantes;Relatório da Partida;2002;4;2
2002-08-17;Bastia;1–0;Monaco;Relatório da Partida;2002;1;0
2002-08-17;Troyes;1–2;Auxerre;Relatório da Partida;2002;1;2
2002-08-17;Guingamp;3–0;Rennes;Relatório da Partida;2002;3;0
2002-08-17;Lille;0–3;Nice;Relatório da Partida;2002;0;3
2002-08-17;Strasbourg;1–1;Le Havre;Relatório da Partida;2002;1;1
2002-08-17;Montpellier;0–1;Bordeaux;Relatório da Partida;2002;0;1
2002-08-23;Lille;0–0;Troyes;Relatório da Partida;2002;0;0
2002-08-24;Ajaccio;1–0;Sedan;Relatório da Partida;2002;1;0
2002-08-24;Rennes;1–3;Marseille;Relatório da Partida;2002;1;3
2002-08-24;Monaco;1–0;Sochaux;Relatório da Partida;2002;1;0
2002-08-24;Lyon;4–1;Bastia;Relatório da Partida;2002;4;1
2002-08-24;Nice;2–1;Montpellier;Relatório da Partida;2002;2;1
2002-08-24;Auxerre;2–1;Guingamp;Relatório da Partida;2002;2;1
2002-08-24;Bordeaux;1–2;Strasbourg;Relatório da Partida;2002;1;2
2002-08-24;Nantes;2–2;Lens;Relatório da Partida;2002;2;2
2002-08-25;Le Havre;0–1;Paris S-G;Relatório da Partida;2002;0;1
2002-08-31;Paris S-G;1–1;Nice;Relatório da Partida;2002;1;1
