Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2012-08-10;Montpellier;1–1;Toulouse;Relatório da Partida;2012;1;1
2012-08-11;Nice;0–1;Ajaccio;Relatório da Partida;2012;0;1
2012-08-11;Paris S-G;2–2;Lorient;Relatório da Partida;2012;2;2
2012-08-11;Sochaux;2–3;Bastia;Relatório da Partida;2012;2;3
2012-08-11;Nancy;1–0;Brest;Relatório da Partida;2012;1;0
2012-08-11;Troyes;0–1;Valenciennes;Relatório da Partida;2012;0;1
2012-08-11;Rennes;0–1;Lyon;Relatório da Partida;2012;0;1
2012-08-11;Evian;2–3;Bordeaux;Relatório da Partida;2012;2;3
2012-08-11;Saint-Étienne;1–2;Lille;Relatório da Partida;2012;1;2
2012-08-12;Reims;0–1;Marseille;Relatório da Partida;2012;0;1
2012-08-17;Lille;1–1;Nancy;Relatório da Partida;2012;1;1
2012-08-18;Toulouse;2–1;Saint-Étienne;Relatório da Partida;2012;2;1
2012-08-18;Bastia;2–1;Reims;Relatório da Partida;2012;2;1
2012-08-18;Brest;1–0;Evian;Relatório da Partida;2012;1;0
2012-08-18;Valenciennes;0–0;Nice;Relatório da Partida;2012;0;0
2012-08-18;Lorient;2–1;Montpellier;Relatório da Partida;2012;2;1
2012-08-18;Lyon;4–1;Troyes;Relatório da Partida;2012;4;1
2012-08-19;Ajaccio;0–0;Paris S-G;Relatório da Partida;2012;0;0
2012-08-19;Marseille;2–0;Sochaux;Relatório da Partida;2012;2;0
2012-08-19;Bordeaux;1–0;Rennes;Relatório da Partida;2012;1;0
2012-08-24;Evian;1–1;Lyon;Relatório da Partida;2012;1;1
2012-08-25;Nice;2–2;Lille;Relatório da Partida;2012;2;2
2012-08-25;Nancy;0–1;Toulouse;Relatório da Partida;2012;0;1
2012-08-25;Troyes;2–2;Lorient;Relatório da Partida;2012;2;2
2012-08-25;Reims;1–0;Sochaux;Relatório da Partida;2012;1;0
2012-08-25;Valenciennes;3–0;Ajaccio;Relatório da Partida;2012;3;0
2012-08-25;Rennes;3–2;Bastia;Relatório da Partida;2012;3;2
2012-08-26;Paris S-G;0–0;Bordeaux;Relatório da Partida;2012;0;0
2012-08-26;Saint-Étienne;4–0;Brest;Relatório da Partida;2012;4;0
2012-08-26;Montpellier;0–1;Marseille;Relatório da Partida;2012;0;1
2012-09-01;Toulouse;1–1;Reims;Relatório da Partida;2012;1;1
2012-09-01;Bastia;0–3;Saint-Étienne;Relatório da Partida;2012;0;3
2012-09-01;Lyon;3–2;Valenciennes;Relatório da Partida;2012;3;2
2012-09-01;Lorient;3–0;Nancy;Relatório da Partida;2012;3;0
2012-09-01;Ajaccio;2–0;Evian;Relatório da Partida;2012;2;0
2012-09-01;Brest;2–1;Troyes;Relatório da Partida;2012;2;1
2012-09-01;Sochaux;1–3;Montpellier;Relatório da Partida;2012;1;3
2012-09-02;Marseille;3–1;Rennes;Relatório da Partida;2012;3;1
2012-09-02;Lille;1–2;Paris S-G;Relatório da Partida;2012;1;2
2012-09-02;Bordeaux;1–1;Nice;Relatório da Partida;2012;1;1
2012-09-14;Reims;3–1;Montpellier;Relatório da Partida;2012;3;1
2012-09-14;Paris S-G;2–0;Toulouse;Relatório da Partida;2012;2;0
2012-09-15;Saint-Étienne;0–1;Sochaux;Relatório da Partida;2012;0;1
2012-09-15;Evian;3–0;Bastia;Relatório da Partida;2012;3;0
2012-09-15;Valenciennes;0–0;Bordeaux;Relatório da Partida;2012;0;0
2012-09-15;Troyes;1–1;Lille;Relatório da Partida;2012;1;1
2012-09-15;Nice;4–2;Brest;Relatório da Partida;2012;4;2
2012-09-16;Rennes;1–2;Lorient;Relatório da Partida;2012;1;2
2012-09-16;Lyon;2–0;Ajaccio;Relatório da Partida;2012;2;0
2012-09-16;Nancy;0–1;Marseille;Relatório da Partida;2012;0;1
2012-09-21;Montpellier;1–1;Saint-Étienne;Relatório da Partida;2012;1;1
2012-09-22;Reims;2–0;Nancy;Relatório da Partida;2012;2;0
2012-09-22;Sochaux;3–1;Troyes;Relatório da Partida;2012;3;1
2012-09-22;Brest;2–1;Valenciennes;Relatório da Partida;2012;2;1
2012-09-22;Bastia;0–4;Paris S-G;Relatório da Partida;2012;0;4
2012-09-22;Lorient;1–1;Nice;Relatório da Partida;2012;1;1
2012-09-22;Toulouse;2–2;Rennes;Relatório da Partida;2012;2;2
2012-09-23;Marseille;1–0;Evian;Relatório da Partida;2012;1;0
2012-09-23;Bordeaux;2–2;Ajaccio;Relatório da Partida;2012;2;2
2012-09-23;Lille;1–1;Lyon;Relatório da Partida;2012;1;1
2012-09-28;Rennes;2–0;Lille;Relatório da Partida;2012;2;0
2012-09-29;Paris S-G;2–0;Sochaux;Relatório da Partida;2012;2;0
2012-09-29;Troyes;0–2;Toulouse;Relatório da Partida;2012;0;2
2012-09-29;Ajaccio;1–0;Brest;Relatório da Partida;2012;1;0
2012-09-29;Nancy;0–2;Montpellier;Relatório da Partida;2012;0;2
2012-09-29;Nice;2–2;Bastia;Relatório da Partida;2012;2;2
2012-09-29;Evian;1–1;Lorient;Relatório da Partida;2012;1;1
2012-09-30;Valenciennes;4–1;Marseille;Relatório da Partida;2012;4;1
2012-09-30;Lyon;0–2;Bordeaux;Relatório da Partida;2012;0;2
2012-09-30;Saint-Étienne;0–0;Reims;Relatório da Partida;2012;0;0
2012-10-05;Saint-Étienne;4–0;Nancy;Relatório da Partida;2012;4;0
2012-10-06;Reims;3–1;Nice;Relatório da Partida;2012;3;1
2012-10-06;Montpellier;2–3;Evian;Relatório da Partida;2012;2;3
2012-10-06;Lille;2–0;Ajaccio;Relatório da Partida;2012;2;0
2012-10-06;Toulouse;2–2;Valenciennes;Relatório da Partida;2012;2;2
2012-10-06;Sochaux;0–1;Rennes;Relatório da Partida;2012;0;1
2012-10-06;Bastia;3–2;Troyes;Relatório da Partida;2012;3;2
