Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2017-08-11;Arsenal;4–3;Leicester City;Relatório da Partida;2017;4;3
2017-08-12;Watford;3–3;Liverpool;Relatório da Partida;2017;3;3
2017-08-12;Crystal Palace;0–3;Huddersfield;Relatório da Partida;2017;0;3
2017-08-12;West Brom;1–0;Bournemouth;Relatório da Partida;2017;1;0
2017-08-12;Chelsea;2–3;Burnley;Relatório da Partida;2017;2;3
2017-08-12;Everton;1–0;Stoke City;Relatório da Partida;2017;1;0
2017-08-12;Southampton;0–0;Swansea City;Relatório da Partida;2017;0;0
2017-08-12;Brighton;0–2;Manchester City;Relatório da Partida;2017;0;2
2017-08-13;Newcastle Utd;0–2;Tottenham;Relatório da Partida;2017;0;2
2017-08-13;Manchester Utd;4–0;West Ham;Relatório da Partida;2017;4;0
2017-08-19;Swansea City;0–4;Manchester Utd;Relatório da Partida;2017;0;4
2017-08-19;Bournemouth;0–2;Watford;Relatório da Partida;2017;0;2
2017-08-19;Southampton;3–2;West Ham;Relatório da Partida;2017;3;2
2017-08-19;Leicester City;2–0;Brighton;Relatório da Partida;2017;2;0
2017-08-19;Burnley;0–1;West Brom;Relatório da Partida;2017;0;1
2017-08-19;Liverpool;1–0;Crystal Palace;Relatório da Partida;2017;1;0
2017-08-19;Stoke City;1–0;Arsenal;Relatório da Partida;2017;1;0
2017-08-20;Huddersfield;1–0;Newcastle Utd;Relatório da Partida;2017;1;0
2017-08-20;Tottenham;1–2;Chelsea;Relatório da Partida;2017;1;2
2017-08-21;Manchester City;1–1;Everton;Relatório da Partida;2017;1;1
2017-08-26;Bournemouth;1–2;Manchester City;Relatório da Partida;2017;1;2
2017-08-26;Huddersfield;0–0;Southampton;Relatório da Partida;2017;0;0
2017-08-26;Watford;0–0;Brighton;Relatório da Partida;2017;0;0
2017-08-26;Crystal Palace;0–2;Swansea City;Relatório da Partida;2017;0;2
2017-08-26;Newcastle Utd;3–0;West Ham;Relatório da Partida;2017;3;0
2017-08-26;Manchester Utd;2–0;Leicester City;Relatório da Partida;2017;2;0
2017-08-27;Chelsea;2–0;Everton;Relatório da Partida;2017;2;0
2017-08-27;West Brom;1–1;Stoke City;Relatório da Partida;2017;1;1
2017-08-27;Tottenham;1–1;Burnley;Relatório da Partida;2017;1;1
2017-08-27;Liverpool;4–0;Arsenal;Relatório da Partida;2017;4;0
2017-09-09;Manchester City;5–0;Liverpool;Relatório da Partida;2017;5;0
2017-09-09;Everton;0–3;Tottenham;Relatório da Partida;2017;0;3
2017-09-09;Arsenal;3–0;Bournemouth;Relatório da Partida;2017;3;0
2017-09-09;Leicester City;1–2;Chelsea;Relatório da Partida;2017;1;2
2017-09-09;Brighton;3–1;West Brom;Relatório da Partida;2017;3;1
2017-09-09;Southampton;0–2;Watford;Relatório da Partida;2017;0;2
2017-09-09;Stoke City;2–2;Manchester Utd;Relatório da Partida;2017;2;2
2017-09-10;Burnley;1–0;Crystal Palace;Relatório da Partida;2017;1;0
2017-09-10;Swansea City;0–1;Newcastle Utd;Relatório da Partida;2017;0;1
2017-09-11;West Ham;2–0;Huddersfield;Relatório da Partida;2017;2;0
