Data;Em casa;Visitante;Relatório da Partida;Season;home_goal;away_goal
2002-09-14;Bologna;Roma;Relatório da Partida;2002;2;1
2002-09-14;Como;Empoli;Relatório da Partida;2002;0;2
2002-09-14;Modena;Milan;Relatório da Partida;2002;0;3
2002-09-14;Inter;Torino;Relatório da Partida;2002;1;0
2002-09-15;Lazio;Chievo;Relatório da Partida;2002;2;3
2002-09-15;Juventus;Atalanta;Relatório da Partida;2002;3;0
2002-09-15;Perugia;Reggina;Relatório da Partida;2002;2;0
2002-09-15;Brescia;Piacenza;Relatório da Partida;2002;1;2
2002-09-15;Udinese;Parma;Relatório da Partida;2002;1;1
2002-09-21;Empoli;Juventus;Relatório da Partida;2002;0;2
2002-09-21;Milan;Perugia;Relatório da Partida;2002;3;0
2002-09-22;Reggina;Inter;Relatório da Partida;2002;1;2
2002-09-22;Atalanta;Bologna;Relatório da Partida;2002;2;2
2002-09-22;Chievo;Brescia;Relatório da Partida;2002;1;2
2002-09-22;Parma;Como;Relatório da Partida;2002;2;0
2002-09-22;Piacenza;Udinese;Relatório da Partida;2002;2;0
2002-09-22;Torino;Lazio;Relatório da Partida;2002;0;1
2002-09-22;Roma;Modena;Relatório da Partida;2002;1;2
2002-09-28;Lazio;Milan;Relatório da Partida;2002;1;1
2002-09-28;Juventus;Parma;Relatório da Partida;2002;2;2
2002-09-29;Udinese;Atalanta;Relatório da Partida;2002;1;0
2002-09-29;Perugia;Empoli;Relatório da Partida;2002;1;3
2002-09-29;Como;Reggina;Relatório da Partida;2002;1;1
2002-09-29;Brescia;Roma;Relatório da Partida;2002;2;3
2002-09-29;Modena;Torino;Relatório da Partida;2002;2;1
2002-09-29;Inter;Chievo;Relatório da Partida;2002;2;1
2002-09-29;Bologna;Piacenza;Relatório da Partida;2002;1;0
2002-10-05;Reggina;Brescia;Relatório da Partida;2002;2;2
2002-10-05;Roma;Udinese;Relatório da Partida;2002;4;1
2002-10-06;Chievo;Modena;Relatório da Partida;2002;2;0
2002-10-06;Juventus;Como;Relatório da Partida;2002;1;1
2002-10-06;Empoli;Bologna;Relatório da Partida;2002;0;0
2002-10-06;Parma;Perugia;Relatório da Partida;2002;2;2
2002-10-06;Piacenza;Inter;Relatório da Partida;2002;1;4
2002-10-06;Atalanta;Lazio;Relatório da Partida;2002;0;1
2002-10-06;Milan;Torino;Relatório da Partida;2002;6;0
2002-10-19;Inter;Juventus;Relatório da Partida;2002;1;1
2002-10-19;Empoli;Roma;Relatório da Partida;2002;1;3
2002-10-20;Modena;Parma;Relatório da Partida;2002;2;1
2002-10-20;Udinese;Reggina;Relatório da Partida;2002;1;0
2002-10-20;Atalanta;Milan;Relatório da Partida;2002;1;4
2002-10-20;Bologna;Brescia;Relatório da Partida;2002;3;0
2002-10-20;Lazio;Perugia;Relatório da Partida;2002;3;0
2002-10-20;Torino;Chievo;Relatório da Partida;2002;1;0
2002-10-20;Como;Piacenza;Relatório da Partida;2002;1;1
2002-10-26;Chievo;Milan;Relatório da Partida;2002;3;2
2002-10-26;Juventus;Udinese;Relatório da Partida;2002;1;0
2002-10-27;Reggina;Torino;Relatório da Partida;2002;2;1
2002-10-27;Lazio;Roma;Relatório da Partida;2002;2;2
2002-10-27;Piacenza;Empoli;Relatório da Partida;2002;1;2
2002-10-27;Inter;Bologna;Relatório da Partida;2002;2;0
2002-10-27;Parma;Atalanta;Relatório da Partida;2002;2;1
2002-10-27;Perugia;Modena;Relatório da Partida;2002;2;0
2002-10-27;Brescia;Como;Relatório da Partida;2002;1;1
2002-11-02;Torino;Brescia;Relatório da Partida;2002;0;2
2002-11-02;Udinese;Bologna;Relatório da Partida;2002;0;0
2002-11-03;Milan;Reggina;Relatório da Partida;2002;2;0
2002-11-03;Parma;Chievo;Relatório da Partida;2002;0;1
2002-11-03;Roma;Perugia;Relatório da Partida;2002;2;2
2002-11-03;Como;Inter;Relatório da Partida;2002;0;2
2002-11-03;Empoli;Lazio;Relatório da Partida;2002;1;2
2002-11-03;Atalanta;Piacenza;Relatório da Partida;2002;2;0
2002-11-03;Modena;Juventus;Relatório da Partida;2002;0;1
2002-11-06;Milan;Udinese;Relatório da Partida;2002;1;0
2002-11-06;Reggina;Lazio;Relatório da Partida;2002;0;3
2002-11-06;Piacenza;Juventus;Relatório da Partida;2002;0;1
2002-11-06;Torino;Bologna;Relatório da Partida;2002;2;1
2002-11-06;Empoli;Inter;Relatório da Partida;2002;3;4
