Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2016-08-20;Roma;4–0;Udinese;Relatório da Partida;2016;4;0
2016-08-20;Juventus;2–1;Fiorentina;Relatório da Partida;2016;2;1
2016-08-21;Milan;3–2;Torino;Relatório da Partida;2016;3;2
2016-08-21;Atalanta;3–4;Lazio;Relatório da Partida;2016;3;4
2016-08-21;Palermo;0–1;Sassuolo;Relatório da Partida;2016;0;1
2016-08-21;Genoa;3–1;Cagliari;Relatório da Partida;2016;3;1
2016-08-21;Pescara;2–2;Napoli;Relatório da Partida;2016;2;2
2016-08-21;Bologna;1–0;Crotone;Relatório da Partida;2016;1;0
2016-08-21;Chievo;2–0;Inter;Relatório da Partida;2016;2;0
2016-08-21;Empoli;0–1;Sampdoria;Relatório da Partida;2016;0;1
2016-08-27;Lazio;0–1;Juventus;Relatório da Partida;2016;0;1
2016-08-27;Napoli;4–2;Milan;Relatório da Partida;2016;4;2
2016-08-28;Inter;1–1;Palermo;Relatório da Partida;2016;1;1
2016-08-28;Udinese;2–0;Empoli;Relatório da Partida;2016;2;0
2016-08-28;Crotone;1–3;Genoa;Relatório da Partida;2016;1;3
2016-08-28;Sampdoria;2–1;Atalanta;Relatório da Partida;2016;2;1
2016-08-28;Sassuolo;0–3;Pescara;Relatório da Partida;2016;0;3
2016-08-28;Torino;5–1;Bologna;Relatório da Partida;2016;5;1
2016-08-28;Fiorentina;1–0;Chievo;Relatório da Partida;2016;1;0
2016-08-28;Cagliari;2–2;Roma;Relatório da Partida;2016;2;2
2016-09-10;Juventus;3–1;Sassuolo;Relatório da Partida;2016;3;1
2016-09-10;Palermo;0–3;Napoli;Relatório da Partida;2016;0;3
2016-09-11;Bologna;2–1;Cagliari;Relatório da Partida;2016;2;1
2016-09-11;Milan;0–1;Udinese;Relatório da Partida;2016;0;1
2016-09-11;Chievo;1–1;Lazio;Relatório da Partida;2016;1;1
2016-09-11;Roma;3–2;Sampdoria;Relatório da Partida;2016;3;2
2016-09-11;Atalanta;2–1;Torino;Relatório da Partida;2016;2;1
2016-09-11;Pescara;1–2;Inter;Relatório da Partida;2016;1;2
2016-09-12;Empoli;2–1;Crotone;Relatório da Partida;2016;2;1
2016-09-16;Sampdoria;0–1;Milan;Relatório da Partida;2016;0;1
2016-09-17;Lazio;3–0;Pescara;Relatório da Partida;2016;3;0
2016-09-17;Napoli;3–1;Bologna;Relatório da Partida;2016;3;1
2016-09-18;Udinese;1–2;Chievo;Relatório da Partida;2016;1;2
2016-09-18;Sassuolo;2–0;Genoa;Relatório da Partida;2016;2;0
2016-09-18;Crotone;1–1;Palermo;Relatório da Partida;2016;1;1
2016-09-18;Cagliari;3–0;Atalanta;Relatório da Partida;2016;3;0
2016-09-18;Torino;0–0;Empoli;Relatório da Partida;2016;0;0
2016-09-18;Inter;2–1;Juventus;Relatório da Partida;2016;2;1
2016-09-18;Fiorentina;1–0;Roma;Relatório da Partida;2016;1;0
2016-09-20;Milan;2–0;Lazio;Relatório da Partida;2016;2;0
2016-09-21;Bologna;2–0;Sampdoria;Relatório da Partida;2016;2;0
2016-09-21;Udinese;2–2;Fiorentina;Relatório da Partida;2016;2;2
2016-09-21;Pescara;0–0;Torino;Relatório da Partida;2016;0;0
2016-09-21;Juventus;4–0;Cagliari;Relatório da Partida;2016;4;0
2016-09-21;Genoa;0–0;Napoli;Relatório da Partida;2016;0;0
2016-09-21;Chievo;2–1;Sassuolo;Relatório da Partida;2016;2;1
2016-09-21;Roma;4–0;Crotone;Relatório da Partida;2016;4;0
2016-09-21;Atalanta;0–1;Palermo;Relatório da Partida;2016;0;1
2016-09-21;Empoli;0–2;Inter;Relatório da Partida;2016;0;2
2016-09-24;Palermo;0–1;Juventus;Relatório da Partida;2016;0;1
2016-09-24;Napoli;2–0;Chievo;Relatório da Partida;2016;2;0
2016-09-25;Torino;3–1;Roma;Relatório da Partida;2016;3;1
2016-09-25;Sassuolo;1–0;Udinese;Relatório da Partida;2016;1;0
2016-09-25;Genoa;1–1;Pescara;Relatório da Partida;2016;1;1
2016-09-25;Lazio;2–0;Empoli;Relatório da Partida;2016;2;0
2016-09-25;Inter;1–1;Bologna;Relatório da Partida;2016;1;1
2016-09-25;Fiorentina;0–0;Milan;Relatório da Partida;2016;0;0
2016-09-26;Crotone;1–3;Atalanta;Relatório da Partida;2016;1;3
2016-09-26;Cagliari;2–1;Sampdoria;Relatório da Partida;2016;2;1
2016-10-01;Pescara;0–2;Chievo;Relatório da Partida;2016;0;2
2016-10-01;Udinese;0–3;Lazio;Relatório da Partida;2016;0;3
2016-10-02;Empoli;0–3;Juventus;Relatório da Partida;2016;0;3
2016-10-02;Sampdoria;1–1;Palermo;Relatório da Partida;2016;1;1
2016-10-02;Atalanta;1–0;Napoli;Relatório da Partida;2016;1;0
2016-10-02;Bologna;0–1;Genoa;Relatório da Partida;2016;0;1
2016-10-02;Cagliari;2–1;Crotone;Relatório da Partida;2016;2;1
2016-10-02;Milan;4–3;Sassuolo;Relatório da Partida;2016;4;3
2016-10-02;Torino;2–1;Fiorentina;Relatório da Partida;2016;2;1
2016-10-02;Roma;2–1;Inter;Relatório da Partida;2016;2;1
2016-10-15;Napoli;1–3;Roma;Relatório da Partida;2016;1;3
2016-10-15;Pescara;1–1;Sampdoria;Relatório da Partida;2016;1;1
2016-10-15;Juventus;2–1;Udinese;Relatório da Partida;2016;2;1
2016-10-16;Fiorentina;0–0;Atalanta;Relatório da Partida;2016;0;0
2016-10-16;Inter;1–2;Cagliari;Relatório da Partida;2016;1;2
