Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
1;Luis Abram;pePER;DF;Granada;25;1996;6.2;2;0;0;5;4;0;0;5;3;0.0;0.0;1;14.0;7.0;14.0
2;Marcos Acuña;arARG;DF;Sevilla;29;1991;25.1;10;0;0;38;48;0;178;14;29;0.0;1.0;0;173.0;22.0;32.0
3;Martin Agirregabiria;esESP;DF;Alavés;25;1996;18.0;4;0;0;24;22;1;45;25;22;0.0;1.0;0;79.0;31.0;27.0
4;Julen Agirrezabala;esESP;GK;Athletic Club;20;2000;4.0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;6.0;0.0;0.0
5;Sergio Agüero;arARG;FW;Barcelona;33;1988;1.7;0;0;0;1;2;1;3;0;1;0.0;0.0;0;3.0;3.0;2.0
6;Álvaro Aguirre;esESP;FW;Rayo Vallecano;21;2000;0.1;0;0;0;0;0;0;0;0;0;0.0;0.0;0;2.0;0.0;0.0
7;Joseph Aidoo;ghGHA;DF;Celta Vigo;25;1995;29.3;1;0;0;10;18;1;3;38;26;0.0;0.0;1;164.0;62.0;47.0
8;Carlos Akapo;gqEQG;DF;Cádiz;28;1993;20.5;4;0;0;23;25;2;45;51;31;0.0;1.0;0;112.0;37.0;32.0
9;Ilias Akhomach;esESP;FW;Barcelona;17;2004;1.4;0;0;0;3;4;0;6;0;0;0.0;0.0;0;11.0;1.0;2.0
10;Paul Akouokou;ciCIV;MF;Betis;23;1997;5.7;2;1;0;13;2;0;1;11;9;0.0;0.0;0;42.0;6.0;2.0
11;David Alaba;atAUT;DF;Real Madrid;29;1992;29.4;2;0;0;16;6;2;40;22;13;0.0;0.0;0;141.0;14.0;22.0
12;Tomás Alarcón;clCHI;MF;Cádiz;22;1999;15.8;5;0;0;19;9;1;64;30;20;0.0;2.0;0;107.0;15.0;19.0
13;Jordi Alba;esESP;DF;Barcelona;32;1989;29.4;11;0;0;26;19;11;121;33;34;0.0;0.0;0;214.0;13.0;23.0
14;Raúl Albiol;esESP;DF;Villarreal;35;1985;27.4;8;0;0;18;12;2;3;21;15;0.0;0.0;0;137.0;41.0;27.0
15;Paco Alcácer;esESP;FW;Villarreal;27;1993;8.7;1;0;0;5;7;8;1;6;3;0.0;0.0;0;28.0;10.0;25.0
16;Rubén Alcaraz;esESP;MF;Cádiz;30;1991;12.3;7;0;0;30;35;1;23;13;20;0.0;1.0;0;86.0;22.0;23.0
17;Omar Alderete;pyPAR;DF;Valencia;24;1996;26.7;15;0;0;42;7;0;4;35;34;0.0;2.0;0;158.0;69.0;39.0
18;Iván Alejo;esESP;MF,FW;Cádiz;26;1995;11.8;7;0;0;37;33;5;97;8;15;0.0;1.0;0;74.0;11.0;12.0
19;Carles Aleñá;esESP;MF;Getafe;23;1998;25.8;6;1;0;50;37;1;44;15;19;0.0;0.0;0;129.0;13.0;25.0
