Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2012-08-18,,Celta Vigo,0–1,Málaga,,Balaídos,Del Cerro Grande,Relatório da Partida,
1,sáb,2012-08-18,,Sevilla,2–1,Getafe,,Ramón Sánchez Pizjuán,Álvarez Izquierdo,Relatório da Partida,
1,sáb,2012-08-18,,Mallorca,2–1,Espanyol,,Son Moix,Undiano Mallenco,Relatório da Partida,
1,dom,2012-08-19,,Barcelona,5–1,Real Sociedad,,Camp Nou,González González,Relatório da Partida,
1,dom,2012-08-19,,Levante,1–1,Atlético Madrid,,Ciutat de Valencia,Clos Gómez,Relatório da Partida,
1,dom,2012-08-19,,Athletic Club,3–5,Betis,,San Mamés,Teixeira Vitienes,Relatório da Partida,
1,dom,2012-08-19,,Real Madrid,1–1,Valencia,,Santiago Bernabéu,Delgado Ferreiro,Relatório da Partida,
1,seg,2012-08-20,,Rayo Vallecano,1–0,Granada,,Estadio de Vallecas Teresa Rivero,Mateu Lahoz,Relatório da Partida,
1,seg,2012-08-20,,Zaragoza,0–1,Valladolid,,La Romareda,Hernández Hernández,Relatório da Partida,
1,seg,2012-08-20,,La Coruña,2–0,Osasuna,,Riazor,Fernández Borbalán,Relatório da Partida,
,,,,,,,,,,,
2,sáb,2012-08-25,,Real Sociedad,2–1,Celta Vigo,,Anoeta,Pérez Montero,Relatório da Partida,
2,sáb,2012-08-25,,Espanyol,1–2,Zaragoza,,Cornellá - El Prat,Paradas Romero,Relatório da Partida,
2,sáb,2012-08-25,,Betis,1–2,Rayo Vallecano,,Benito Villamarín,Ayza Gámez,Relatório da Partida,
2,sáb,2012-08-25,,Málaga,1–1,Mallorca,,La Rosaleda,Gil Manzano,Relatório da Partida,
2,dom,2012-08-26,,Osasuna,1–2,Barcelona,,Reyno de Navarra,Muñiz Fernández,Relatório da Partida,
2,dom,2012-08-26,,Valencia,3–3,La Coruña,,Mestalla,Velasco Carballo,Relatório da Partida,
2,dom,2012-08-26,,Granada,1–1,Sevilla,,Nuevo Los Cármenes,Estrada Fernández,Relatório da Partida,
2,dom,2012-08-26,,Getafe,2–1,Real Madrid,,Coliseum Alfonso Pérez,Pérez Lasa,Relatório da Partida,
2,seg,2012-08-27,,Atlético Madrid,4–0,Athletic Club,,Vicente Calderón,Teixeira Vitienes,Relatório da Partida,
2,seg,2012-08-27,,Valladolid,2–0,Levante,,José Zorrilla,Iglesias Villanueva,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2012-09-01,,Mallorca,1–0,Real Sociedad,,Son Moix,Fernández Borbalán,Relatório da Partida,
3,sáb,2012-09-01,,Celta Vigo,2–0,Osasuna,,Balaídos,Hernández Hernández,Relatório da Partida,
3,sáb,2012-09-01,,Zaragoza,0–1,Málaga,,La Romareda,Undiano Mallenco,Relatório da Partida,
3,sáb,2012-09-01,,La Coruña,1–1,Getafe,,Riazor,Mateu Lahoz,Relatório da Partida,
3,dom,2012-09-02,,Rayo Vallecano,0–0,Sevilla,,Estadio de Vallecas Teresa Rivero,Clos Gómez,Relatório da Partida,
3,dom,2012-09-02,,Real Madrid,3–0,Granada,,Santiago Bernabéu,González González,Relatório da Partida,
3,dom,2012-09-02,,Athletic Club,2–0,Valladolid,,San Mamés,Del Cerro Grande,Relatório da Partida,
3,dom,2012-09-02,,Barcelona,1–0,Valencia,,Camp Nou,Pérez Lasa,Relatório da Partida,
3,dom,2012-09-02,,Levante,3–2,Espanyol,,Ciutat de Valencia,Teixeira Vitienes,Relatório da Partida,
,,,,,,,,,,,
4,sáb,2012-09-15,,Málaga,3–1,Levante,,La Rosaleda,Velasco Carballo,Relatório da Partida,
4,sáb,2012-09-15,,Valencia,2–1,Celta Vigo,,Mestalla,Paradas Romero,Relatório da Partida,
4,sáb,2012-09-15,,Sevilla,1–0,Real Madrid,,Ramón Sánchez Pizjuán,Undiano Mallenco,Relatório da Partida,
4,sáb,2012-09-15,,Getafe,1–4,Barcelona,,Coliseum Alfonso Pérez,Teixeira Vitienes,Relatório da Partida,
4,dom,2012-09-16,,Granada,1–1,La Coruña,,Nuevo Los Cármenes,Gil Manzano,Relatório da Partida,
4,dom,2012-09-16,,Real Sociedad,2–0,Zaragoza,,Anoeta,Iglesias Villanueva,Relatório da Partida,
4,dom,2012-09-16,,Osasuna,1–1,Mallorca,,Reyno de Navarra,Ayza Gámez,Relatório da Partida,
4,dom,2012-09-16,,Espanyol,3–3,Athletic Club,,Cornellá - El Prat,Pérez Montero,Relatório da Partida,
4,dom,2012-09-16,,Atlético Madrid,4–3,Rayo Vallecano,,Vicente Calderón,Estrada Fernández,Relatório da Partida,
4,seg,2012-09-17,,Valladolid,0–1,Betis,,José Zorrilla,Delgado Ferreiro,Relatório da Partida,
,,,,,,,,,,,
5,sáb,2012-09-22,,Barcelona,2–0,Granada,,Camp Nou,Del Cerro Grande,Relatório da Partida,
5,sáb,2012-09-22,,Betis,1–0,Espanyol,,Benito Villamarín,Clos Gómez,Relatório da Partida,
