Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2020-09-12,16:00 (11:00),Eibar,0.4,0–0,0.6,Celta Vigo,,Estadio Municipal de Ipurúa,Valentín Pizarro,Relatório da Partida,
1,sáb,2020-09-12,18:30 (13:30),Granada,0.4,2–0,0.5,Athletic Club,,Estadio Nuevo Los Cármenes,Antonio Matéu Lahoz,Relatório da Partida,
1,sáb,2020-09-12,21:00 (16:00),Cádiz,0.7,0–2,0.8,Osasuna,,Estadio Nuevo Mirandilla,Isidro Díaz de Mera,Relatório da Partida,
1,dom,2020-09-13,14:00 (09:00),Alavés,1.2,0–1,0.4,Betis,,Estadio de Mendizorroza,Pablo González,Relatório da Partida,
1,dom,2020-09-13,16:00 (11:00),Valladolid,0.8,1–1,0.3,Real Sociedad,,Estadio Municipal José Zorrilla,Mario Melero,Relatório da Partida,
1,dom,2020-09-13,18:30 (13:30),Villarreal,2.5,1–1,0.6,Huesca,,Estadio de la Cerámica,Javier Estrada,Relatório da Partida,
1,dom,2020-09-13,21:00 (16:00),Valencia,1.9,4–2,2.0,Levante,,Estadio de Mestalla,José Sánchez,Relatório da Partida,
,,,,,,,,,,,,,
2,sáb,2020-09-19,16:00 (11:00),Villarreal,2.7,2–1,1.5,Eibar,,Estadio de la Cerámica,Jorge Figueroa,Relatório da Partida,
2,sáb,2020-09-19,18:30 (13:30),Getafe,0.6,1–0,0.5,Osasuna,,Coliseum Alfonso Pérez,Alejandro Hernández,Relatório da Partida,
2,sáb,2020-09-19,21:00 (16:00),Celta Vigo,2.0,2–1,0.5,Valencia,,Estadio de Balaídos,Jesús Gil,Relatório da Partida,
2,dom,2020-09-20,16:00 (11:00),Huesca,0.3,0–2,1.2,Cádiz,,Estadio El Alcoraz,César Soto,Relatório da Partida,
2,dom,2020-09-20,18:30 (13:30),Granada,2.2,2–1,0.7,Alavés,,Estadio Nuevo Los Cármenes,Carlos del Cerro,Relatório da Partida,
2,dom,2020-09-20,18:30 (13:30),Betis,1.6,2–0,0.4,Valladolid,,Estadio Benito Villamarín,Santiago Jaime,Relatório da Partida,
2,dom,2020-09-20,21:00 (16:00),Real Sociedad,0.6,0–0,0.9,Real Madrid,,Estadio Municipal de Anoeta,Juan Martínez,Relatório da Partida,
,,,,,,,,,,,,,
3,sáb,2020-09-26,13:00 (08:00),Alavés,1.3,0–0,1.1,Getafe,,Estadio de Mendizorroza,Alberola Rojas,Relatório da Partida,
3,sáb,2020-09-26,16:00 (11:00),Valencia,0.6,1–1,0.9,Huesca,,Estadio de Mestalla,José Luis Munuera,Relatório da Partida,
3,sáb,2020-09-26,18:30 (13:30),Elche,1.0,0–3,3.1,Real Sociedad,,Estadio Manuel Martínez Valero,Isidro Díaz de Mera,Relatório da Partida,
3,sáb,2020-09-26,21:00 (16:00),Betis,1.2,2–3,3.8,Real Madrid,,Estadio Benito Villamarín,Ricardo de Burgos,Relatório da Partida,
3,dom,2020-09-27,12:00 (07:00),Osasuna,0.7,1–3,3.1,Levante,,Estadio El Sadar,Mario Melero,Relatório da Partida,
3,dom,2020-09-27,14:00 (09:00),Eibar,0.6,1–2,0.6,Athletic Club,,Estadio Municipal de Ipurúa,Adrián Cordero,Relatório da Partida,
3,dom,2020-09-27,16:00 (11:00),Atlético Madrid,3.3,6–1,1.6,Granada,,Estadio Wanda Metropolitano,Javier Estrada,Relatório da Partida,
3,dom,2020-09-27,18:30 (13:30),Valladolid,1.5,1–1,1.3,Celta Vigo,,Estadio Municipal José Zorrilla,José Sánchez,Relatório da Partida,
3,dom,2020-09-27,18:30 (13:30),Cádiz,1.1,1–3,2.4,Sevilla,,Estadio Nuevo Mirandilla,David Medié,Relatório da Partida,
