Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
1;Yunis Abdelhamid;maMAR;DF;Reims;33;1987;33.1;5;1;0;39;25;0;4;68;27;0;1;0;195;62;38
2;Salis Abdul Samed;ghGHA;MF;Clermont Foot;21;2000;27.4;12;3;2;43;37;0;14;42;23;0;0;0;186;17;20
3;Laurent Abergel;frFRA;MF;Lorient;28;1993;32.8;9;0;0;41;69;1;37;55;60;0;0;0;264;11;7
4;Charles Abi;frFRA;FW;Saint-Étienne;21;2000;0.5;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
5;Matthis Abline;frFRA;FW;Rennes;18;2003;1.1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;7
6;Mohamed Achi;frFRA;MF;Nantes;19;2002;0.1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
7;Martin Adeline;frFRA;MF,FW;Reims;17;2003;3.9;1;0;0;16;2;0;11;11;11;0;0;0;35;3;5
8;Yacine Adli;frFRA;MF,FW;Bordeaux;21;2000;25.1;5;0;0;21;27;4;114;37;27;0;0;0;150;12;19
9;Lucien Agoume;frFRA;MF;Brest;19;2002;20.8;6;0;0;31;14;0;5;52;31;0;1;0;149;26;29
10;Nayef Aguerd;maMAR;DF;Rennes;25;1996;30.4;3;1;0;20;16;1;1;24;18;1;2;0;154;95;51
11;Ruben Aguilar;frFRA;DF;Monaco;28;1993;23.8;4;0;0;32;29;1;64;44;53;0;0;1;157;33;40
12;Anel Ahmedhodzic;baBIH;DF;Bordeaux;22;1999;15.0;6;0;0;21;10;0;6;22;26;0;0;0;108;18;13
13;Jean-Eudes Aholou;ciCIV;MF;Strasbourg;27;1994;11.2;2;0;0;21;20;0;6;19;9;0;0;0;77;14;5
14;Ludovic Ajorque;reREU;FW;Strasbourg;27;1994;30.4;5;1;0;40;36;14;17;8;25;2;0;1;86;127;102
15;Maghnes Akliouche;frFRA;MF,FW;Monaco;19;2002;0.6;1;0;0;4;1;1;1;0;0;0;0;0;2;1;2
16;Sofiane Alakouch;maMAR;DF,MF;Metz;23;1998;1.8;1;0;0;5;7;0;2;1;4;0;0;0;6;0;1
