Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sex,2002-08-02,,Guingamp,3–3,Lyon,,Stade Municipal du Roudourou,Philippe Kalt,Relatório da Partida,
1,sáb,2002-08-03,,Troyes,0–4,Monaco,,Stade de l'Aube,Pascal Viléo,Relatório da Partida,
1,sáb,2002-08-03,,Montpellier,1–0,Rennes,,Stade de la Mosson et du Mondial 98,Thierry Auriac,Relatório da Partida,
1,sáb,2002-08-03,,Bastia,1–1,Lens,,Stade Armand Cesari,Alain Sars,Relatório da Partida,
1,sáb,2002-08-03,,Marseille,0–2,Nantes,,Stade Municipal de Gerland,Bruno Derrien,Relatório da Partida,
1,sáb,2002-08-03,,Lille,0–3,Bordeaux,,STADE GRIMONPREZ JOORIS,Bertrand Layec,Relatório da Partida,
1,sáb,2002-08-03,,Sedan,0–0,Sochaux,,Stade Louis,Hervé Piccirillo,Relatório da Partida,
1,sáb,2002-08-03,,Nice,1–2,Le Havre,,Allianz Riviera,Stéphane Lannoy,Relatório da Partida,
1,sáb,2002-08-03,,Paris S-G,1–0,Auxerre,,Parc des Princes,Stéphane Bré,Relatório da Partida,
1,sáb,2002-08-03,,Strasbourg,1–1,Ajaccio,,Stade de la Meinau,Bruno Coué,Relatório da Partida,
,,,,,,,,,,,
2,qui,2002-08-08,,Auxerre,2–0,Montpellier,,Stade Abbé Deschamps,Alain Hamer,Relatório da Partida,
2,sex,2002-08-09,,Bordeaux,0–0,Paris S-G,,Stade Chaban,Éric Poulat,Relatório da Partida,
2,sáb,2002-08-10,,Rennes,0–0,Troyes,,ROAZHON PARK,Bruno Ruffray,Relatório da Partida,
2,sáb,2002-08-10,,Nantes,1–0,Bastia,,Stade de la Beaujoire,Claude Colombo,Relatório da Partida,
2,sáb,2002-08-10,,Lyon,6–1,Sedan,,Stade Municipal de Gerland,Ameziane Khendek,Relatório da Partida,
2,sáb,2002-08-10,,Ajaccio,0–2,Guingamp,,Stade Armand Cesari,Patrick Lhermite,Relatório da Partida,
2,sáb,2002-08-10,,Le Havre,0–0,Lille,,Stade Municipal Jules Deschaseaux,Stéphane Moulin,Relatório da Partida,
2,sáb,2002-08-10,,Nice,4–0,Strasbourg,,Allianz Riviera,Laurent Duhamel,Relatório da Partida,
2,sáb,2002-08-10,,Monaco,0–1,Marseille,,Stade Louis II,Pascal Garibian,Relatório da Partida,
2,sáb,2002-08-10,,Lens,1–1,Sochaux,,Stade Bollaert,Damien Ledentu,Relatório da Partida,
,,,,,,,,,,,
3,sex,2002-08-16,,Marseille,1–1,Lyon,,Orange Vélodrome,Laurent Duhamel,Relatório da Partida,
3,sáb,2002-08-17,,Sedan,0–1,Lens,,Stade Louis,Philippe Kalt,Relatório da Partida,
3,sáb,2002-08-17,,Paris S-G,2–2,Ajaccio,,Parc des Princes,Thierry Auriac,Relatório da Partida,
3,sáb,2002-08-17,,Sochaux,4–2,Nantes,,Stade Bonal,Pascal Garibian,Relatório da Partida,
3,sáb,2002-08-17,,Bastia,1–0,Monaco,,Stade Armand Cesari,Bertrand Layec,Relatório da Partida,
3,sáb,2002-08-17,,Troyes,1–2,Auxerre,,Stade de l'Aube,Alain Sars,Relatório da Partida,
3,sáb,2002-08-17,,Guingamp,3–0,Rennes,,Stade Municipal du Roudourou,Stéphane Moulin,Relatório da Partida,
3,sáb,2002-08-17,,Lille,0–3,Nice,,STADE GRIMONPREZ JOORIS,Hervé Piccirillo,Relatório da Partida,
3,sáb,2002-08-17,,Strasbourg,1–1,Le Havre,,Stade de la Meinau,Bruno Derrien,Relatório da Partida,
3,sáb,2002-08-17,,Montpellier,0–1,Bordeaux,,Stade de la Mosson et du Mondial 98,Claude Colombo,Relatório da Partida,
,,,,,,,,,,,
4,sex,2002-08-23,,Lille,0–0,Troyes,,STADE GRIMONPREZ JOORIS,Claude Colombo,Relatório da Partida,
4,sáb,2002-08-24,,Ajaccio,1–0,Sedan,,Stade François Coty,Bruno Ruffray,Relatório da Partida,
4,sáb,2002-08-24,,Rennes,1–3,Marseille,,ROAZHON PARK,Damien Ledentu,Relatório da Partida,
4,sáb,2002-08-24,,Monaco,1–0,Sochaux,,Stade Louis II,Patrick Lhermite,Relatório da Partida,
4,sáb,2002-08-24,,Lyon,4–1,Bastia,,Stade Municipal de Gerland,Stéphane Bré,Relatório da Partida,
4,sáb,2002-08-24,,Nice,2–1,Montpellier,,Allianz Riviera,Ameziane Khendek,Relatório da Partida,
4,sáb,2002-08-24,,Auxerre,2–1,Guingamp,,Stade Abbé Deschamps,Pascal Viléo,Relatório da Partida,
4,sáb,2002-08-24,,Bordeaux,1–2,Strasbourg,,Stade Chaban,Stéphane Lannoy,Relatório da Partida,
4,sáb,2002-08-24,,Nantes,2–2,Lens,,Stade de la Beaujoire,Bruno Coué,Relatório da Partida,
4,dom,2002-08-25,,Le Havre,0–1,Paris S-G,,Stade Municipal Jules Deschaseaux,Bertrand Layec,Relatório da Partida,
,,,,,,,,,,,
5,sáb,2002-08-31,,Paris S-G,1–1,Nice,,Parc des Princes,Pascal Viléo,Relatório da Partida,
5,sáb,2002-08-31,,Sochaux,2–1,Lyon,,Stade Bonal,Gilles Veissière,Relatório da Partida,
5,sáb,2002-08-31,,Troyes,1–0,Ajaccio,,Stade de l'Aube,Ameziane Khendek,Relatório da Partida,
5,sáb,2002-08-31,,Guingamp,0–0,Bordeaux,,Stade Municipal du Roudourou,Laurent Duhamel,Relatório da Partida,
5,sáb,2002-08-31,,Strasbourg,2–2,Lille,,Stade de la Meinau,Pascal Garibian,Relatório da Partida,
5,sáb,2002-08-31,,Lens,1–0,Monaco,,Stade Bollaert,Stéphane Bré,Relatório da Partida,
5,sáb,2002-08-31,,Sedan,1–0,Nantes,,Stade Louis,Damien Ledentu,Relatório da Partida,
5,sáb,2002-08-31,,Bastia,3–1,Rennes,,Stade Armand Cesari,Bruno Coué,Relatório da Partida,
5,sáb,2002-08-31,,Montpellier,0–0,Le Havre,,Stade de la Mosson et du Mondial 98,Éric Poulat,Relatório da Partida,
5,dom,2002-09-01,,Marseille,0–0,Auxerre,,Orange Vélodrome,Philippe Kalt,Relatório da Partida,
,,,,,,,,,,,
6,ter,2002-09-10,,Lyon,1–0,Lens,,Stade Municipal de Gerland,Damien Ledentu,Relatório da Partida,
6,qua,2002-09-11,,Nice,2–0,Marseille,,Allianz Riviera,Bertrand Layec,Relatório da Partida,
6,qua,2002-09-11,,Rennes,2–2,Sochaux,,ROAZHON PARK,Stéphane Lannoy,Relatório da Partida,
6,qua,2002-09-11,,Ajaccio,0–0,Montpellier,,Stade François Coty,Pascal Viléo,Relatório da Partida,
6,qua,2002-09-11,,Lille,2–1,Paris S-G,,STADE GRIMONPREZ JOORIS,Stéphane Moulin,Relatório da Partida,
6,qua,2002-09-11,,Strasbourg,1–1,Sedan,,Stade de la Meinau,Thierry Auriac,Relatório da Partida,
6,qua,2002-09-11,,Le Havre,1–2,Guingamp,,Stade Municipal Jules Deschaseaux,Jean-Marc Bonnin,Relatório da Partida,
6,qua,2002-09-11,,Auxerre,1–0,Bastia,,Stade Abbé Deschamps,Éric Poulat,Relatório da Partida,
6,qua,2002-09-11,,Monaco,2–1,Nantes,,Stade Louis II,Philippe Kalt,Relatório da Partida,
6,qua,2002-09-11,,Bordeaux,1–0,Troyes,,Stade Chaban,Bruno Coué,Relatório da Partida,
,,,,,,,,,,,
7,sáb,2002-09-14,,Sochaux,1–1,Auxerre,,Stade Bonal,Claude Colombo,Relatório da Partida,
7,sáb,2002-09-14,,Guingamp,0–0,Nice,,Stade Municipal du Roudourou,Bruno Ruffray,Relatório da Partida,
7,sáb,2002-09-14,,Montpellier,1–0,Lille,,Stade de la Mosson et du Mondial 98,Stéphane Bré,Relatório da Partida,
7,sáb,2002-09-14,,Sedan,2–2,Monaco,,Stade Louis,Laurent Duhamel,Relatório da Partida,
7,sáb,2002-09-14,,Nantes,1–0,Lyon,,Stade de la Beaujoire,Hervé Piccirillo,Relatório da Partida,
7,sáb,2002-09-14,,Paris S-G,3–0,Strasbourg,,Parc des Princes,Damien Ledentu,Relatório da Partida,
7,sáb,2002-09-14,,Marseille,2–1,Bordeaux,,Orange Vélodrome,Alain Sars,Relatório da Partida,
7,sáb,2002-09-14,,Lens,1–0,Rennes,,Stade Bollaert,Pascal Garibian,Relatório da Partida,
7,sáb,2002-09-14,,Troyes,1–1,Le Havre,,Stade de l'Aube,Alain Hamer,Relatório da Partida,
7,dom,2002-09-15,,Bastia,1–2,Ajaccio,,Stade Armand Cesari,Gilles Veissière,Relatório da Partida,
,,,,,,,,,,,
8,sáb,2002-09-21,,Ajaccio,0–1,Sochaux,,Stade François Coty,Bruno Derrien,Relatório da Partida,
8,sáb,2002-09-21,,Strasbourg,3–2,Montpellier,,Stade de la Meinau,Bruno Ruffray,Relatório da Partida,
8,sáb,2002-09-21,,Le Havre,1–3,Marseille,,Stade Municipal Jules Deschaseaux,Hervé Piccirillo,Relatório da Partida,
8,sáb,2002-09-21,,Rennes,1–0,Nantes,,ROAZHON PARK,Patrick Lhermite,Relatório da Partida,
8,sáb,2002-09-21,,Bordeaux,1–0,Lens,,Stade Chaban,Gilles Veissière,Relatório da Partida,
8,sáb,2002-09-21,,Nice,1–0,Troyes,,Allianz Riviera,Jean-Marc Bonnin,Relatório da Partida,
8,sáb,2002-09-21,,Lyon,1–3,Monaco,,Stade Municipal de Gerland,Alain Sars,Relatório da Partida,
8,sáb,2002-09-21,,Lille,2–1,Guingamp,,STADE GRIMONPREZ JOORIS,Thierry Auriac,Relatório da Partida,
8,dom,2002-09-22,,Paris S-G,1–1,Bastia,,Parc des Princes,Laurent Duhamel,Relatório da Partida,
,,,,,,,,,,,
9,sex,2002-09-27,,Marseille,3–1,Ajaccio,,Orange Vélodrome,Damien Ledentu,Relatório da Partida,
9,sáb,2002-09-28,,Montpellier,1–1,Paris S-G,,Stade de la Mosson et du Mondial 98,Bruno Coué,Relatório da Partida,
9,sáb,2002-09-28,,Sochaux,1–0,Nice,,Stade Bonal,Philippe Kalt,Relatório da Partida,
9,sáb,2002-09-28,,Lens,0–0,Lille,,Stade Bollaert,Laurent Duhamel,Relatório da Partida,
9,sáb,2002-09-28,,Sedan,4–0,Le Havre,,Stade Louis,Stéphane Lannoy,Relatório da Partida,
9,sáb,2002-09-28,,Monaco,2–1,Rennes,,Stade Louis II,Pascal Viléo,Relatório da Partida,
9,sáb,2002-09-28,,Guingamp,2–3,Strasbourg,,Stade Municipal du Roudourou,Hervé Piccirillo,Relatório da Partida,
9,sáb,2002-09-28,,Nantes,1–4,Auxerre,,Stade de la Beaujoire,Bertrand Layec,Relatório da Partida,
9,sáb,2002-09-28,,Troyes,1–1,Lyon,,Stade de l'Aube,Claude Colombo,Relatório da Partida,
9,sáb,2002-09-28,,Bastia,2–1,Bordeaux,,Stade Armand Cesari,Stéphane Moulin,Relatório da Partida,
,,,,,,,,,,,
10,sáb,2002-10-05,,Lille,3–0,Marseille,,STADE GRIMONPREZ JOORIS,Patrick Lhermite,Relatório da Partida,
10,sáb,2002-10-05,,Montpellier,0–2,Lens,,Stade de la Mosson et du Mondial 98,Stéphane Moulin,Relatório da Partida,
10,sáb,2002-10-05,,Ajaccio,1–0,Nantes,,Stade François Coty,Éric Poulat,Relatório da Partida,
10,sáb,2002-10-05,,Nice,2–0,Bastia,,Allianz Riviera,Damien Ledentu,Relatório da Partida,
10,sáb,2002-10-05,,Strasbourg,2–1,Troyes,,Stade de la Meinau,Gilles Veissière,Relatório da Partida,
10,sáb,2002-10-05,,Le Havre,1–0,Sochaux,,Stade Municipal Jules Deschaseaux,Ameziane Khendek,Relatório da Partida,
10,sáb,2002-10-05,,Rennes,0–1,Lyon,,ROAZHON PARK,Laurent Duhamel,Relatório da Partida,
10,dom,2002-10-06,,Bordeaux,2–2,Sedan,,Stade Chaban,Stéphane Bré,Relatório da Partida,
10,dom,2002-10-06,,Auxerre,1–1,Monaco,,Stade Abbé Deschamps,Bruno Ruffray,Relatório da Partida,
10,dom,2002-10-06,,Paris S-G,5–0,Guingamp,,Parc des Princes,Stéphane Lannoy,Relatório da Partida,
,,,,,,,,,,,
11,sáb,2002-10-19,,Sedan,1–3,Rennes,,Stade Louis,Éric Poulat,Relatório da Partida,
11,sáb,2002-10-19,,Lens,1–1,Ajaccio,,Stade Bollaert,Jean-Marc Bonnin,Relatório da Partida,
11,sáb,2002-10-19,,Lyon,3–0,Auxerre,,Stade Municipal de Gerland,Bruno Coué,Relatório da Partida,
11,sáb,2002-10-19,,Troyes,1–2,Paris S-G,,Stade de l'Aube,Stéphane Bré,Relatório da Partida,
11,sáb,2002-10-19,,Nantes,0–0,Nice,,Stade de la Beaujoire,Alain Sars,Relatório da Partida,
11,sáb,2002-10-19,,Guingamp,3–1,Montpellier,,Stade Municipal du Roudourou,Patrick Lhermite,Relatório da Partida,
11,sáb,2002-10-19,,Sochaux,2–0,Bordeaux,,Stade Bonal,Laurent Duhamel,Relatório da Partida,
11,sáb,2002-10-19,,Monaco,1–1,Lille,,Stade Louis II,Alain Hamer,Relatório da Partida,
11,sáb,2002-10-19,,Bastia,3–1,Le Havre,,Stade Armand Cesari,Thierry Auriac,Relatório da Partida,
11,dom,2002-10-20,,Marseille,1–0,Strasbourg,,Orange Vélodrome,Pascal Viléo,Relatório da Partida,
,,,,,,,,,,,
12,sex,2002-10-25,,Bordeaux,2–2,Monaco,,Stade Chaban,Damien Ledentu,Relatório da Partida,
12,sáb,2002-10-26,,Paris S-G,3–0,Marseille,,Parc des Princes,Éric Poulat,Relatório da Partida,
12,sáb,2002-10-26,,Nice,0–0,Lens,,Allianz Riviera,Bruno Derrien,Relatório da Partida,
12,sáb,2002-10-26,,Auxerre,1–0,Rennes,,Stade Abbé Deschamps,Hervé Piccirillo,Relatório da Partida,
12,sáb,2002-10-26,,Strasbourg,2–0,Bastia,,Stade de la Meinau,Ameziane Khendek,Relatório da Partida,
12,sáb,2002-10-26,,Le Havre,1–1,Nantes,,Stade Municipal Jules Deschaseaux,Philippe Kalt,Relatório da Partida,
12,sáb,2002-10-26,,Montpellier,2–2,Troyes,,Stade de la Mosson et du Mondial 98,Pascal Garibian,Relatório da Partida,
12,sáb,2002-10-26,,Ajaccio,0–1,Lyon,,Stade François Coty,Bertrand Layec,Relatório da Partida,
12,sáb,2002-10-26,,Guingamp,0–1,Sedan,,Stade Municipal du Roudourou,Claude Colombo,Relatório da Partida,
12,sáb,2002-10-26,,Lille,1–0,Sochaux,,STADE GRIMONPREZ JOORIS,Gilles Veissière,Relatório da Partida,
,,,,,,,,,,,
13,sáb,2002-11-02,,Rennes,0–0,Ajaccio,,ROAZHON PARK,Bruno Ruffray,Relatório da Partida,
13,sáb,2002-11-02,,Marseille,2–0,Montpellier,,Orange Vélodrome,Stéphane Lannoy,Relatório da Partida,
13,sáb,2002-11-02,,Monaco,1–1,Le Havre,,Stade Louis II,Jean-Marc Bonnin,Relatório da Partida,
13,sáb,2002-11-02,,Lens,3–1,Auxerre,,Stade Bollaert,Alain Sars,Relatório da Partida,
13,sáb,2002-11-02,,Sochaux,2–0,Strasbourg,,Stade Bonal,Patrick Lhermite,Relatório da Partida,
13,sáb,2002-11-02,,Troyes,0–2,Guingamp,,Stade de l'Aube,Bruno Coué,Relatório da Partida,
13,sáb,2002-11-02,,Bastia,1–0,Lille,,Stade Armand Cesari,Pascal Garibian,Relatório da Partida,
13,sáb,2002-11-02,,Lyon,2–2,Nice,,Stade Municipal de Gerland,Stéphane Bré,Relatório da Partida,
13,dom,2002-11-03,,Nantes,0–0,Bordeaux,,Stade de la Beaujoire,Bruno Derrien,Relatório da Partida,
13,dom,2002-11-03,,Sedan,3–1,Paris S-G,,Stade Louis,Pascal Viléo,Relatório da Partida,
,,,,,,,,,,,
14,qui,2002-11-07,,Ajaccio,1–0,Auxerre,,Stade François Coty,Gilles Veissière,Relatório da Partida,
14,qui,2002-11-07,,Le Havre,1–2,Lyon,,Stade Municipal Jules Deschaseaux,Patrick Lhermite,Relatório da Partida,
14,sex,2002-11-08,,Nice,1–0,Monaco,,Allianz Riviera,Éric Poulat,Relatório da Partida,
14,sáb,2002-11-09,,Troyes,3–0,Bastia,,Stade de l'Aube,Hervé Piccirillo,Relatório da Partida,
14,sáb,2002-11-09,,Montpellier,2–0,Sedan,,Stade de la Mosson et du Mondial 98,Ameziane Khendek,Relatório da Partida,
14,sáb,2002-11-09,,Guingamp,0–0,Marseille,,Stade Municipal du Roudourou,Alain Sars,Relatório da Partida,
14,sáb,2002-11-09,,Bordeaux,2–0,Rennes,,Stade Chaban,Pascal Garibian,Relatório da Partida,
14,sáb,2002-11-09,,Lille,0–1,Nantes,,STADE GRIMONPREZ JOORIS,Laurent Duhamel,Relatório da Partida,
14,sáb,2002-11-09,,Paris S-G,1–1,Sochaux,,Parc des Princes,Bertrand Layec,Relatório da Partida,
14,sáb,2002-11-09,,Strasbourg,2–0,Lens,,Stade de la Meinau,Claude Colombo,Relatório da Partida,
,,,,,,,,,,,
15,qui,2002-11-14,,Monaco,3–2,Ajaccio,,Stade Louis II,Pascal Viléo,Relatório da Partida,
15,sáb,2002-11-16,,Nantes,4–1,Strasbourg,,Stade de la Beaujoire,Stéphane Moulin,Relatório da Partida,
15,sáb,2002-11-16,,Sedan,0–1,Lille,,Stade Louis,Stéphane Bré,Relatório da Partida,
15,sáb,2002-11-16,,Sochaux,0–0,Montpellier,,Stade Bonal,Thierry Auriac,Relatório da Partida,
15,sáb,2002-11-16,,Bastia,0–2,Guingamp,,Stade Armand Cesari,Philippe Kalt,Relatório da Partida,
15,sáb,2002-11-16,,Lyon,4–2,Bordeaux,,Stade Municipal de Gerland,Gilles Veissière,Relatório da Partida,
15,sáb,2002-11-16,,Auxerre,0–2,Nice,,Stade Abbé Deschamps,Bertrand Layec,Relatório da Partida,
15,sáb,2002-11-16,,Marseille,0–0,Troyes,,Orange Vélodrome,Bruno Ruffray,Relatório da Partida,
15,sáb,2002-11-16,,Rennes,0–0,Le Havre,,ROAZHON PARK,Bruno Coué,Relatório da Partida,
15,dom,2002-11-17,,Lens,3–2,Paris S-G,,Stade Bollaert,Damien Ledentu,Relatório da Partida,
,,,,,,,,,,,
16,sex,2002-11-22,,Paris S-G,0–1,Nantes,,Parc des Princes,Claude Colombo,Relatório da Partida,
16,sáb,2002-11-23,,Marseille,1–0,Lens,,Orange Vélodrome,Pascal Garibian,Relatório da Partida,
16,sáb,2002-11-23,,Nice,0–0,Rennes,,Allianz Riviera,Alain Hamer,Relatório da Partida,
16,sáb,2002-11-23,,Troyes,2–0,Sedan,,Stade de l'Aube,Gilles Veissière,Relatório da Partida,
16,sáb,2002-11-23,,Bordeaux,1–0,Ajaccio,,Stade Chaban,Hervé Piccirillo,Relatório da Partida,
16,sáb,2002-11-23,,Guingamp,2–0,Sochaux,,Stade Municipal du Roudourou,Bruno Derrien,Relatório da Partida,
16,sáb,2002-11-23,,Montpellier,2–2,Bastia,,Stade de la Mosson et du Mondial 98,Stéphane Moulin,Relatório da Partida,
16,sáb,2002-11-23,,Le Havre,0–1,Auxerre,,Stade Municipal Jules Deschaseaux,Pascal Viléo,Relatório da Partida,
16,sáb,2002-11-23,,Lille,2–1,Lyon,,STADE GRIMONPREZ JOORIS,Alain Sars,Relatório da Partida,
16,dom,2002-11-24,,Strasbourg,1–0,Monaco,,Stade de la Meinau,Bertrand Layec,Relatório da Partida,
,,,,,,,,,,,
17,sáb,2002-11-30,,Sedan,3–0,Nice,,Stade Louis,Thierry Auriac,Relatório da Partida,
17,sáb,2002-11-30,,Ajaccio,1–2,Le Havre,,Stade François Coty,Stéphane Lannoy,Relatório da Partida,
17,sáb,2002-11-30,,Nantes,3–1,Montpellier,,Stade de la Beaujoire,Hervé Piccirillo,Relatório da Partida,
17,sáb,2002-11-30,,Rennes,5–1,Lille,,ROAZHON PARK,Stéphane Moulin,Relatório da Partida,
17,sáb,2002-11-30,,Bastia,2–0,Marseille,,Stade Armand Cesari,Damien Ledentu,Relatório da Partida,
17,sáb,2002-11-30,,Monaco,3–1,Paris S-G,,Stade Louis II,Laurent Duhamel,Relatório da Partida,
17,sáb,2002-11-30,,Sochaux,1–0,Troyes,,Stade Bonal,Jean-Marc Bonnin,Relatório da Partida,
17,dom,2002-12-01,,Lens,1–3,Guingamp,,Stade Bollaert,Éric Poulat,Relatório da Partida,
17,dom,2002-12-01,,Auxerre,1–0,Bordeaux,,Stade Abbé Deschamps,Bruno Coué,Relatório da Partida,
17,dom,2002-12-01,,Lyon,2–1,Strasbourg,,Stade Municipal de Gerland,Bruno Derrien,Relatório da Partida,
,,,,,,,,,,,
18,ter,2002-12-03,,Nice,3–0,Ajaccio,,Allianz Riviera,Pascal Garibian,Relatório da Partida,
18,qua,2002-12-04,,Le Havre,1–0,Bordeaux,,Stade Municipal Jules Deschaseaux,Thierry Auriac,Relatório da Partida,
18,qua,2002-12-04,,Troyes,0–0,Lens,,Stade de l'Aube,Bertrand Layec,Relatório da Partida,
18,qua,2002-12-04,,Lille,2–2,Auxerre,,STADE GRIMONPREZ JOORIS,Éric Poulat,Relatório da Partida,
18,qua,2002-12-04,,Strasbourg,1–3,Rennes,,Stade de la Meinau,Jean-Marc Bonnin,Relatório da Partida,
18,qua,2002-12-04,,Guingamp,2–0,Nantes,,Stade Municipal du Roudourou,Gilles Veissière,Relatório da Partida,
18,qua,2002-12-04,,Paris S-G,2–0,Lyon,,Parc des Princes,Stéphane Bré,Relatório da Partida,
18,qua,2002-12-04,,Marseille,1–0,Sochaux,,Orange Vélodrome,Patrick Lhermite,Relatório da Partida,
18,qua,2002-12-04,,Montpellier,1–2,Monaco,,Stade de la Mosson et du Mondial 98,Pascal Viléo,Relatório da Partida,
18,qua,2002-12-04,,Bastia,0–1,Sedan,,Stade Armand Cesari,Bruno Derrien,Relatório da Partida,
,,,,,,,,,,,
19,sáb,2002-12-14,,Sedan,1–2,Marseille,,Stade Louis,Hervé Piccirillo,Relatório da Partida,
19,sáb,2002-12-14,,Sochaux,2–0,Bastia,,Stade Bonal,Gilles Veissière,Relatório da Partida,
19,dom,2002-12-15,,Bordeaux,4–0,Nice,,Stade Chaban,Stéphane Bré,Relatório da Partida,
19,dom,2002-12-15,,Monaco,4–0,Guingamp,,Stade Louis II,Stéphane Lannoy,Relatório da Partida,
19,dom,2002-12-15,,Lyon,1–1,Montpellier,,Stade Municipal de Gerland,Jean-Marc Bonnin,Relatório da Partida,
19,dom,2002-12-15,,Auxerre,0–0,Strasbourg,,Stade Abbé Deschamps,Pascal Garibian,Relatório da Partida,
19,dom,2002-12-15,,Rennes,1–0,Paris S-G,,ROAZHON PARK,Thierry Auriac,Relatório da Partida,
19,dom,2002-12-15,,Nantes,2–1,Troyes,,Stade de la Beaujoire,Patrick Lhermite,Relatório da Partida,
19,dom,2002-12-15,,Lens,1–0,Le Havre,,Stade Bollaert,Bruno Derrien,Relatório da Partida,
19,dom,2002-12-15,,Ajaccio,2–2,Lille,,Stade François Coty,Damien Ledentu,Relatório da Partida,
,,,,,,,,,,,
20,qui,2002-12-19,,Paris S-G,1–1,Bordeaux,,Parc des Princes,Damien Ledentu,Relatório da Partida,
20,sex,2002-12-20,,Troyes,0–1,Rennes,,Stade de l'Aube,Stéphane Lannoy,Relatório da Partida,
20,sex,2002-12-20,,Guingamp,3–1,Ajaccio,,Stade Municipal du Roudourou,Bruno Coué,Relatório da Partida,
20,sex,2002-12-20,,Sochaux,3–0,Lens,,Stade Bonal,Bruno Ruffray,Relatório da Partida,
20,sex,2002-12-20,,Lille,1–0,Le Havre,,STADE GRIMONPREZ JOORIS,Philippe Kalt,Relatório da Partida,
20,sex,2002-12-20,,Sedan,1–1,Lyon,,Stade Louis,Bertrand Layec,Relatório da Partida,
20,sex,2002-12-20,,Marseille,1–1,Monaco,,Orange Vélodrome,Stéphane Bré,Relatório da Partida,
20,sex,2002-12-20,,Strasbourg,0–0,Nice,,Stade de la Meinau,Hervé Piccirillo,Relatório da Partida,
20,sex,2002-12-20,,Bastia,3–1,Nantes,,Stade Armand Cesari,Éric Poulat,Relatório da Partida,
,,,,,,,,,,,
