Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sex,2004-08-06,,Nice,0–1,Lyon,,Allianz Riviera,Bertrand Layec,Relatório da Partida,
1,sáb,2004-08-07,,Rennes,2–1,Paris S-G,,ROAZHON PARK,Alain Hamer,Relatório da Partida,
1,sáb,2004-08-07,,Bastia,2–1,Strasbourg,,Stade Armand Cesari,Thierry Auriac,Relatório da Partida,
1,sáb,2004-08-07,,Caen,1–1,Istres,,Stade Michel d'Ornano,Philippe Malige,Relatório da Partida,
1,sáb,2004-08-07,,Lille,2–0,Auxerre,,Stadium Lille Métropole,Hervé Piccirillo,Relatório da Partida,
1,sáb,2004-08-07,,Saint-Étienne,0–1,Monaco,,Stade Geoffroy,Laurent Duhamel,Relatório da Partida,
1,sáb,2004-08-07,,Metz,1–0,Nantes,,Stade Saint,Stéphane Moulin,Relatório da Partida,
1,sáb,2004-08-07,,Marseille,1–0,Bordeaux,,Orange Vélodrome,Alain Sars,Relatório da Partida,
1,sáb,2004-08-07,,Toulouse,0–0,Lens,,Stadium,Tony Chapron,Relatório da Partida,
1,sáb,2004-08-07,,Sochaux,1–0,Ajaccio,,Stade Bonal,Pascal Viléo,Relatório da Partida,
,,,,,,,,,,,
2,sáb,2004-08-14,,Paris S-G,2–2,Caen,,Parc des Princes,Olivier Thual,Relatório da Partida,
2,sáb,2004-08-14,,Strasbourg,1–4,Toulouse,,Stade de la Meinau,Fredy Fautrel,Relatório da Partida,
2,sáb,2004-08-14,,Monaco,2–1,Istres,,Stade Louis II,Dominique Fraise,Relatório da Partida,
2,sáb,2004-08-14,,Nantes,1–1,Bastia,,Stade de la Beaujoire,Bruno Derrien,Relatório da Partida,
2,sáb,2004-08-14,,Bordeaux,5–1,Nice,,Stade Chaban,Pascal Garibian,Relatório da Partida,
2,sáb,2004-08-14,,Ajaccio,1–2,Metz,,Stade François Coty,Bruno Ruffray,Relatório da Partida,
2,sáb,2004-08-14,,Lens,3–0,Saint-Étienne,,Stade Bollaert,Gilles Veissière,Relatório da Partida,
2,sáb,2004-08-14,,Auxerre,3–1,Rennes,,Stade Abbé Deschamps,Philippe Kalt,Relatório da Partida,
2,sáb,2004-08-14,,Lyon,1–1,Sochaux,,Stade Municipal de Gerland,Stéphane Bré,Relatório da Partida,
2,dom,2004-08-15,,Marseille,3–0,Lille,,Orange Vélodrome,Damien Ledentu,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2004-08-21,,Lille,0–0,Bordeaux,,Stadium Lille Métropole,Thierry Auriac,Relatório da Partida,
3,sáb,2004-08-21,,Caen,1–0,Monaco,,Stade Michel d'Ornano,Pascal Viléo,Relatório da Partida,
3,sáb,2004-08-21,,Nice,1–1,Marseille,,Allianz Riviera,Stéphane Bré,Relatório da Partida,
3,sáb,2004-08-21,,Bastia,1–0,Ajaccio,,Stade Armand Cesari,Claude Colombo,Relatório da Partida,
3,sáb,2004-08-21,,Toulouse,2–1,Paris S-G,,Stadium,Alain Sars,Relatório da Partida,
3,sáb,2004-08-21,,Istres,0–2,Lens,,Stade des Costières,Patrick Lhermite,Relatório da Partida,
3,sáb,2004-08-21,,Rennes,1–0,Nantes,,ROAZHON PARK,Gilles Veissière,Relatório da Partida,
3,sáb,2004-08-21,,Saint-Étienne,1–1,Strasbourg,,Stade Geoffroy,Stéphane Lannoy,Relatório da Partida,
3,sáb,2004-08-21,,Sochaux,1–2,Auxerre,,Stade Bonal,Bertrand Layec,Relatório da Partida,
3,dom,2004-08-22,,Metz,1–1,Lyon,,Stade Saint,Hervé Piccirillo,Relatório da Partida,
,,,,,,,,,,,
4,sex,2004-08-27,,Nice,1–1,Bastia,,Allianz Riviera,Laurent Duhamel,Relatório da Partida,
4,sáb,2004-08-28,,Bordeaux,2–0,Sochaux,,Stade Chaban,Bruno Derrien,Relatório da Partida,
4,sáb,2004-08-28,,Ajaccio,1–1,Rennes,,Stade François Coty,Fredy Fautrel,Relatório da Partida,
4,sáb,2004-08-28,,Marseille,1–3,Metz,,Orange Vélodrome,Olivier Thual,Relatório da Partida,
4,sáb,2004-08-28,,Lyon,1–0,Lille,,Stade Municipal de Gerland,Philippe Kalt,Relatório da Partida,
4,sáb,2004-08-28,,Lens,1–1,Monaco,,Stade Bollaert,Pascal Garibian,Relatório da Partida,
4,sáb,2004-08-28,,Nantes,2–2,Toulouse,,Stade de la Beaujoire,Philippe Malige,Relatório da Partida,
4,sáb,2004-08-28,,Auxerre,1–0,Caen,,Stade Abbé Deschamps,Stéphane Moulin,Relatório da Partida,
4,sáb,2004-08-28,,Strasbourg,1–1,Istres,,Stade de la Meinau,Tony Chapron,Relatório da Partida,
4,dom,2004-08-29,,Paris S-G,2–2,Saint-Étienne,,Parc des Princes,Damien Ledentu,Relatório da Partida,
,,,,,,,,,,,
5,sáb,2004-09-11,,Saint-Étienne,0–0,Nantes,,Stade Geoffroy,Fredy Fautrel,Relatório da Partida,
5,sáb,2004-09-11,,Istres,1–1,Paris S-G,,STADE BARDIN,Philippe Kalt,Relatório da Partida,
5,sáb,2004-09-11,,Bastia,1–0,Auxerre,,Stade Armand Cesari,Stéphane Lannoy,Relatório da Partida,
5,sáb,2004-09-11,,Caen,1–0,Lens,,Stade Michel d'Ornano,Bertrand Layec,Relatório da Partida,
5,sáb,2004-09-11,,Rennes,1–2,Lyon,,ROAZHON PARK,Claude Colombo,Relatório da Partida,
5,sáb,2004-09-11,,Monaco,3–1,Strasbourg,,Stade Louis II,Patrick Lhermite,Relatório da Partida,
5,sáb,2004-09-11,,Toulouse,3–1,Ajaccio,,Stadium,Hervé Piccirillo,Relatório da Partida,
5,sáb,2004-09-11,,Metz,0–0,Bordeaux,,Stade Saint,Stéphane Bré,Relatório da Partida,
5,sáb,2004-09-11,,Lille,1–0,Nice,,Stadium Lille Métropole,Bruno Derrien,Relatório da Partida,
5,dom,2004-09-12,,Sochaux,2–0,Marseille,,Stade Bonal,Gilles Veissière,Relatório da Partida,
,,,,,,,,,,,
6,sáb,2004-09-18,,Bordeaux,0–0,Rennes,,Stade Chaban,Tony Chapron,Relatório da Partida,
6,sáb,2004-09-18,,Strasbourg,2–2,Lens,,Stade de la Meinau,Dominique Fraise,Relatório da Partida,
6,sáb,2004-09-18,,Lyon,0–0,Bastia,,Stade Municipal de Gerland,Damien Ledentu,Relatório da Partida,
6,sáb,2004-09-18,,Marseille,1–0,Toulouse,,Orange Vélodrome,Alain Hamer,Relatório da Partida,
6,sáb,2004-09-18,,Nantes,1–0,Istres,,Stade de la Beaujoire,Olivier Thual,Relatório da Partida,
6,sáb,2004-09-18,,Ajaccio,1–1,Saint-Étienne,,Stade François Coty,Stéphane Moulin,Relatório da Partida,
6,dom,2004-09-19,,Paris S-G,0–1,Monaco,,Parc des Princes,Stéphane Bré,Relatório da Partida,
6,dom,2004-09-19,,Auxerre,4–0,Metz,,Stade Abbé Deschamps,Laurent Duhamel,Relatório da Partida,
6,dom,2004-09-19,,Nice,2–1,Sochaux,,Allianz Riviera,Philippe Kalt,Relatório da Partida,
6,dom,2004-09-19,,Lille,2–0,Caen,,Stadium Lille Métropole,Alain Sars,Relatório da Partida,
,,,,,,,,,,,
7,ter,2004-09-21,,Toulouse,0–2,Lyon,,Stadium,Gilles Veissière,Relatório da Partida,
7,qua,2004-09-22,,Lens,2–2,Paris S-G,,Stade Bollaert,Éric Poulat,Relatório da Partida,
7,qua,2004-09-22,,Sochaux,0–2,Lille,,Stade Bonal,Philippe Malige,Relatório da Partida,
7,qua,2004-09-22,,Rennes,1–0,Marseille,,ROAZHON PARK,Pascal Garibian,Relatório da Partida,
7,qua,2004-09-22,,Istres,0–1,Ajaccio,,STADE BARDIN,Thierry Auriac,Relatório da Partida,
7,qua,2004-09-22,,Bastia,1–4,Bordeaux,,Stade Armand Cesari,Bertrand Layec,Relatório da Partida,
7,qua,2004-09-22,,Metz,1–1,Nice,,Stade Saint,Patrick Lhermite,Relatório da Partida,
7,qua,2004-09-22,,Saint-Étienne,3–1,Auxerre,,Stade Geoffroy,Stéphane Bré,Relatório da Partida,
7,qua,2004-09-22,,Monaco,2–1,Nantes,,Stade Louis II,Hervé Piccirillo,Relatório da Partida,
7,qua,2004-09-22,,Caen,0–0,Strasbourg,,Stade Michel d'Ornano,Bruno Derrien,Relatório da Partida,
,,,,,,,,,,,
8,sáb,2004-09-25,,Sochaux,2–1,Saint-Étienne,,Stade Bonal,Alain Sars,Relatório da Partida,
8,sáb,2004-09-25,,Marseille,1–0,Bastia,,Orange Vélodrome,Stéphane Moulin,Relatório da Partida,
