Rodada,Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,1,sex,2016-08-12,20:00 (15:00),Bastia,0–1,Paris S-G,13.122,Stade Armand Césari,Franck Schneider,Relatório da Partida,
Temporada regular,1,sex,2016-08-12,20:30 (15:30),Monaco,2–2,Guingamp,8.019,Stade Louis II.,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,1,sáb,2016-08-13,17:00 (12:00),Bordeaux,3–2,Saint-Étienne,34.212,Stade Matmut-Atlantique,Lionel Jaffredo,Relatório da Partida,
Temporada regular,1,sáb,2016-08-13,20:00 (15:00),Montpellier,1–0,Angers,10.389,Stade de la Mosson,Bartolomeu Varela,Relatório da Partida,
Temporada regular,1,sáb,2016-08-13,20:00 (15:00),Metz,3–2,Lille,17.174,Stade Saint-Symphorien,Mikael Lesage,Relatório da Partida,
Temporada regular,1,sáb,2016-08-13,20:00 (15:00),Dijon,0–1,Nantes,9.236,Stade Gaston Gérard,Karim Abed,Relatório da Partida,
Temporada regular,1,sáb,2016-08-13,20:00 (15:00),Caen,3–2,Lorient,16.920,Stade Michel d'Ornano,Johan Hamel,Relatório da Partida,
Temporada regular,1,dom,2016-08-14,15:00 (10:00),Nancy,0–3,Lyon,18.885,Stade Marcel Picot,Amaury Delerue,Relatório da Partida,
Temporada regular,1,dom,2016-08-14,17:00 (12:00),Nice,1–0,Rennes,19.075,Stade de Nice,Antony Gautier,Relatório da Partida,
Temporada regular,1,dom,2016-08-14,20:45 (15:45),Marseille,0–0,Toulouse,37.364,Orange Vélodrome,Benoît Millot,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,2,sex,2016-08-19,20:45 (15:45),Lyon,2–0,Caen,41.171,Groupama Stadium,Benoît Millot,Relatório da Partida,
Temporada regular,2,sáb,2016-08-20,17:00 (12:00),Nantes,0–1,Monaco,25.908,Stade de la Beaujoire - Louis Fonteneau,Stéphane Lannoy,Relatório da Partida,
Temporada regular,2,sáb,2016-08-20,20:00 (15:00),Lorient,0–3,Bastia,10.256,Stade Yves Allainmat - Le Moustoir,Amaury Delerue,Relatório da Partida,
Temporada regular,2,sáb,2016-08-20,20:00 (15:00),Angers,0–1,Nice,10.142,Stade Raymond Kopa,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,2,sáb,2016-08-20,20:00 (15:00),Rennes,2–0,Nancy,20.705,Roazhon Park,Mikael Lesage,Relatório da Partida,
Temporada regular,2,sáb,2016-08-20,20:00 (15:00),Lille,1–0,Dijon,25.548,Stade Pierre-Mauroy,Olivier Thual,Relatório da Partida,
Temporada regular,2,sáb,2016-08-20,20:00 (15:00),Toulouse,4–1,Bordeaux,19.258,Stadium Municipal,Tony Chapron,Relatório da Partida,
Temporada regular,2,dom,2016-08-21,15:00 (10:00),Guingamp,2–1,Marseille,16.056,Stade du Roudourou,Benoît Bastien,Relatório da Partida,
Temporada regular,2,dom,2016-08-21,17:00 (12:00),Saint-Étienne,3–1,Montpellier,23.661,Stade Geoffroy-Guichard,Ruddy Buquet,Relatório da Partida,
Temporada regular,2,dom,2016-08-21,20:45 (15:45),Paris S-G,3–0,Metz,46.011,Parc des Princes,François Letexier,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,3,sex,2016-08-26,20:45 (15:45),Marseille,2–0,Lorient,26.193,Orange Vélodrome,Antony Gautier,Relatório da Partida,
Temporada regular,3,sáb,2016-08-27,17:00 (12:00),Dijon,4–2,Lyon,10.369,Stade Gaston Gérard,Johan Hamel,Relatório da Partida,
Temporada regular,3,sáb,2016-08-27,20:00 (15:00),Caen,2–0,Bastia,15.695,Stade Michel d'Ornano,Lionel Jaffredo,Relatório da Partida,
Temporada regular,3,sáb,2016-08-27,20:00 (15:00),Montpellier,1–1,Rennes,9.163,Stade de la Mosson,Benoît Millot,Relatório da Partida,
Temporada regular,3,sáb,2016-08-27,20:00 (15:00),Nice,1–1,Lille,16.355,Stade de Nice,François Letexier,Relatório da Partida,
Temporada regular,3,sáb,2016-08-27,20:00 (15:00),Nancy,0–2,Guingamp,15.587,Stade Marcel Picot,Franck Schneider,Relatório da Partida,
Temporada regular,3,sáb,2016-08-27,20:00 (15:00),Metz,2–0,Angers,14.805,Stade Saint-Symphorien,Karim Abed,Relatório da Partida,
