Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,1,sex,2017-08-04,20:45 (15:45),Monaco,2.0,3–2,0.3,Toulouse,13.572,Stade Louis II.,Clément Turpin,Relatório da Partida,
Temporada regular,1,sáb,2017-08-05,17:15 (12:15),Paris S-G,2.6,2–0,0.3,Amiens,46.898,Parc des Princes,Mikael Lesage,Relatório da Partida,
Temporada regular,1,sáb,2017-08-05,20:00 (15:00),Lyon,1.8,4–0,0.5,Strasbourg,1.979,Groupama Stadium,Ruddy Buquet,Relatório da Partida,
Temporada regular,1,sáb,2017-08-05,20:00 (15:00),Saint-Étienne,0.9,1–0,0.5,Nice,25.879,Stade Geoffroy-Guichard,François Letexier,Relatório da Partida,
Temporada regular,1,sáb,2017-08-05,20:00 (15:00),Metz,0.6,1–3,1.9,Guingamp,14.595,Stade Saint-Symphorien,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,1,sáb,2017-08-05,20:00 (15:00),Montpellier,1.4,1–0,0.4,Caen,14.725,Stade de la Mosson,Thomas Léonard,Relatório da Partida,
Temporada regular,1,sáb,2017-08-05,20:00 (15:00),Troyes,1.9,1–1,2.2,Rennes,9.968,Stade de l'Aube,Karim Abed,Relatório da Partida,
Temporada regular,1,dom,2017-08-06,15:00 (10:00),Lille,1.9,3–0,1.3,Nantes,30.683,Stade Pierre-Mauroy,Benoît Millot,Relatório da Partida,
Temporada regular,1,dom,2017-08-06,17:00 (12:00),Angers,1.2,2–2,1.7,Bordeaux,11.767,Stade Raymond Kopa,Sébastien Desiage,Relatório da Partida,
Temporada regular,1,dom,2017-08-06,21:00 (16:00),Marseille,2.1,3–0,0.6,Dijon,50.904,Orange Vélodrome,Benoît Bastien,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,2,sex,2017-08-11,19:00 (14:00),Nice,2.3,1–2,0.5,Troyes,24.260,Stade de Nice,Olivier Thual,Relatório da Partida,
Temporada regular,2,sex,2017-08-11,20:45 (15:45),Rennes,1.0,1–2,1.4,Lyon,24.944,Roazhon Park,Nicolas Rainville,Relatório da Partida,
Temporada regular,2,sáb,2017-08-12,17:00 (12:00),Nantes,1.3,0–1,1.6,Marseille,33.654,Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,Relatório da Partida,
Temporada regular,2,sáb,2017-08-12,20:00 (15:00),Caen,0.9,0–1,1.1,Saint-Étienne,17.606,Stade Michel d'Ornano,Stéphane Jochem,Relatório da Partida,
