Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sex,2019-08-09,20:45 (15:45),Monaco,0.6,0–3,0.8,Lyon,10.000,Stade Louis II.,Ruddy Buquet,Relatório da Partida,
1,sáb,2019-08-10,17:30 (12:30),Marseille,0.9,0–2,1.2,Reims,52.887,Orange Vélodrome,Jérôme Brisard,Relatório da Partida,
1,sáb,2019-08-10,20:00 (15:00),Montpellier,2.9,0–1,1.2,Rennes,15.212,Stade de la Mosson,Willy Delajod,Relatório da Partida,
1,sáb,2019-08-10,20:00 (15:00),Dijon,2.1,1–2,1.0,Saint-Étienne,14.334,Stade Gaston Gérard,Thomas Léonard,Relatório da Partida,
1,sáb,2019-08-10,20:00 (15:00),Angers,1.6,3–1,1.0,Bordeaux,10.749,Stade Raymond Kopa,Hakim Ben El Hadj Salem,Relatório da Partida,
1,sáb,2019-08-10,20:00 (15:00),Brest,2.2,1–1,1.5,Toulouse,14.238,Stade Francis-Le Blé,Olivier Thual,Relatório da Partida,
1,sáb,2019-08-10,20:00 (15:00),Nice,1.8,2–1,0.8,Amiens,17.719,Stade de Nice,Jérémie Pignard,Relatório da Partida,
1,dom,2019-08-11,15:00 (10:00),Lille,1.3,2–1,0.6,Nantes,34.494,Stade Pierre-Mauroy,Mikael Lesage,Relatório da Partida,
1,dom,2019-08-11,17:00 (12:00),Strasbourg,1.7,1–1,0.3,Metz,25.476,Stade de la Meinau,Antony Gautier,Relatório da Partida,
1,dom,2019-08-11,21:00 (16:00),Paris S-G,3.5,3–0,0.3,Nîmes,47.151,Parc des Princes,Clément Turpin,Relatório da Partida,
,,,,,,,,,,,,,
2,sex,2019-08-16,20:45 (15:45),Lyon,1.1,6–0,0.4,Angers,49.871,Groupama Stadium,Benoît Millot,Relatório da Partida,
2,sáb,2019-08-17,17:30 (12:30),Nantes,0.5,0–0,1.2,Marseille,34.832,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Relatório da Partida,
2,sáb,2019-08-17,20:00 (15:00),Bordeaux,1.2,1–1,0.8,Montpellier,30.192,Stade Matmut-Atlantique,Franck Schneider,Relatório da Partida,
2,sáb,2019-08-17,20:00 (15:00),Nîmes,1.5,1–2,1.9,Nice,13.243,Stade des Costières,François Letexier,Relatório da Partida,
2,sáb,2019-08-17,20:00 (15:00),Toulouse,1.5,1–0,1.3,Dijon,10.583,Stadium Municipal,Ruddy Buquet,Relatório da Partida,
2,sáb,2019-08-17,20:00 (15:00),Metz,2.6,3–0,0.8,Monaco,19.088,Stade Saint-Symphorien,Eric Wattellier,Relatório da Partida,
2,sáb,2019-08-17,20:00 (15:00),Amiens,1.0,1–0,0.3,Lille,12.481,Stade de la Licorne,Karim Abed,Relatório da Partida,
2,dom,2019-08-18,15:00 (10:00),Saint-Étienne,2.3,1–1,0.5,Brest,28.645,Stade Geoffroy-Guichard,Johan Hamel,Relatório da Partida,
2,dom,2019-08-18,17:00 (12:00),Reims,0.5,0–0,0.4,Strasbourg,13.714,Stade Auguste-Delaune II,Florent Batta,Relatório da Partida,
2,dom,2019-08-18,21:00 (16:00),Rennes,1.2,2–1,1.0,Paris S-G,28.596,Roazhon Park,Antony Gautier,Relatório da Partida,
,,,,,,,,,,,,,
3,sáb,2019-08-24,20:00 (15:00),Amiens,0.4,1–2,2.4,Nantes,11.393,Stade de la Licorne,Jeremy Stinat,Relatório da Partida,
3,sáb,2019-08-24,20:00 (15:00),Dijon,0.4,0–2,0.6,Bordeaux,12.471,Stade Gaston Gérard,François Letexier,Relatório da Partida,
3,sáb,2019-08-24,20:00 (15:00),Brest,0.5,1–0,1.0,Reims,13.958,Stade Francis-Le Blé,Hakim Ben El Hadj Salem,Relatório da Partida,
3,sáb,2019-08-24,20:00 (15:00),Angers,1.9,3–0,0.2,Metz,9.001,Stade Raymond Kopa,Stéphanie Frappart,Relatório da Partida,
3,dom,2019-08-25,15:00 (10:00),Monaco,2.0,2–2,2.5,Nîmes,7.438,Stade Louis II.,Amaury Delerue,Relatório da Partida,
3,dom,2019-08-25,17:00 (12:00),Strasbourg,1.9,0–2,0.6,Rennes,24.951,Stade de la Meinau,Ruddy Buquet,Relatório da Partida,
3,dom,2019-08-25,21:00 (16:00),Paris S-G,4.1,4–0,0.4,Toulouse,47.325,Parc des Princes,Jérôme Brisard,Relatório da Partida,
3,ter,2019-08-27,19:00 (14:00),Montpellier,2.1,1–0,0.9,Lyon,19.387,Stade de la Mosson,Mikael Lesage,Relatório da Partida,
3,qua,2019-08-28,19:00 (14:00),Lille,2.4,3–0,0.8,Saint-Étienne,36.138,Stade Pierre-Mauroy,Olivier Thual,Relatório da Partida,
3,qua,2019-08-28,21:00 (16:00),Nice,1.7,1–2,1.7,Marseille,31.825,Stade de Nice,Clément Turpin,Relatório da Partida,
,,,,,,,,,,,,,
4,sex,2019-08-30,20:45 (15:45),Metz,0.4,0–2,1.6,Paris S-G,20.685,Stade Saint-Symphorien,Franck Schneider,Relatório da Partida,
4,sáb,2019-08-31,17:30 (12:30),Lyon,0.7,1–1,1.1,Bordeaux,52.327,Groupama Stadium,Antony Gautier,Relatório da Partida,
4,sáb,2019-08-31,20:00 (15:00),Toulouse,1.3,2–0,0.4,Amiens,10.184,Stadium Municipal,Florent Batta,Relatório da Partida,
4,sáb,2019-08-31,20:00 (15:00),Angers,1.4,2–0,0.7,Dijon,8.988,Stade Raymond Kopa,Jérémie Pignard,Relatório da Partida,
4,sáb,2019-08-31,20:00 (15:00),Nîmes,2.4,3–0,0.7,Brest,12.488,Stade des Costières,Thomas Léonard,Relatório da Partida,
4,sáb,2019-08-31,20:00 (15:00),Nantes,0.9,1–0,0.5,Montpellier,18.980,Stade de la Beaujoire - Louis Fonteneau,Karim Abed,Relatório da Partida,
4,dom,2019-09-01,15:00 (10:00),Rennes,0.8,1–2,1.8,Nice,26.721,Roazhon Park,Johan Hamel,Relatório da Partida,
4,dom,2019-09-01,15:00 (10:00),Reims,2.1,2–0,1.6,Lille,14.477,Stade Auguste-Delaune II,Eric Wattellier,Relatório da Partida,
4,dom,2019-09-01,17:00 (12:00),Strasbourg,1.5,2–2,2.9,Monaco,24.556,Stade de la Meinau,Willy Delajod,Relatório da Partida,
4,dom,2019-09-01,21:00 (16:00),Marseille,0.7,1–0,0.8,Saint-Étienne,44.074,Orange Vélodrome,Benoît Millot,Relatório da Partida,
,,,,,,,,,,,,,
5,sex,2019-09-13,19:00 (14:00),Lille,1.4,2–1,0.7,Angers,32.834,Stade Pierre-Mauroy,Ruddy Buquet,Relatório da Partida,
5,sex,2019-09-13,20:45 (15:45),Amiens,0.5,2–2,2.0,Lyon,12.577,Stade de la Licorne,Benoît Bastien,Relatório da Partida,
5,sáb,2019-09-14,17:30 (12:30),Paris S-G,0.8,1–0,0.5,Strasbourg,47.505,Parc des Princes,Amaury Delerue,Relatório da Partida,
5,sáb,2019-09-14,20:00 (15:00),Brest,0.5,0–0,0.4,Rennes,14.937,Stade Francis-Le Blé,Clément Turpin,Relatório da Partida,
5,sáb,2019-09-14,20:00 (15:00),Dijon,1.3,0–0,0.4,Nîmes,11.413,Stade Gaston Gérard,Stéphanie Frappart,Relatório da Partida,
5,sáb,2019-09-14,20:00 (15:00),Montpellier,1.8,2–1,1.0,Nice,12.765,Stade de la Mosson,Olivier Thual,Relatório da Partida,
5,sáb,2019-09-14,20:00 (15:00),Bordeaux,1.4,2–0,1.2,Metz,14.352,Stade Matmut-Atlantique,Mikael Lesage,Relatório da Partida,
5,dom,2019-09-15,15:00 (10:00),Nantes,0.4,1–0,0.7,Reims,18.897,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Relatório da Partida,
5,dom,2019-09-15,17:00 (12:00),Saint-Étienne,1.1,2–2,1.9,Toulouse,24.240,Stade Geoffroy-Guichard,Jeremy Stinat,Relatório da Partida,
5,dom,2019-09-15,21:00 (16:00),Monaco,2.5,3–4,1.6,Marseille,9.147,Stade Louis II.,Antony Gautier,Relatório da Partida,
,,,,,,,,,,,,,
6,sex,2019-09-20,20:45 (15:45),Strasbourg,2.0,2–1,0.6,Nantes,24.013,Stade de la Meinau,Florent Batta,Relatório da Partida,
6,sáb,2019-09-21,17:30 (12:30),Marseille,1.2,1–1,0.1,Montpellier,48.007,Orange Vélodrome,Amaury Delerue,Relatório da Partida,
6,sáb,2019-09-21,20:00 (15:00),Nîmes,1.4,1–0,0.7,Toulouse,12.258,Stade des Costières,Karim Abed,Relatório da Partida,
6,sáb,2019-09-21,20:00 (15:00),Nice,1.1,2–1,1.2,Dijon,16.255,Stade de Nice,Willy Delajod,Relatório da Partida,
6,sáb,2019-09-21,20:00 (15:00),Reims,1.3,0–0,0.6,Monaco,14.426,Stade Auguste-Delaune II,Olivier Thual,Relatório da Partida,
6,sáb,2019-09-21,20:00 (15:00),Bordeaux,1.7,2–2,1.3,Brest,15.213,Stade Matmut-Atlantique,Benoît Millot,Relatório da Partida,
6,sáb,2019-09-21,20:00 (15:00),Metz,1.3,1–2,1.3,Amiens,15.106,Stade Saint-Symphorien,Hakim Ben El Hadj Salem,Relatório da Partida,
6,dom,2019-09-22,15:00 (10:00),Rennes,0.9,1–1,1.1,Lille,25.772,Roazhon Park,Jérôme Brisard,Relatório da Partida,
6,dom,2019-09-22,17:00 (12:00),Angers,2.0,4–1,0.8,Saint-Étienne,9.831,Stade Raymond Kopa,Franck Schneider,Relatório da Partida,
6,dom,2019-09-22,21:00 (16:00),Lyon,0.5,0–1,1.5,Paris S-G,54.583,Groupama Stadium,Ruddy Buquet,Relatório da Partida,
,,,,,,,,,,,,,
7,ter,2019-09-24,19:00 (14:00),Dijon,1.4,0–0,0.9,Marseille,15.061,Stade Gaston Gérard,Jeremy Stinat,Relatório da Partida,
7,ter,2019-09-24,21:00 (16:00),Monaco,2.3,3–1,0.7,Nice,9.358,Stade Louis II.,Mikael Lesage,Relatório da Partida,
7,qua,2019-09-25,19:00 (14:00),Toulouse,0.3,0–2,1.6,Angers,10.177,Stadium Municipal,Olivier Thual,Relatório da Partida,
7,qua,2019-09-25,19:00 (14:00),Brest,0.7,2–2,1.2,Lyon,14.472,Stade Francis-Le Blé,Amaury Delerue,Relatório da Partida,
7,qua,2019-09-25,19:00 (14:00),Nantes,1.4,1–0,1.1,Rennes,26.952,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Relatório da Partida,
7,qua,2019-09-25,19:00 (14:00),Amiens,1.5,1–3,0.7,Bordeaux,11.367,Stade de la Licorne,Willy Delajod,Relatório da Partida,
7,qua,2019-09-25,19:00 (14:00),Saint-Étienne,1.3,0–1,0.8,Metz,19.712,Stade Geoffroy-Guichard,Eric Wattellier,Relatório da Partida,
7,qua,2019-09-25,19:00 (14:00),Montpellier,0.6,1–0,0.8,Nîmes,16.445,Stade de la Mosson,Benoît Bastien,Relatório da Partida,
7,qua,2019-09-25,19:00 (14:00),Lille,2.8,2–0,0.3,Strasbourg,30.103,Stade Pierre-Mauroy,Johan Hamel,Relatório da Partida,
7,qua,2019-09-25,21:00 (16:00),Paris S-G,0.6,0–2,1.0,Reims,47.376,Parc des Princes,François Letexier,Relatório da Partida,
,,,,,,,,,,,,,
8,sáb,2019-09-28,13:30 (08:30),Lyon,1.1,0–1,0.6,Nantes,46.647,Groupama Stadium,Benoît Millot,Relatório da Partida,
8,sáb,2019-09-28,17:30 (12:30),Bordeaux,0.1,0–1,2.8,Paris S-G,39.215,Stade Matmut-Atlantique,Jérôme Brisard,Relatório da Partida,
8,sáb,2019-09-28,20:00 (15:00),Reims,1.2,1–2,1.8,Dijon,11.033,Stade Auguste-Delaune II,Jérémie Pignard,Relatório da Partida,
8,sáb,2019-09-28,20:00 (15:00),Metz,1.4,2–2,1.4,Toulouse,15.054,Stade Saint-Symphorien,Florent Batta,Relatório da Partida,
8,sáb,2019-09-28,20:00 (15:00),Nice,1.2,1–1,1.4,Lille,18.295,Stade de Nice,Clément Turpin,Relatório da Partida,
8,sáb,2019-09-28,20:00 (15:00),Monaco,3.6,4–1,0.5,Brest,4.576,Stade Louis II.,Ruddy Buquet,Relatório da Partida,
8,sáb,2019-09-28,20:00 (15:00),Angers,1.4,1–1,1.2,Amiens,9.331,Stade Raymond Kopa,Karim Abed,Relatório da Partida,
8,dom,2019-09-29,15:00 (10:00),Strasbourg,0.4,1–0,1.4,Montpellier,25.010,Stade de la Meinau,Hakim Ben El Hadj Salem,Relatório da Partida,
8,dom,2019-09-29,17:00 (12:00),Nîmes,1.8,0–1,0.7,Saint-Étienne,13.802,Stade des Costières,Thomas Léonard,Relatório da Partida,
8,dom,2019-09-29,21:00 (16:00),Marseille,0.8,1–1,0.9,Rennes,44.281,Orange Vélodrome,Franck Schneider,Relatório da Partida,
,,,,,,,,,,,,,
9,sex,2019-10-04,20:45 (15:45),Amiens,2.9,3–1,0.5,Marseille,12.737,Stade de la Licorne,Johan Hamel,Relatório da Partida,
9,sáb,2019-10-05,17:30 (12:30),Paris S-G,3.4,4–0,0.6,Angers,47.700,Parc des Princes,Willy Delajod,Relatório da Partida,
9,sáb,2019-10-05,20:00 (15:00),Montpellier,3.1,3–1,1.3,Monaco,15.532,Stade de la Mosson,François Letexier,Relatório da Partida,
9,sáb,2019-10-05,20:00 (15:00),Dijon,1.1,1–0,0.8,Strasbourg,12.124,Stade Gaston Gérard,Olivier Thual,Relatório da Partida,
9,sáb,2019-10-05,20:00 (15:00),Nantes,1.3,1–0,0.3,Nice,15.532,Stade de la Beaujoire - Louis Fonteneau,Amaury Delerue,Relatório da Partida,
9,sáb,2019-10-05,20:00 (15:00),Brest,0.7,2–0,0.5,Metz,12.682,Stade Francis-Le Blé,Antony Gautier,Relatório da Partida,
9,sáb,2019-10-05,20:00 (15:00),Toulouse,1.1,1–3,0.8,Bordeaux,20.084,Stadium Municipal,Benoît Bastien,Relatório da Partida,
9,dom,2019-10-06,15:00 (10:00),Lille,2.6,2–2,1.8,Nîmes,31.542,Stade Pierre-Mauroy,Mikael Lesage,Relatório da Partida,
9,dom,2019-10-06,17:00 (12:00),Rennes,1.1,0–1,1.6,Reims,20.950,Roazhon Park,Stéphanie Frappart,Relatório da Partida,
9,dom,2019-10-06,21:00 (16:00),Saint-Étienne,0.9,1–0,0.6,Lyon,34.071,Stade Geoffroy-Guichard,Clément Turpin,Relatório da Partida,
,,,,,,,,,,,,,
10,sex,2019-10-18,20:45 (15:45),Nice,0.8,1–4,3.5,Paris S-G,32.705,Stade de Nice,François Letexier,Relatório da Partida,
10,sáb,2019-10-19,17:30 (12:30),Lyon,2.1,0–0,0.4,Dijon,48.454,Groupama Stadium,Franck Schneider,Relatório da Partida,
10,sáb,2019-10-19,20:00 (15:00),Metz,0.8,1–0,0.6,Nantes,16.533,Stade Saint-Symphorien,Jérémie Pignard,Relatório da Partida,
10,sáb,2019-10-19,20:00 (15:00),Toulouse,2.5,2–1,0.8,Lille,12.277,Stadium Municipal,Stéphanie Frappart,Relatório da Partida,
10,sáb,2019-10-19,20:00 (15:00),Reims,0.9,1–0,0.9,Montpellier,12.187,Stade Auguste-Delaune II,Florent Batta,Relatório da Partida,
10,sáb,2019-10-19,20:00 (15:00),Nîmes,0.5,1–1,1.2,Amiens,12.189,Stade des Costières,Jeremy Stinat,Relatório da Partida,
10,sáb,2019-10-19,20:00 (15:00),Angers,1.7,0–1,0.3,Brest,10.369,Stade Raymond Kopa,Eric Wattellier,Relatório da Partida,
10,dom,2019-10-20,15:00 (10:00),Bordeaux,1.0,0–1,0.9,Saint-Étienne,25.952,Stade Matmut-Atlantique,Ruddy Buquet,Relatório da Partida,
10,dom,2019-10-20,17:00 (12:00),Monaco,1.4,3–2,1.5,Rennes,6.763,Stade Louis II.,Jérôme Brisard,Relatório da Partida,
10,dom,2019-10-20,21:00 (16:00),Marseille,1.6,2–0,0.5,Strasbourg,50.203,Orange Vélodrome,Hakim Ben El Hadj Salem,Relatório da Partida,
,,,,,,,,,,,,,
11,sex,2019-10-25,20:45 (15:45),Nantes,1.7,0–1,0.9,Monaco,30.656,Stade de la Beaujoire - Louis Fonteneau,Thomas Léonard,Relatório da Partida,
11,sáb,2019-10-26,17:30 (12:30),Lille,1.8,3–0,0.3,Bordeaux,35.925,Stade Pierre-Mauroy,Willy Delajod,Relatório da Partida,
11,sáb,2019-10-26,20:00 (15:00),Lyon,1.9,2–0,0.8,Metz,48.889,Groupama Stadium,Johan Hamel,Relatório da Partida,
11,sáb,2019-10-26,20:00 (15:00),Strasbourg,2.1,1–0,0.8,Nice,25.007,Stade de la Meinau,Mikael Lesage,Relatório da Partida,
11,sáb,2019-10-26,20:00 (15:00),Reims,0.6,0–0,0.7,Nîmes,12.329,Stade Auguste-Delaune II,Clément Turpin,Relatório da Partida,
