Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,,
Temporada regular,1,sex,2021-08-06,21:00 (16:00),Monaco,1.7,1–1,0.3,Nantes,7500,Stade Louis II.,Antony Gautier,Relatório da Partida,,,
Temporada regular,1,sáb,2021-08-07,17:00 (12:00),Lyon,1.8,1–1,1.0,Brest,29018,Groupama Stadium,Mikael Lesage,Relatório da Partida,,,
Temporada regular,1,sáb,2021-08-07,21:00 (16:00),Troyes,0.8,1–2,1.4,Paris S-G,15248,Stade de l'Aube,Amaury Delerue,Relatório da Partida,,,
Temporada regular,1,dom,2021-08-08,13:00 (08:00),Rennes,1.0,1–1,1.9,Lens,22567,Roazhon Park,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,1,dom,2021-08-08,15:00 (10:00),Bordeaux,1.0,0–2,3.5,Clermont Foot,18748,Stade Matmut-Atlantique,Florent Batta,Relatório da Partida,,,
Temporada regular,1,dom,2021-08-08,15:00 (10:00),Strasbourg,0.7,0–2,1.0,Angers,23250,Stade de la Meinau,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,1,dom,2021-08-08,15:00 (10:00),Nice,1.1,0–0,0.2,Reims,18030,Stade de Nice,Johan Hamel,Relatório da Partida,,,
Temporada regular,1,dom,2021-08-08,15:00 (10:00),Saint-Étienne,2.0,1–1,0.8,Lorient,20461,Stade Geoffroy-Guichard,Thomas Léonard,Relatório da Partida,,,
Temporada regular,1,dom,2021-08-08,17:00 (12:00),Metz,1.2,3–3,1.4,Lille,15551,Stade Saint-Symphorien,Eric Wattellier,Relatório da Partida,,,
Temporada regular,1,dom,2021-08-08,20:45 (15:45),Montpellier,0.6,2–3,2.4,Marseille,13500,Stade de la Mosson,Jérémie Pignard,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,2,sex,2021-08-13,21:00 (16:00),Lorient,0.8,1–0,1.3,Monaco,12149,Stade Yves Allainmat - Le Moustoir,Hakim Ben El Hadj Salem,Relatório da Partida,,,
Temporada regular,2,sáb,2021-08-14,17:00 (12:00),Lille,1.2,0–4,2.0,Nice,30144,Stade Pierre-Mauroy,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,2,sáb,2021-08-14,21:00 (16:00),Paris S-G,3.2,4–2,0.7,Strasbourg,46962,Parc des Princes,Willy Delajod,Relatório da Partida,,,
Temporada regular,2,dom,2021-08-15,13:00 (08:00),Angers,2.1,3–0,0.9,Lyon,6154,Stade Raymond Kopa,Clément Turpin,Relatório da Partida,,,
Temporada regular,2,dom,2021-08-15,15:00 (10:00),Clermont Foot,2.3,2–0,0.6,Troyes,11005,Stade Gabriel Montpied,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,2,dom,2021-08-15,15:00 (10:00),Brest,2.0,1–1,1.2,Rennes,14271,Stade Francis-Le Blé,Benoît Bastien,Relatório da Partida,,,
Temporada regular,2,dom,2021-08-15,15:00 (10:00),Nantes,1.6,2–0,0.8,Metz,12054,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Relatório da Partida,,,
