Name;Nationality;Pos.;Team;Age;Year;MP;MS;Min.;90s;Goals;Assis.;G-PB;PB;PT;Ycard;Rcard
Brenden Aaronson;us USA;LT,AT;Leeds United;22-074;2000;16;16;1361;15.1;1;2;1;0;0;2;0
Che Adams;sct SCO;AT;Southampton;26-175;1996;16;14;1246;13.8;4;1;4;0;0;0;0
Tyler Adams;us USA;LT;Leeds United;23-324;1999;14;14;1256;14.0;0;0;0;0;0;4;1
Tosin Adarabioyo;eng ENG;ZG;Fulham;25-102;1997;12;11;991;11.0;1;0;1;0;0;1;0
Nayef Aguerd;ma MAR;ZG;West Ham;26-280;1996;1;0;76;0.8;0;0;0;0;0;0;0
Rayan AÃ¯t Nouri;fr FRA;ZG;Wolves;21-212;2001;12;7;717;8.0;1;0;1;0;0;2;0
Kristoffer Ajer;no NOR;ZG;Brentford;24-262;1998;6;6;502;5.6;0;0;0;0;0;0;0
Manuel Akanji;ch SUI;ZG;Manchester City;27-169;1995;10;10;881;9.8;0;1;0;0;0;1;0
Nathan AkÃ©;nl NED;ZG;Manchester City;27-320;1995;10;9;751;8.3;0;0;0;0;0;0;0
Marc Albrighton;eng ENG;AT,LT;Leicester City;33-047;1989;4;0;114;1.3;0;0;0;0;0;0;0
Thiago AlcÃ¡ntara;es ESP;LT;Liverpool;31-268;1991;11;11;890;9.9;0;0;0;0;0;2;0
Trent Alexander-Arnold;eng ENG;ZG;Liverpool;24-089;1998;17;15;1242;13.8;1;1;1;0;0;2;0
Alisson;br BRA;G;Liverpool;30-094;1992;17;17;1530;17.0;0;1;0;0;0;0;0
Dele Alli;eng ENG;LT;Everton;26-268;1996;2;0;40;0.4;0;0;0;0;0;0;0
Miguel AlmirÃ³n;py PAR;AT;Newcastle Utd;28-328;1994;18;18;1487;16.5;9;1;9;0;0;1;0
JuliÃ¡n Ãlvarez;ar ARG;AT,LT;Manchester City;22-338;2000;13;3;368;4.1;3;0;3;0;0;0;0
Daniel Amartey;gh GHA;ZG;Leicester City;28-014;1994;15;13;1185;13.2;0;0;0;0;0;0;0
Joachim Andersen;dk DEN;ZG;Crystal Palace;26-218;1996;15;15;1350;15.0;1;0;1;0;0;3;0
Elliot Anderson;sct SCO;AT,LT;Newcastle Utd;20-059;2002;8;0;104;1.2;0;0;0;0;0;0;0
Jaidon Anthony;eng ENG;LT,AT;Bournemouth;23-034;1999;13;3;486;5.4;2;0;2;0;0;1;0
Michail Antonio;jm JAM;AT;West Ham;32-282;1990;16;7;720;8.0;2;1;2;0;0;1;0
Antony;br BRA;AT;Manchester Utd;22-314;2000;8;8;644;7.2;3;0;3;0;0;1;0
Cameron Archer;eng ENG;AT,LT;Aston Villa;21-167;2001;6;0;49;0.5;0;0;0;0;0;0;0
Alphonse Areola;fr FRA;G;West Ham;29-311;1993;2;0;107;1.2;0;0;0;0;0;0;0
Joe Aribo;ng NGA;LT,AT;Southampton;26-167;1996;17;11;1055;11.7;2;0;2;0;0;2;0
Adam Armstrong;eng ENG;AT;Southampton;25-328;1997;16;11;877;9.7;1;1;1;0;0;0;0
Stuart Armstrong;sct SCO;LT,AT;Southampton;30-280;1992;16;7;759;8.4;1;0;1;0;0;2;0
Kepa Arrizabalaga;es ESP;G;Chelsea;28-093;1994;8;8;675;7.5;0;0;0;0;0;0;0
Pierre-Emerick Aubameyang;ga GAB;AT;Chelsea;33-200;1989;8;4;332;3.7;1;0;1;0;0;1;0
Ludwig Augustinsson;se SWE;ZG;Aston Villa;28-258;1994;2;1;53;0.6;0;0;0;0;0;1;0
Serge Aurier;ci CIV;ZG;Nott'ham Forest;30-011;1992;9;8;693;7.7;1;0;1;0;0;1;0
Taiwo Awoniyi;ng NGA;AT;Nott'ham Forest;25-145;1997;15;8;660;7.3;3;0;3;0;0;0;0
Jordan Ayew;gh GHA;AT,LT;Crystal Palace;31-115;1991;16;13;1067;11.9;1;1;1;0;0;1;0
Luke Ayling;eng ENG;ZG;Leeds United;31-132;1991;9;2;254;2.8;0;1;0;0;0;1;0
CÃ©sar Azpilicueta;es ESP;ZG;Chelsea;33-129;1989;13;8;800;8.9;0;0;0;0;0;3;0
Leon Bailey;jm JAM;AT,LT;Aston Villa;25-148;1997;16;13;976;10.8;3;2;3;0;0;4;0
Stefan Bajcetic;es ESP;LT,AT;Liverpool;18-074;2004;3;0;38;0.4;1;0;1;0;0;0;0
Patrick Bamford;eng ENG;AT;Leeds United;29-121;1993;10;4;429;4.8;0;1;0;0;1;0;0
Shandon Baptiste;gd GRN;LT;Brentford;24-271;1998;12;4;431;4.8;0;0;0;0;0;1;0
Harvey Barnes;eng ENG;LT,AT;Leicester City;25-026;1997;16;16;1336;14.8;6;0;6;0;0;0;0
Gavin Bazunu;ie IRL;G;Southampton;20-318;2002;17;17;1530;17.0;0;0;0;0;0;0;0
Mads Bech SÃ¸rensen;dk DEN;ZG,LT;Brentford;23-362;1999;4;0;21;0.2;0;0;0;0;0;0;0
Jan Bednarek;pl POL;ZG;Southampton;26-267;1996;2;2;159;1.8;0;0;0;0;0;0;0
Jan Bednarek;pl POL;ZG;Aston Villa;26-267;1996;3;1;100;1.1;0;0;0;0;0;0;0
