Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2010-08-14,,Sunderland,2–2,Birmingham City,,,Anthony Taylor,Relatório da Partida,
1,sáb,2010-08-14,,Aston Villa,3–0,West Ham,,,Mike Dean,Relatório da Partida,
1,sáb,2010-08-14,,Tottenham,0–0,Manchester City,,,Andre Marriner,Relatório da Partida,
1,sáb,2010-08-14,,Wolves,2–1,Stoke City,,,Lee Probert,Relatório da Partida,
1,sáb,2010-08-14,,Bolton,0–0,Fulham,,,Stuart Attwell,Relatório da Partida,
1,sáb,2010-08-14,,Wigan Athletic,0–4,Blackpool,,,Mark Halsey,Relatório da Partida,
1,sáb,2010-08-14,,Chelsea,6–0,West Brom,,,Mark Clattenburg,Relatório da Partida,
1,sáb,2010-08-14,,Blackburn,1–0,Everton,,,Phil Dowd,Relatório da Partida,
1,dom,2010-08-15,,Liverpool,1–1,Arsenal,,,Martin Atkinson,Relatório da Partida,
1,seg,2010-08-16,,Manchester Utd,3–0,Newcastle Utd,,,Chris Foy,Relatório da Partida,
,,,,,,,,,,,
2,sáb,2010-08-21,,Birmingham City,2–1,Blackburn,,,Michael Oliver,Relatório da Partida,
2,sáb,2010-08-21,,West Ham,1–3,Bolton,,,Andre Marriner,Relatório da Partida,
2,sáb,2010-08-21,,West Brom,1–0,Sunderland,,,Kevin Friend,Relatório da Partida,
2,sáb,2010-08-21,,Everton,1–1,Wolves,,,Lee Mason,Relatório da Partida,
2,sáb,2010-08-21,,Arsenal,6–0,Blackpool,,,Mike Jones,Relatório da Partida,
2,sáb,2010-08-21,,Stoke City,1–2,Tottenham,,,Chris Foy,Relatório da Partida,
2,sáb,2010-08-21,,Wigan Athletic,0–6,Chelsea,,,Mike Dean,Relatório da Partida,
2,dom,2010-08-22,,Newcastle Utd,6–0,Aston Villa,,,Martin Atkinson,Relatório da Partida,
2,dom,2010-08-22,,Fulham,2–2,Manchester Utd,,,Peter Walton,Relatório da Partida,
2,seg,2010-08-23,,Manchester City,3–0,Liverpool,,,Phil Dowd,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2010-08-28,,Manchester Utd,3–0,West Ham,,,Mark Clattenburg,Relatório da Partida,
3,sáb,2010-08-28,,Chelsea,2–0,Stoke City,,,Martin Atkinson,Relatório da Partida,
3,sáb,2010-08-28,,Blackburn,1–2,Arsenal,,,Chris Foy,Relatório da Partida,
3,sáb,2010-08-28,,Tottenham,0–1,Wigan Athletic,,,Phil Dowd,Relatório da Partida,
3,sáb,2010-08-28,,Wolves,1–1,Newcastle Utd,,,Stuart Attwell,Relatório da Partida,
3,sáb,2010-08-28,,Blackpool,2–2,Fulham,,,Michael Oliver,Relatório da Partida,
3,dom,2010-08-29,,Liverpool,1–0,West Brom,,,Lee Probert,Relatório da Partida,
3,dom,2010-08-29,,Bolton,2–2,Birmingham City,,,Kevin Friend,Relatório da Partida,
3,dom,2010-08-29,,Sunderland,1–0,Manchester City,,,Mike Dean,Relatório da Partida,
3,dom,2010-08-29,,Aston Villa,1–0,Everton,,,Mike Jones,Relatório da Partida,
,,,,,,,,,,,
4,sáb,2010-09-11,,Everton,3–3,Manchester Utd,,,Martin Atkinson,Relatório da Partida,
4,sáb,2010-09-11,,Newcastle Utd,0–2,Blackpool,,,Lee Mason,Relatório da Partida,
4,sáb,2010-09-11,,Fulham,2–1,Wolves,,,Phil Dowd,Relatório da Partida,
4,sáb,2010-09-11,,Wigan Athletic,1–1,Sunderland,,,Andre Marriner,Relatório da Partida,
4,sáb,2010-09-11,,Arsenal,4–1,Bolton,,,Stuart Attwell,Relatório da Partida,
4,sáb,2010-09-11,,West Ham,1–3,Chelsea,,,Chris Foy,Relatório da Partida,
4,sáb,2010-09-11,,West Brom,1–1,Tottenham,,,Howard Webb,Relatório da Partida,
4,sáb,2010-09-11,,Manchester City,1–1,Blackburn,,,Mark Clattenburg,Relatório da Partida,
4,dom,2010-09-12,,Birmingham City,0–0,Liverpool,,,Mark Halsey,Relatório da Partida,
4,seg,2010-09-13,,Stoke City,2–1,Aston Villa,,,Lee Probert,Relatório da Partida,
,,,,,,,,,,,
5,sáb,2010-09-18,,Stoke City,1–1,West Ham,,,Lee Mason,Relatório da Partida,
5,sáb,2010-09-18,,West Brom,3–1,Birmingham City,,,Chris Foy,Relatório da Partida,
5,sáb,2010-09-18,,Everton,0–1,Newcastle Utd,,,Andre Marriner,Relatório da Partida,
5,sáb,2010-09-18,,Sunderland,1–1,Arsenal,,,Phil Dowd,Relatório da Partida,
5,sáb,2010-09-18,,Blackburn,1–1,Fulham,,,Anthony Taylor,Relatório da Partida,
5,sáb,2010-09-18,,Aston Villa,1–1,Bolton,,,Mike Dean,Relatório da Partida,
5,sáb,2010-09-18,,Tottenham,3–1,Wolves,,,Mike Jones,Relatório da Partida,
5,dom,2010-09-19,,Chelsea,4–0,Blackpool,,,Mark Clattenburg,Relatório da Partida,
5,dom,2010-09-19,,Wigan Athletic,0–2,Manchester City,,,Lee Probert,Relatório da Partida,
5,dom,2010-09-19,,Manchester Utd,3–2,Liverpool,,,Howard Webb,Relatório da Partida,
,,,,,,,,,,,
6,sáb,2010-09-25,,Fulham,0–0,Everton,,,Howard Webb,Relatório da Partida,
6,sáb,2010-09-25,,Blackpool,1–2,Blackburn,,,Mike Dean,Relatório da Partida,
6,sáb,2010-09-25,,Arsenal,2–3,West Brom,,,Michael Oliver,Relatório da Partida,
6,sáb,2010-09-25,,Liverpool,2–2,Sunderland,,,Stuart Attwell,Relatório da Partida,
6,sáb,2010-09-25,,West Ham,1–0,Tottenham,,,Martin Atkinson,Relatório da Partida,
6,sáb,2010-09-25,,Manchester City,1–0,Chelsea,,,Andre Marriner,Relatório da Partida,
6,sáb,2010-09-25,,Birmingham City,0–0,Wigan Athletic,,,Mark Clattenburg,Relatório da Partida,
6,dom,2010-09-26,,Bolton,2–2,Manchester Utd,,,Phil Dowd,Relatório da Partida,
6,dom,2010-09-26,,Newcastle Utd,1–2,Stoke City,,,Mike Jones,Relatório da Partida,
6,dom,2010-09-26,,Wolves,1–2,Aston Villa,,,Mark Halsey,Relatório da Partida,
,,,,,,,,,,,
7,sáb,2010-10-02,,West Brom,1–1,Bolton,,,Peter Walton,Relatório da Partida,
7,sáb,2010-10-02,,West Ham,1–1,Fulham,,,Andre Marriner,Relatório da Partida,
7,sáb,2010-10-02,,Wigan Athletic,2–0,Wolves,,,Lee Mason,Relatório da Partida,
7,sáb,2010-10-02,,Tottenham,2–1,Aston Villa,,,Mark Clattenburg,Relatório da Partida,
7,sáb,2010-10-02,,Stoke City,1–0,Blackburn,,,Howard Webb,Relatório da Partida,
7,sáb,2010-10-02,,Sunderland,0–0,Manchester Utd,,,Chris Foy,Relatório da Partida,
7,sáb,2010-10-02,,Birmingham City,0–2,Everton,,,Phil Dowd,Relatório da Partida,
7,dom,2010-10-03,,Liverpool,1–2,Blackpool,,,Mike Jones,Relatório da Partida,
7,dom,2010-10-03,,Chelsea,2–0,Arsenal,,,Mike Dean,Relatório da Partida,
7,dom,2010-10-03,,Manchester City,2–1,Newcastle Utd,,,Martin Atkinson,Relatório da Partida,
,,,,,,,,,,,
8,sáb,2010-10-16,,Aston Villa,0–0,Chelsea,,,Lee Mason,Relatório da Partida,
8,sáb,2010-10-16,,Arsenal,2–1,Birmingham City,,,Martin Atkinson,Relatório da Partida,
8,sáb,2010-10-16,,Wolves,1–1,West Ham,,,Mark Clattenburg,Relatório da Partida,
8,sáb,2010-10-16,,Fulham,1–2,Tottenham,,,Mike Dean,Relatório da Partida,
8,sáb,2010-10-16,,Newcastle Utd,2–2,Wigan Athletic,,,Mark Halsey,Relatório da Partida,
8,sáb,2010-10-16,,Bolton,2–1,Stoke City,,,Peter Walton,Relatório da Partida,
8,sáb,2010-10-16,,Manchester Utd,2–2,West Brom,,,Mike Jones,Relatório da Partida,
8,dom,2010-10-17,,Everton,2–0,Liverpool,,,Howard Webb,Relatório da Partida,
8,dom,2010-10-17,,Blackpool,2–3,Manchester City,,,Phil Dowd,Relatório da Partida,
8,seg,2010-10-18,,Blackburn,0–0,Sunderland,,,Lee Probert,Relatório da Partida,
,,,,,,,,,,,
9,sáb,2010-10-23,,Sunderland,1–0,Aston Villa,,,Mark Halsey,Relatório da Partida,
9,sáb,2010-10-23,,Tottenham,1–1,Everton,,,Mike Jones,Relatório da Partida,
9,sáb,2010-10-23,,Birmingham City,2–0,Blackpool,,,Anthony Taylor,Relatório da Partida,
9,sáb,2010-10-23,,Wigan Athletic,1–1,Bolton,,,Howard Webb,Relatório da Partida,
9,sáb,2010-10-23,,West Brom,2–1,Fulham,,,Kevin Friend,Relatório da Partida,
9,sáb,2010-10-23,,West Ham,1–2,Newcastle Utd,,,Chris Foy,Relatório da Partida,
9,sáb,2010-10-23,,Chelsea,2–0,Wolves,,,Lee Probert,Relatório da Partida,
9,dom,2010-10-24,,Manchester City,0–3,Arsenal,,,Mark Clattenburg,Relatório da Partida,
9,dom,2010-10-24,,Liverpool,2–1,Blackburn,,,Phil Dowd,Relatório da Partida,
9,dom,2010-10-24,,Stoke City,1–2,Manchester Utd,,,Andre Marriner,Relatório da Partida,
,,,,,,,,,,,
10,sáb,2010-10-30,,Blackburn,1–2,Chelsea,,,Peter Walton,Relatório da Partida,
10,sáb,2010-10-30,,Manchester Utd,2–0,Tottenham,,,Mark Clattenburg,Relatório da Partida,
10,sáb,2010-10-30,,Arsenal,1–0,West Ham,,,Mike Jones,Relatório da Partida,
10,sáb,2010-10-30,,Wolves,2–1,Manchester City,,,Mike Dean,Relatório da Partida,
10,sáb,2010-10-30,,Fulham,2–0,Wigan Athletic,,,Andre Marriner,Relatório da Partida,
10,sáb,2010-10-30,,Everton,1–0,Stoke City,,,Lee Probert,Relatório da Partida,
10,dom,2010-10-31,,Aston Villa,0–0,Birmingham City,,,Howard Webb,Relatório da Partida,
10,dom,2010-10-31,,Newcastle Utd,5–1,Sunderland,,,Phil Dowd,Relatório da Partida,
10,dom,2010-10-31,,Bolton,0–1,Liverpool,,,Martin Atkinson,Relatório da Partida,
10,seg,2010-11-01,,Blackpool,2–1,West Brom,,,Michael Oliver,Relatório da Partida,
,,,,,,,,,,,
11,sáb,2010-11-06,,Sunderland,2–0,Stoke City,,,Martin Atkinson,Relatório da Partida,
11,sáb,2010-11-06,,Birmingham City,2–2,West Ham,,,Michael Oliver,Relatório da Partida,
11,sáb,2010-11-06,,Manchester Utd,2–1,Wolves,,,Phil Dowd,Relatório da Partida,
