
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2015-08-08,12:45 (08:45),Manchester Utd,1–0,Tottenham,75.261,Old Trafford,Jonathan Moss,Relatório da Partida,
1,sáb,2015-08-08,15:00 (11:00),Norwich City,1–3,Crystal Palace,27.036,Carrow Road,Simon Hooper,Relatório da Partida,
1,sáb,2015-08-08,15:00 (11:00),Leicester City,4–2,Sunderland,32.242,King Power Stadium,Lee Mason,Relatório da Partida,
1,sáb,2015-08-08,15:00 (11:00),Everton,2–2,Watford,39.063,Goodison Park,Mike Jones,Relatório da Partida,
1,sáb,2015-08-08,15:00 (11:00),Bournemouth,0–1,Aston Villa,11.155,Vitality Stadium,Mark Clattenburg,Relatório da Partida,
1,sáb,2015-08-08,17:30 (13:30),Chelsea,2–2,Swansea City,41.232,Stamford Bridge,Michael Oliver,Relatório da Partida,
1,dom,2015-08-09,13:30 (09:30),Newcastle Utd,2–2,Southampton,49.019,St. James' Park,Craig Pawson,Relatório da Partida,
1,dom,2015-08-09,13:30 (09:30),Arsenal,0–2,West Ham,59.996,Emirates Stadium,Martin Atkinson,Relatório da Partida,
1,dom,2015-08-09,16:00 (12:00),Stoke City,0–1,Liverpool,27.654,Bet365 Stadium,Anthony Taylor,Relatório da Partida,
1,seg,2015-08-10,20:00 (16:00),West Brom,0–3,Manchester City,24.564,The Hawthorns,Mike Dean,Relatório da Partida,
,,,,,,,,,,,
2,sex,2015-08-14,19:45 (15:45),Aston Villa,0–1,Manchester Utd,42.200,Villa Park,Mike Dean,Relatório da Partida,
2,sáb,2015-08-15,12:45 (08:45),Southampton,0–3,Everton,30.966,St. Mary's Stadium,Michael Oliver,Relatório da Partida,
2,sáb,2015-08-15,15:00 (11:00),Sunderland,1–3,Norwich City,41.379,Stadium of Light,Kevin Friend,Relatório da Partida,
2,sáb,2015-08-15,15:00 (11:00),Watford,0–0,West Brom,20.011,Vicarage Road Stadium,Paul Tierney,Relatório da Partida,
2,sáb,2015-08-15,15:00 (11:00),West Ham,1–2,Leicester City,34.857,Boleyn Ground,Anthony Taylor,Relatório da Partida,
2,sáb,2015-08-15,15:00 (11:00),Swansea City,2–0,Newcastle Utd,20.678,Liberty Stadium,Mike Jones,Relatório da Partida,
2,sáb,2015-08-15,15:00 (11:00),Tottenham,2–2,Stoke City,36.004,White Hart Lane,Robert Madley,Relatório da Partida,
2,dom,2015-08-16,13:30 (09:30),Crystal Palace,1–2,Arsenal,24.732,Selhurst Park,Lee Mason,Relatório da Partida,
2,dom,2015-08-16,16:00 (12:00),Manchester City,3–0,Chelsea,54.331,Etihad Stadium,Martin Atkinson,Relatório da Partida,
2,seg,2015-08-17,20:00 (16:00),Liverpool,1–0,Bournemouth,44.102,Anfield,Craig Pawson,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2015-08-22,12:45 (08:45),Manchester Utd,0–0,Newcastle Utd,75.354,Old Trafford,Craig Pawson,Relatório da Partida,
3,sáb,2015-08-22,15:00 (11:00),Leicester City,1–1,Tottenham,31.971,King Power Stadium,Martin Atkinson,Relatório da Partida,
3,sáb,2015-08-22,15:00 (11:00),Crystal Palace,2–1,Aston Villa,25.295,Selhurst Park,Keith Stroud,Relatório da Partida,
3,sáb,2015-08-22,15:00 (11:00),Norwich City,1–1,Stoke City,26.771,Carrow Road,Mike Dean,Relatório da Partida,
3,sáb,2015-08-22,15:00 (11:00),West Ham,3–4,Bournemouth,34.977,Boleyn Ground,Jonathan Moss,Relatório da Partida,
3,sáb,2015-08-22,15:00 (11:00),Sunderland,1–1,Swansea City,39.198,Stadium of Light,Niel Swarbrick,Relatório da Partida,
3,dom,2015-08-23,13:30 (09:30),West Brom,2–3,Chelsea,23.256,The Hawthorns,Mark Clattenburg,Relatório da Partida,
3,dom,2015-08-23,16:00 (12:00),Watford,0–0,Southampton,20.166,Vicarage Road Stadium,Andre Marriner,Relatório da Partida,
3,dom,2015-08-23,16:00 (12:00),Everton,0–2,Manchester City,38.523,Goodison Park,Anthony Taylor,Relatório da Partida,
3,seg,2015-08-24,20:00 (16:00),Arsenal,0–0,Liverpool,60.080,Emirates Stadium,Michael Oliver,Relatório da Partida,
,,,,,,,,,,,
4,sáb,2015-08-29,12:45 (08:45),Newcastle Utd,0–1,Arsenal,50.388,St. James' Park,Andre Marriner,Relatório da Partida,
4,sáb,2015-08-29,15:00 (11:00),Chelsea,1–2,Crystal Palace,41.581,Stamford Bridge,Craig Pawson,Relatório da Partida,
4,sáb,2015-08-29,15:00 (11:00),Bournemouth,1–1,Leicester City,11.155,Vitality Stadium,Niel Swarbrick,Relatório da Partida,
4,sáb,2015-08-29,15:00 (11:00),Stoke City,0–1,West Brom,26.747,Bet365 Stadium,Michael Oliver,Relatório da Partida,
4,sáb,2015-08-29,15:00 (11:00),Liverpool,0–3,West Ham,43.680,Anfield,Kevin Friend,Relatório da Partida,
4,sáb,2015-08-29,15:00 (11:00),Aston Villa,2–2,Sunderland,35.399,Villa Park,Robert Madley,Relatório da Partida,
4,sáb,2015-08-29,15:00 (11:00),Manchester City,2–0,Watford,53.218,Etihad Stadium,Mark Clattenburg,Relatório da Partida,
4,sáb,2015-08-29,17:30 (13:30),Tottenham,0–0,Everton,35.865,White Hart Lane,Mike Jones,Relatório da Partida,
4,dom,2015-08-30,13:30 (09:30),Southampton,3–0,Norwich City,29.573,St. Mary's Stadium,Jonathan Moss,Relatório da Partida,
4,dom,2015-08-30,16:00 (12:00),Swansea City,2–1,Manchester Utd,20.828,Liberty Stadium,Martin Atkinson,Relatório da Partida,
,,,,,,,,,,,
5,sáb,2015-09-12,12:45 (08:45),Everton,3–1,Chelsea,38.311,Goodison Park,Andre Marriner,Relatório da Partida,
5,sáb,2015-09-12,15:00 (11:00),Norwich City,3–1,Bournemouth,27.018,Carrow Road,Martin Atkinson,Relatório da Partida,
5,sáb,2015-09-12,15:00 (11:00),Arsenal,2–0,Stoke City,59.963,Emirates Stadium,Jonathan Moss,Relatório da Partida,
5,sáb,2015-09-12,15:00 (11:00),Watford,1–0,Swansea City,20.057,Vicarage Road Stadium,Robert Madley,Relatório da Partida,
5,sáb,2015-09-12,15:00 (11:00),West Brom,0–0,Southampton,24.265,The Hawthorns,Stuart Attwell,Relatório da Partida,
5,sáb,2015-09-12,15:00 (11:00),Crystal Palace,0–1,Manchester City,25.167,Selhurst Park,Mike Jones,Relatório da Partida,
5,sáb,2015-09-12,17:30 (13:30),Manchester Utd,3–1,Liverpool,75.347,Old Trafford,Michael Oliver,Relatório da Partida,
5,dom,2015-09-13,13:30 (09:30),Sunderland,0–1,Tottenham,40.303,Stadium of Light,Craig Pawson,Relatório da Partida,
5,dom,2015-09-13,16:00 (12:00),Leicester City,3–2,Aston Villa,31.733,King Power Stadium,Mike Dean,Relatório da Partida,
5,seg,2015-09-14,20:00 (16:00),West Ham,2–0,Newcastle Utd,34.907,Boleyn Ground,Anthony Taylor,Relatório da Partida,
,,,,,,,,,,,
6,sáb,2015-09-19,12:45 (08:45),Chelsea,2–0,Arsenal,41.584,Stamford Bridge,Mike Dean,Relatório da Partida,
6,sáb,2015-09-19,15:00 (11:00),Newcastle Utd,1–2,Watford,47.806,St. James' Park,Roger East,Relatório da Partida,
6,sáb,2015-09-19,15:00 (11:00),Swansea City,0–0,Everton,20.805,Liberty Stadium,Stuart Attwell,Relatório da Partida,
6,sáb,2015-09-19,15:00 (11:00),Aston Villa,0–1,West Brom,36.321,Villa Park,Martin Atkinson,Relatório da Partida,
6,sáb,2015-09-19,15:00 (11:00),Bournemouth,2–0,Sunderland,11.271,Vitality Stadium,Kevin Friend,Relatório da Partida,
6,sáb,2015-09-19,15:00 (11:00),Stoke City,2–2,Leicester City,27.642,Bet365 Stadium,Andre Marriner,Relatório da Partida,
6,sáb,2015-09-19,17:30 (13:30),Manchester City,1–2,West Ham,53.545,Etihad Stadium,Robert Madley,Relatório da Partida,
6,dom,2015-09-20,13:30 (09:30),Tottenham,1–0,Crystal Palace,35.723,White Hart Lane,Michael Oliver,Relatório da Partida,
6,dom,2015-09-20,16:00 (12:00),Liverpool,1–1,Norwich City,44.072,Anfield,Anthony Taylor,Relatório da Partida,
