Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
1;Abner;brBRA;DF;Atl Paranaense;21;2000;23.4;6;0;0;26;12;1;49;39;28;0;0;0;149;21;28
2;Adryelson;brBRA;DF;Botafogo (RJ);23;1998;16.1;1;0;0;10;4;2;0;22;12;0;0;1;56;76;34
3;Adson;brBRA;FW,MF;Corinthians;21;2000;13.8;2;0;0;25;20;3;15;13;22;0;0;0;54;8;19
4;Airton;brBRA;FW;Atl Goianiense;22;1999;19.3;3;0;0;33;24;1;81;10;24;0;0;0;60;21;23
5;Carlos Alberto;brBRA;FW,MF;América (MG);19;2002;1.7;1;0;0;1;1;0;3;4;1;0;0;0;5;4;9
6;Yuri Alberto;brBRA;FW;Corinthians;20;2001;16.1;4;1;1;26;33;7;9;2;8;0;0;0;37;37;49
7;Ale;brBRA;MF;América (MG);31;1990;21.4;2;1;0;46;50;0;23;28;21;0;2;0;184;27;29
8;Alexandre Alemão;brBRA;FW;Internacional;23;1998;22.3;3;0;0;56;65;2;12;4;11;3;0;0;47;53;81
9;Alerrandro;brBRA;FW;Bragantino;22;2000;10.3;3;0;0;11;15;5;2;4;1;0;0;0;20;10;29
10;Alesson;brBRA;MF,FW;Cuiabá;22;1999;11.4;3;0;0;18;7;0;33;3;9;0;0;0;41;16;27
11;Alex;brBRA;DF;Santos;22;1999;3.7;1;0;0;2;4;0;0;8;3;0;0;0;19;9;4
12;Caio Alexandre;brBRA;MF;Fortaleza;22;1999;11.0;3;1;1;23;12;0;5;11;22;0;0;0;82;5;11
13;Matheus Alexandre;brBRA;DF;Coritiba;22;1999;15.6;5;0;0;18;5;1;39;30;22;0;0;0;72;22;20
14;Alexsander;brBRA;DF;Fluminense;18;2003;2.5;0;0;0;2;3;0;5;6;1;0;0;0;14;2;2
15;Alisson;brBRA;MF,FW;São Paulo;28;1993;10.5;5;0;0;14;17;0;33;5;9;0;0;0;42;10;13
16;Allan;brBRA;MF;Atlético Mineiro;24;1997;30.4;10;0;0;47;26;1;11;25;30;0;1;0;168;16;6
17;Guilherme Almeida Augusto;brBRA;DF;Bragantino;29;1993;1.0;0;0;0;2;3;0;3;2;2;0;0;0;5;0;0
18;Henrique Almeida;brBRA;FW;América (MG);30;1991;16.6;7;0;0;38;13;13;5;3;11;1;0;0;40;24;54
19;Júnior Alonso;pyPAR;DF;Atlético Mineiro;28;1993;28.9;4;0;0;17;8;1;7;28;14;0;2;0;148;76;36
20;Diego Alves;brBRA;GK;Flamengo;36;1985;4.7;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
