Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2014-04-19,18:30,Internacional,1–0,Vitória,21.983,Estádio José Pinheiro Borba,Raphael Claus,Relatório da Partida,
1,sáb,2014-04-19,18:30,Fluminense,3–0,Figueirense,35.020,Estadio Jornalista Mário Filho,Ricardo Marques Ribeiro,Relatório da Partida,
1,dom,2014-04-20,16:00,São Paulo,3–0,Botafogo (RJ),31.564,Estádio do Morumbi,Wilton Sampaio,Relatório da Partida,
1,dom,2014-04-20,16:00,Bahia,1–2,Cruzeiro,9.348,Itaipava Arena Fonte Nova,Luiz Flávio de Oliveira,Relatório da Partida,
1,dom,2014-04-20,16:00,Atl Paranaense,1–0,Grêmio,2.495,Estádio Orlando Scarpelli,Marcelo de Lima Henrique,Relatório da Partida,
1,dom,2014-04-20,16:00,Atlético Mineiro,0–0,Corinthians,8.724,Estádio Municipal João Havelange,Heber Roberto Lopes,Relatório da Partida,
1,dom,2014-04-20,18:30,Flamengo,0–0,Goiás,19.012,Estádio Nacional de Brasília,Anderson Daronco,Relatório da Partida,
1,dom,2014-04-20,18:30,Criciúma,1–2,Palmeiras,11.768,Estádio Heriberto Hülse,André Luiz de Freitas Castro,Relatório da Partida,
1,dom,2014-04-20,18:30,Santos,1–1,Sport Recife,7.964,Estádio Urbano Caldeira,Arilson Bispo da Anunciação,Relatório da Partida,
1,sáb,2014-04-19,21:00,Chapecoense,0–0,Coritiba,6.944,Arena Condá,Rodrigo Nunes de Sá,Relatório da Partida,
,,,,,,,,,,,
2,sáb,2014-04-26,18:30,Coritiba,0–0,Santos,12.354,Estádio Major Antônio Couto Pereira,Emerson De Almeida Ferreira,Relatório da Partida,
2,dom,2014-04-27,16:00,Botafogo (RJ),2–2,Internacional,9.995,Estadio Jornalista Mário Filho,Jailson Macêdo Freitas,Relatório da Partida,
2,dom,2014-04-27,16:00,Cruzeiro,1–1,São Paulo,17.530,Estádio Municipal João Havelange,Wagner do Nascimento Magalhaes,Relatório da Partida,
2,dom,2014-04-27,16:00,Vitória,2–2,Atl Paranaense,4.953,Estádio Governador Roberto Santos,Francisco Carlos do Nascimento,Relatório da Partida,
2,dom,2014-04-27,16:00,Corinthians,2–0,Flamengo,36.402,Estádio do Pacaembú,Leandro Pedro Vuaden,Relatório da Partida,
2,dom,2014-04-27,18:30,Figueirense,0–2,Bahia,777,Arena Barueri,Sandro Ricci,Relatório da Partida,
2,dom,2014-04-27,18:30,Goiás,1–0,Criciúma,2.090,Estádio Municipal Juscelino Kubitschek d...,Renán Roberto de Souza,Relatório da Partida,
2,dom,2014-04-27,18:30,Grêmio,2–1,Atlético Mineiro,9.245,Arena do Grêmio,Wagner Reway,Relatório da Partida,
2,dom,2014-04-27,18:30,Sport Recife,2–1,Chapecoense,12.686,Estádio Adelmar da Costa Carvalho,Francisco de Assis de Almeida Filho,Relatório da Partida,
2,sáb,2014-04-26,21:00,Palmeiras,0–1,Fluminense,11.189,Estádio do Pacaembú,Dewson Fernando Freitas da Silva,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2014-05-03,18:30,São Paulo,2–2,Coritiba,31.888,Estádio do Pacaembú,Claudio Francisco Lima e Silva,Relatório da Partida,
3,sáb,2014-05-03,18:30,Santos,0–0,Grêmio,7.934,Estádio Urbano Caldeira,Ricardo Marques Ribeiro,Relatório da Partida,
3,sáb,2014-05-03,18:30,Atl Paranaense,2–3,Cruzeiro,11.877,Estádio Nacional de Brasília,Elmo Alves Resende Cunha,Relatório da Partida,
3,dom,2014-05-04,16:00,Bahia,1–0,Botafogo (RJ),16.040,Itaipava Arena Fonte Nova,Raphael Claus,Relatório da Partida,
3,dom,2014-05-04,16:00,Internacional,2–1,Sport Recife,17.974,Estádio José Pinheiro Borba,Pablo Dos Santos Alves,Relatório da Partida,
