 
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2017-05-13,16:00,Flamengo,1–1,Atlético Mineiro,50.220,Estadio Jornalista Mário Filho,Jailson Macêdo Freitas,Relatório da Partida,
1,sáb,2017-05-13,19:00,Corinthians,1–1,Chapecoense,31.470,Arena Corinthians,Elmo Alves Resende Cunha,Relatório da Partida,
1,dom,2017-05-14,11:00,Fluminense,3–2,Santos,11.835,Estadio Jornalista Mário Filho,Wagner Reway,Relatório da Partida,
1,dom,2017-05-14,16:00,Bahia,6–2,Atl Paranaense,8.127,Itaipava Arena Fonte Nova,Flavio Rodrigues De Souza,Relatório da Partida,
1,dom,2017-05-14,16:00,Cruzeiro,1–0,São Paulo,11.416,Estádio Governador Magalhães Pinto,Marcelo de Lima Henrique,Relatório da Partida,
1,dom,2017-05-14,16:00,Ponte Preta,4–0,Sport Recife,3.104,Estádio Moisés Lucarelli,Marcos Mateus Pereira,Relatório da Partida,
1,dom,2017-05-14,16:00,Palmeiras,4–0,Vasco da Gama,3.325,Allianz Parque,Rodolpho Toski Marques,Relatório da Partida,
1,dom,2017-05-14,16:00,Avaí,0–0,Vitória,4.666,Estádio Aderbal Ramos da Silva,Felipe Gomes da Silva,Relatório da Partida,
1,dom,2017-05-14,19:00,Grêmio,2–0,Botafogo (RJ),18.551,Arena do Grêmio,Braulio da Silva Machado,Relatório da Partida,
1,seg,2017-05-15,20:00,Coritiba,4–1,Atl Goianiense,10.631,Estádio Major Antônio Couto Pereira,Luis César De Oliveira Magalhães,Relatório da Partida,
,,,,,,,,,,,
2,sáb,2017-05-20,16:00,Santos,1–0,Coritiba,5.921,Estádio Urbano Caldeira,Wagner do Nascimento Magalhaes,Relatório da Partida,
2,sáb,2017-05-20,19:00,Atl Goianiense,0–3,Flamengo,10.144,Estádio do Governo do Estado de Goiás,Igor Junior Benevenuto,Relatório da Partida,
2,sáb,2017-05-20,19:00,Chapecoense,1–0,Palmeiras,10.323,Arena Condá,André Luiz de Freitas Castro,Relatório da Partida,
2,dom,2017-05-21,11:00,Vasco da Gama,2–1,Bahia,19.030,Estádio Club de Regatas Vasco da Gama,Leandro Bizzio Marinho,Relatório da Partida,
2,dom,2017-05-21,16:00,Atlético Mineiro,1–2,Fluminense,16.145,Estádio Raimundo Sampaio,Jean Pierre Goncalves Lima,Relatório da Partida,
2,dom,2017-05-21,16:00,Atl Paranaense,0–2,Grêmio,17.244,Estádio Joaquim Américo Guimarães,Marcelo Aparecido Ribeiro De Souza,Relatório da Partida,
2,dom,2017-05-21,16:00,Vitória,0–1,Corinthians,16.515,Estádio Manoel Barradas,Pericles Bassols Pegado Cortez,Relatório da Partida,
2,dom,2017-05-21,18:00,Botafogo (RJ),2–0,Ponte Preta,9.160,Estádio Nilton Santos,Rafael Traci,Relatório da Partida,
2,dom,2017-05-21,19:00,Sport Recife,1–1,Cruzeiro,3.484,Estádio Adelmar da Costa Carvalho,Joao Batista de Arruda,Relatório da Partida,
2,seg,2017-05-22,20:00,São Paulo,2–0,Avaí,12.427,Estádio do Morumbi,Caio Max Augusto Vieira,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2017-05-27,16:00,Vasco da Gama,3–2,Fluminense,20.442,Estádio Club de Regatas Vasco da Gama,Raphael Claus,Relatório da Partida,
3,sáb,2017-05-27,19:00,São Paulo,2–0,Palmeiras,33.288,Estádio do Morumbi,Anderson Daronco,Relatório da Partida,
3,dom,2017-05-28,11:00,Atlético Mineiro,2–2,Ponte Preta,19.553,Estádio Raimundo Sampaio,Wagner do Nascimento Magalhaes,Relatório da Partida,
3,dom,2017-05-28,16:00,Santos,0–1,Cruzeiro,7.025,Estádio Urbano Caldeira,Eduardo Tomaz De Aquino Valadão,Relatório da Partida,
3,dom,2017-05-28,16:00,Atl Goianiense,0–1,Corinthians,15.220,Estádio do Governo do Estado de Goiás,Paulo Henrique Schleinch Vollkopf,Relatório da Partida,
3,dom,2017-05-28,16:00,Atl Paranaense,1–1,Flamengo,19.923,Estádio Joaquim Américo Guimarães,Braulio da Silva Machado,Relatório da Partida,
3,dom,2017-05-28,18:00,Sport Recife,4–3,Grêmio,3.441,Estádio Adelmar da Costa Carvalho,Jailson Macêdo Freitas,Relatório da Partida,
3,dom,2017-05-28,19:00,Botafogo (RJ),1–0,Bahia,7.886,Estádio Nilton Santos,Rodolpho Toski Marques,Relatório da Partida,
3,sáb,2017-05-27,21:00,Vitória,0–1,Coritiba,7.619,Itaipava Arena Fonte Nova,Vinicius Gonçalves Dias Araujo,Relatório da Partida,
3,seg,2017-05-29,20:00,Chapecoense,2–0,Avaí,6.188,Arena Condá,Marcelo de Lima Henrique,Relatório da Partida,
,,,,,,,,,,,
4,sáb,2017-06-03,16:00,Coritiba,1–0,Atl Paranaense,15.442,Estádio Major Antônio Couto Pereira,Raphael Claus,Relatório da Partida,
4,sáb,2017-06-03,18:00,Fluminense,2–1,Vitória,13.801,Estadio Jornalista Mário Filho,Ricardo Marques Ribeiro,Relatório da Partida,
4,sáb,2017-06-03,19:00,Corinthians,2–0,Santos,40.169,Arena Corinthians,Anderson Daronco,Relatório da Partida,
4,dom,2017-06-04,11:00,Flamengo,0–0,Botafogo (RJ),10.577,Estádio General Sílvio Raulino de Olivei...,Dewson Fernando Freitas da Silva,Relatório da Partida,
4,dom,2017-06-04,11:00,Avaí,1–0,Sport Recife,4.646,Estádio Aderbal Ramos da Silva,Wagner Reway,Relatório da Partida,
4,dom,2017-06-04,16:00,Ponte Preta,1–0,São Paulo,6.246,Estádio Moisés Lucarelli,Rodolpho Toski Marques,Relatório da Partida,
4,dom,2017-06-04,16:00,Grêmio,2–0,Vasco da Gama,22.578,Arena do Grêmio,Sandro Ricci,Relatório da Partida,
4,dom,2017-06-04,16:00,Palmeiras,0–0,Atlético Mineiro,34.240,Allianz Parque,Marcelo de Lima Henrique,Relatório da Partida,
4,dom,2017-06-04,19:00,Cruzeiro,0–2,Chapecoense,16.591,Estádio Governador Magalhães Pinto,Claudio Francisco Lima e Silva,Relatório da Partida,
4,seg,2017-06-05,20:00,Bahia,3–0,Atl Goianiense,13.364,Itaipava Arena Fonte Nova,Rodrigo Batista Raposo,Relatório da Partida,
,,,,,,,,,,,
5,ter,2017-06-06,20:00,Fluminense,1–1,Atl Paranaense,14.843,Estadio Jornalista Mário Filho,Igor Junior Benevenuto,Relatório da Partida,
5,qua,2017-06-07,19:30,Atlético Mineiro,1–0,Avaí,12.648,Estádio Raimundo Sampaio,Bruno Arleu de Araujo,Relatório da Partida,
5,qua,2017-06-07,19:30,Coritiba,1–0,Palmeiras,16.648,Estádio Major Antônio Couto Pereira,Braulio da Silva Machado,Relatório da Partida,
5,qui,2017-06-08,19:30,Atl Goianiense,3–0,Ponte Preta,2.862,Estádio Olímpico Pedro Ludovico Teixeira,Pericles Bassols Pegado Cortez,Relatório da Partida,
5,qui,2017-06-08,19:30,São Paulo,2–0,Vitória,12.536,Estádio do Morumbi,Rafael Traci,Relatório da Partida,
5,qui,2017-06-08,20:00,Chapecoense,3–6,Grêmio,14.403,Arena Condá,Rodolpho Toski Marques,Relatório da Partida,
5,qua,2017-06-07,21:00,Santos,1–0,Botafogo (RJ),14.486,Estádio do Pacaembú,Jailson Macêdo Freitas,Relatório da Partida,
5,qua,2017-06-07,21:45,Sport Recife,2–0,Flamengo,11.426,Estádio Adelmar da Costa Carvalho,Anderson Daronco,Relatório da Partida,
5,qua,2017-06-07,21:45,Vasco da Gama,2–5,Corinthians,16.288,Estádio Club de Regatas Vasco da Gama,Wagner Reway,Relatório da Partida,
5,qui,2017-06-08,21:00,Bahia,1–0,Cruzeiro,18.917,Itaipava Arena Fonte Nova,Wagner do Nascimento Magalhaes,Relatório da Partida,
,,,,,,,,,,,
6,sáb,2017-06-10,16:00,Palmeiras,3–1,Fluminense,33.066,Allianz Parque,André Luiz de Freitas Castro,Relatório da Partida,
6,sáb,2017-06-10,19:00,Vasco da Gama,2–1,Sport Recife,10.273,Estádio Club de Regatas Vasco da Gama,Caio Max Augusto Vieira,Relatório da Partida,
6,dom,2017-06-11,11:00,Botafogo (RJ),2–2,Coritiba,14.866,Estádio Nilton Santos,Flavio Rodrigues De Souza,Relatório da Partida,
6,dom,2017-06-11,16:00,Corinthians,3–2,São Paulo,42.443,Arena Corinthians,Ricardo Marques Ribeiro,Relatório da Partida,
6,dom,2017-06-11,16:00,Ponte Preta,3–2,Chapecoense,4.105,Estádio Moisés Lucarelli,Dewson Fernando Freitas da Silva,Relatório da Partida,
6,dom,2017-06-11,16:00,Avaí,1–1,Flamengo,13.448,Estádio Aderbal Ramos da Silva,Paulo Henrique Schleinch Vollkopf,Relatório da Partida,
6,dom,2017-06-11,16:00,Vitória,2–0,Atlético Mineiro,6.812,Estádio Manoel Barradas,Raphael Claus,Relatório da Partida,
6,dom,2017-06-11,18:30,Cruzeiro,2–0,Atl Goianiense,9.912,Estádio Governador Magalhães Pinto,Joao Batista de Arruda,Relatório da Partida,
6,dom,2017-06-11,19:00,Atl Paranaense,0–2,Santos,18.112,Estádio Joaquim Américo Guimarães,Marcelo de Lima Henrique,Relatório da Partida,
6,seg,2017-06-12,20:00,Grêmio,1–0,Bahia,22.103,Arena do Grêmio,Eduardo Tomaz De Aquino Valadão,Relatório da Partida,
,,,,,,,,,,,
7,qua,2017-06-14,19:30,Atlético Mineiro,0–1,Atl Paranaense,10.924,Estádio Raimundo Sampaio,Pericles Bassols Pegado Cortez,Relatório da Partida,
7,qua,2017-06-14,19:30,Sport Recife,0–0,São Paulo,10.810,Estádio Adelmar da Costa Carvalho,Heber Roberto Lopes,Relatório da Partida,
7,qua,2017-06-14,19:30,Atl Goianiense,3–1,Avaí,2.572,Estádio Olímpico Pedro Ludovico Teixeira,Leandro Bizzio Marinho,Relatório da Partida,
7,qua,2017-06-14,19:30,Vitória,2–2,Botafogo (RJ),8.877,Estádio Manoel Barradas,Anderson Daronco,Relatório da Partida,
7,qui,2017-06-15,16:00,Coritiba,0–0,Bahia,19.534,Estádio Major Antônio Couto Pereira,Wagner Reway,Relatório da Partida,
7,qua,2017-06-14,21:00,Flamengo,2–0,Ponte Preta,13.981,Estádio Luso-Brasileiro,Ricardo Marques Ribeiro,Relatório da Partida,
7,qua,2017-06-14,21:45,Santos,1–0,Palmeiras,10.143,Estádio Urbano Caldeira,Wilton Sampaio,Relatório da Partida,
7,qua,2017-06-14,21:45,Chapecoense,2–1,Vasco da Gama,10.003,Arena Condá,Jailson Macêdo Freitas,Relatório da Partida,
7,qua,2017-06-14,21:45,Corinthians,1–0,Cruzeiro,30.465,Arena Corinthians,Leandro Pedro Vuaden,Relatório da Partida,
7,qui,2017-06-15,21:00,Fluminense,0–2,Grêmio,11.652,Estadio Jornalista Mário Filho,Elmo Alves Resende Cunha,Relatório da Partida,
,,,,,,,,,,,
8,sáb,2017-06-17,16:00,Atl Goianiense,0–1,Atl Paranaense,4.420,Estádio Olímpico Pedro Ludovico Teixeira,Bruno Arleu de Araujo,Relatório da Partida,
8,sáb,2017-06-17,19:00,Vasco da Gama,1–0,Avaí,10.993,Estádio Club de Regatas Vasco da Gama,Rafael Traci,Relatório da Partida,
8,dom,2017-06-18,11:00,Coritiba,0–0,Corinthians,19.534,Estádio Major Antônio Couto Pereira,Marcelo de Lima Henrique,Relatório da Partida,
8,dom,2017-06-18,16:00,São Paulo,1–2,Atlético Mineiro,22.704,Estádio do Morumbi,Braulio da Silva Machado,Relatório da Partida,
8,dom,2017-06-18,16:00,Bahia,2–4,Palmeiras,33.186,Itaipava Arena Fonte Nova,Rodolpho Toski Marques,Relatório da Partida,
8,dom,2017-06-18,16:00,Chapecoense,0–2,Botafogo (RJ),11.603,Arena Condá,Marcelo Aparecido Ribeiro De Souza,Relatório da Partida,
8,dom,2017-06-18,16:00,Fluminense,2–2,Flamengo,33.112,Estadio Jornalista Mário Filho,Vinicius Gonçalves Dias Araujo,Relatório da Partida,
8,dom,2017-06-18,19:00,Sport Recife,1–3,Vitória,6.061,Estádio Adelmar da Costa Carvalho,André Luiz de Freitas Castro,Relatório da Partida,
8,sáb,2017-06-17,21:00,Santos,0–0,Ponte Preta,19.984,Estádio do Pacaembú,Igor Junior Benevenuto,Relatório da Partida,
8,seg,2017-06-19,20:00,Cruzeiro,3–3,Grêmio,20.384,Estádio Governador Magalhães Pinto,Raphael Claus,Relatório da Partida,
,,,,,,,,,,,
9,qua,2017-06-21,19:30,Vitória,0–2,Santos,7.855,Estádio Manoel Barradas,Heber Roberto Lopes,Relatório da Partida,
9,qui,2017-06-22,19:30,Ponte Preta,1–0,Cruzeiro,4.707,Estádio Moisés Lucarelli,Grazianni Maciel Rocha,Relatório da Partida,
9,qui,2017-06-22,19:30,Corinthians,3–0,Bahia,34.250,Arena Corinthians,Dewson Fernando Freitas da Silva,Relatório da Partida,
9,qua,2017-06-21,21:00,Botafogo (RJ),3–1,Vasco da Gama,15.048,Estádio Nilton Santos,Leandro Pedro Vuaden,Relatório da Partida,
9,qua,2017-06-21,21:00,Palmeiras,1–0,Atl Goianiense,29.014,Allianz Parque,Antonio Dib Moraes de Sousa,Relatório da Partida,
9,qua,2017-06-21,21:45,Atl Paranaense,1–0,São Paulo,19.150,Estádio Joaquim Américo Guimarães,Wagner do Nascimento Magalhaes,Relatório da Partida,
9,qua,2017-06-21,21:45,Avaí,0–3,Fluminense,5.239,Estádio Aderbal Ramos da Silva,Marielson Alves Silva,Relatório da Partida,
9,qua,2017-06-21,21:45,Atlético Mineiro,2–2,Sport Recife,12.027,Estádio Raimundo Sampaio,Wilton Sampaio,Relatório da Partida,
9,qui,2017-06-22,21:00,Flamengo,5–1,Chapecoense,14.632,Estádio Luso-Brasileiro,Leandro Bizzio Marinho,Relatório da Partida,
9,qui,2017-06-22,21:00,Grêmio,2–0,Coritiba,19.035,Arena do Grêmio,Pericles Bassols Pegado Cortez,Relatório da Partida,
,,,,,,,,,,,
10,sáb,2017-06-24,19:00,Santos,0–1,Sport Recife,7.272,Estádio Urbano Caldeira,Rafael Traci,Relatório da Partida,
10,dom,2017-06-25,11:00,Vasco da Gama,1–0,Atl Goianiense,20.658,Estádio Club de Regatas Vasco da Gama,Dyorgines José Padovani Andrade,Relatório da Partida,
10,dom,2017-06-25,16:00,Cruzeiro,2–0,Coritiba,11.778,Estádio Governador Magalhães Pinto,Marcelo Aparecido Ribeiro De Souza,Relatório da Partida,
10,dom,2017-06-25,16:00,São Paulo,1–1,Fluminense,17.742,Estádio do Morumbi,Anderson Daronco,Relatório da Partida,
10,dom,2017-06-25,16:00,Ponte Preta,1–2,Palmeiras,6.051,Estádio Moisés Lucarelli,Wagner Reway,Relatório da Partida,
10,dom,2017-06-25,16:00,Grêmio,0–1,Corinthians,50.116,Arena do Grêmio,Wilton Sampaio,Relatório da Partida,
10,dom,2017-06-25,16:00,Atl Paranaense,4–1,Vitória,15.770,Estádio Joaquim Américo Guimarães,Rodrigo Batista Raposo,Relatório da Partida,
10,dom,2017-06-25,18:30,Bahia,0–1,Flamengo,21.929,Itaipava Arena Fonte Nova,Igor Junior Benevenuto,Relatório da Partida,
10,dom,2017-06-25,19:00,Chapecoense,0–1,Atlético Mineiro,9.013,Arena Condá,Joao Batista de Arruda,Relatório da Partida,
10,seg,2017-06-26,20:00,Botafogo (RJ),0–2,Avaí,22.819,Estádio Nilton Santos,Caio Max Augusto Vieira,Relatório da Partida,
,,,,,,,,,,,
11,sáb,2017-07-01,16:00,Palmeiras,1–0,Grêmio,31.395,Estádio do Pacaembú,Wagner do Nascimento Magalhaes,Relatório da Partida,
11,sáb,2017-07-01,19:00,Atl Goianiense,1–1,Santos,5.898,Estádio Olímpico Pedro Ludovico Teixeira,Claudio Francisco Lima e Silva,Relatório da Partida,
11,dom,2017-07-02,16:00,Vitória,0–0,Bahia,10.741,Estádio Manoel Barradas,Raphael Claus,Relatório da Partida,
11,dom,2017-07-02,16:00,Atlético Mineiro,3–1,Cruzeiro,17.251,Estádio Raimundo Sampaio,Anderson Daronco,Relatório da Partida,
11,dom,2017-07-02,16:00,Sport Recife,1–0,Atl Paranaense,11.031,Estádio Adelmar da Costa Carvalho,Grazianni Maciel Rocha,Relatório da Partida,
11,dom,2017-07-02,16:00,Flamengo,2–0,São Paulo,17.302,Estádio Luso-Brasileiro,Leandro Pedro Vuaden,Relatório da Partida,
11,dom,2017-07-02,16:00,Corinthians,1–0,Botafogo (RJ),40.341,Arena Corinthians,Rodolpho Toski Marques,Relatório da Partida,
11,dom,2017-07-02,19:00,Coritiba,2–2,Vasco da Gama,8.020,Estádio Major Antônio Couto Pereira,Emerson De Almeida Ferreira,Relatório da Partida,
11,dom,2017-07-02,19:00,Avaí,0–0,Ponte Preta,5.697,Estádio Aderbal Ramos da Silva,Marcelo de Lima Henrique,Relatório da Partida,
11,seg,2017-07-03,20:00,Fluminense,3–3,Chapecoense,7.536,Estádio Giulite Coutinho,Eduardo Tomaz De Aquino Valadão,Relatório da Partida,
,,,,,,,,,,,
12,sáb,2017-07-08,16:00,Atl Goianiense,1–2,Vitória,2.857,Estádio Olímpico Pedro Ludovico Teixeira,Rafael Traci,Relatório da Partida,
12,sáb,2017-07-08,18:00,Vasco da Gama,0–1,Flamengo,19.622,Estádio Club de Regatas Vasco da Gama,Anderson Daronco,Relatório da Partida,
12,sáb,2017-07-08,19:00,Corinthians,2–0,Ponte Preta,32.877,Arena Corinthians,Ricardo Marques Ribeiro,Relatório da Partida,
12,dom,2017-07-09,11:00,Chapecoense,1–1,Atl Paranaense,9.689,Arena Condá,Caio Max Augusto Vieira,Relatório da Partida,
12,dom,2017-07-09,16:00,Bahia,1–1,Fluminense,18.267,Itaipava Arena Fonte Nova,Flavio Rodrigues De Souza,Relatório da Partida,
12,dom,2017-07-09,16:00,Cruzeiro,3–1,Palmeiras,19.090,Estádio Governador Magalhães Pinto,Pericles Bassols Pegado Cortez,Relatório da Partida,
12,dom,2017-07-09,16:00,Grêmio,0–2,Avaí,27.222,Arena do Grêmio,Wagner Reway,Relatório da Partida,
12,dom,2017-07-09,19:00,Santos,3–2,São Paulo,10.322,Estádio Urbano Caldeira,Sandro Ricci,Relatório da Partida,
12,dom,2017-07-09,19:00,Botafogo (RJ),1–1,Atlético Mineiro,9.630,Estádio Nilton Santos,Wilton Sampaio,Relatório da Partida,
12,seg,2017-07-10,20:00,Coritiba,0–3,Sport Recife,10.192,Estádio Major Antônio Couto Pereira,Jailson Macêdo Freitas,Relatório da Partida,
,,,,,,,,,,,
13,qua,2017-07-12,19:30,Ponte Preta,0–3,Bahia,4.181,Estádio Moisés Lucarelli,Rafael Traci,Relatório da Partida,
13,qua,2017-07-12,19:30,Atlético Mineiro,0–1,Santos,12.949,Estádio Raimundo Sampaio,Marcelo de Lima Henrique,Relatório da Partida,
13,qui,2017-07-13,19:30,Sport Recife,3–0,Chapecoense,25.861,Estádio Adelmar da Costa Carvalho,Dyorgines José Padovani Andrade,Relatório da Partida,
13,qui,2017-07-13,19:30,São Paulo,2–2,Atl Goianiense,31.333,Estádio do Morumbi,Marielson Alves Silva,Relatório da Partida,
13,qui,2017-07-13,19:30,Flamengo,0–1,Grêmio,18.204,Estádio Luso-Brasileiro,Marcelo Aparecido Ribeiro De Souza,Relatório da Partida,
13,qua,2017-07-12,21:00,Fluminense,0–1,Botafogo (RJ),14.851,Estadio Jornalista Mário Filho,Wagner Reway,Relatório da Partida,
13,qua,2017-07-12,21:45,Palmeiras,0–2,Corinthians,39.091,Allianz Parque,Leandro Pedro Vuaden,Relatório da Partida,
13,qua,2017-07-12,21:45,Vitória,1–4,Vasco da Gama,5.548,Estádio Manoel Barradas,Antonio Dib Moraes de Sousa,Relatório da Partida,
13,qua,2017-07-12,21:45,Atl Paranaense,0–2,Cruzeiro,13.897,Estádio Joaquim Américo Guimarães,Braulio da Silva Machado,Relatório da Partida,
13,qui,2017-07-13,21:00,Avaí,1–4,Coritiba,6.552,Estádio Aderbal Ramos da Silva,Raphael Claus,Relatório da Partida,
,,,,,,,,,,,
14,sáb,2017-07-15,19:00,Corinthians,2–2,Atl Paranaense,41.201,Arena Corinthians,Sandro Ricci,Relatório da Partida,
14,dom,2017-07-16,11:00,Palmeiras,4–2,Vitória,36.263,Allianz Parque,Bruno Arleu de Araujo,Relatório da Partida,
14,dom,2017-07-16,16:00,Chapecoense,2–0,São Paulo,10.742,Arena Condá,Wagner do Nascimento Magalhaes,Relatório da Partida,
14,dom,2017-07-16,16:00,Atl Goianiense,1–2,Atlético Mineiro,5.235,Estádio Olímpico Pedro Ludovico Teixeira,Pablo Dos Santos Alves,Relatório da Partida,
14,dom,2017-07-16,16:00,Vasco da Gama,0–0,Santos,,Estádio Club de Regatas Vasco da Gama,Dewson Fernando Freitas da Silva,Relatório da Partida,
14,dom,2017-07-16,16:00,Cruzeiro,1–1,Flamengo,43.439,Estádio Governador Magalhães Pinto,Rodolpho Toski Marques,Relatório da Partida,
14,dom,2017-07-16,16:00,Grêmio,3–1,Ponte Preta,19.292,Arena do Grêmio,Claudio Francisco Lima e Silva,Relatório da Partida,
14,dom,2017-07-16,19:00,Coritiba,1–2,Fluminense,10.843,Estádio Major Antônio Couto Pereira,Leandro Bizzio Marinho,Relatório da Partida,
14,dom,2017-07-16,19:00,Bahia,1–1,Avaí,12.389,Estádio Governador Roberto Santos,Eduardo Tomaz De Aquino Valadão,Relatório da Partida,
14,seg,2017-07-17,20:00,Botafogo (RJ),2–1,Sport Recife,17.313,Estádio Nilton Santos,Ricardo Marques Ribeiro,Relatório da Partida,
,,,,,,,,,,,
15,qua,2017-07-19,19:30,Vitória,1–3,Grêmio,5.541,Estádio Manoel Barradas,Pericles Bassols Pegado Cortez,Relatório da Partida,
15,qua,2017-07-19,19:30,Santos,1–0,Chapecoense,5.533,Estádio Urbano Caldeira,Elmo Alves Resende Cunha,Relatório da Partida,
15,qui,2017-07-20,19:30,Fluminense,1–1,Cruzeiro,5.753,Estádio Giulite Coutinho,Leandro Pedro Vuaden,Relatório da Partida,
15,qui,2017-07-20,20:00,Sport Recife,4–0,Atl Goianiense,8.809,Estádio Adelmar da Costa Carvalho,Dewson Fernando Freitas da Silva,Relatório da Partida,
15,qua,2017-07-19,21:00,Avaí,0–0,Corinthians,10.671,Estádio Aderbal Ramos da Silva,Wilton Sampaio,Relatório da Partida,
15,qua,2017-07-19,21:00,Ponte Preta,4–0,Coritiba,3.832,Estádio Moisés Lucarelli,Rodrigo Batista Raposo,Relatório da Partida,
15,qua,2017-07-19,21:45,São Paulo,1–0,Vasco da Gama,22.574,Estádio do Morumbi,Wagner Reway,Relatório da Partida,
15,qua,2017-07-19,21:45,Atlético Mineiro,0–2,Bahia,12.177,Estádio Raimundo Sampaio,Marcelo Aparecido Ribeiro De Souza,Relatório da Partida,
15,qua,2017-07-19,21:45,Flamengo,2–2,Palmeiras,15.103,Estádio Luso-Brasileiro,Jailson Macêdo Freitas,Relatório da Partida,
15,qui,2017-07-20,21:00,Atl Paranaense,0–0,Botafogo (RJ),15.134,Estádio Joaquim Américo Guimarães,Anderson Daronco,Relatório da Partida,
,,,,,,,,,,,
16,sáb,2017-07-22,16:00,Vitória,1–2,Chapecoense,5.433,Estádio Manoel Barradas,Marcelo de Lima Henrique,Relatório da Partida,
16,sáb,2017-07-22,19:00,Flamengo,2–1,Coritiba,13.014,Estádio Luso-Brasileiro,Braulio da Silva Machado,Relatório da Partida,
16,dom,2017-07-23,11:00,Santos,3–0,Bahia,32.869,Estádio do Pacaembú,Wagner do Nascimento Magalhaes,Relatório da Partida,
16,dom,2017-07-23,16:00,Fluminense,0–1,Corinthians,23.863,Estadio Jornalista Mário Filho,Rafael Traci,Relatório da Partida,
16,dom,2017-07-23,16:00,Avaí,1–0,Cruzeiro,6.590,Estádio Aderbal Ramos da Silva,Flavio Rodrigues De Souza,Relatório da Partida,
16,dom,2017-07-23,16:00,Sport Recife,0–2,Palmeiras,37.430,Estádio Adelmar da Costa Carvalho,Eduardo Tomaz De Aquino Valadão,Relatório da Partida,
16,dom,2017-07-23,19:00,Atlético Mineiro,1–2,Vasco da Gama,12.497,Estádio Raimundo Sampaio,Raphael Claus,Relatório da Partida,
16,dom,2017-07-23,19:00,Atl Paranaense,0–2,Ponte Preta,13.661,Estádio Joaquim Américo Guimarães,Pablo Dos Santos Alves,Relatório da Partida,
16,dom,2017-07-23,19:00,Atl Goianiense,1–1,Botafogo (RJ),5.462,Estádio Olímpico Pedro Ludovico Teixeira,Caio Max Augusto Vieira,Relatório da Partida,
16,seg,2017-07-24,20:00,São Paulo,1–1,Grêmio,51.511,Estádio do Morumbi,Ricardo Marques Ribeiro,Relatório da Partida,
,,,,,,,,,,,
17,sáb,2017-07-29,16:00,Botafogo (RJ),3–4,São Paulo,17.139,Estádio Nilton Santos,André Luiz de Freitas Castro,Relatório da Partida,
17,sáb,2017-07-29,19:00,Palmeiras,2–0,Avaí,33.633,Allianz Parque,Anderson Daronco,Relatório da Partida,
17,dom,2017-07-30,11:00,Chapecoense,1–2,Atl Goianiense,9.744,Arena Condá,Marcelo Aparecido Ribeiro De Souza,Relatório da Partida,
17,dom,2017-07-30,16:00,Bahia,1–3,Sport Recife,17.869,Itaipava Arena Fonte Nova,Elmo Alves Resende Cunha,Relatório da Partida,
17,dom,2017-07-30,16:00,Coritiba,0–2,Atlético Mineiro,11.564,Estádio Major Antônio Couto Pereira,Wagner do Nascimento Magalhaes,Relatório da Partida,
17,dom,2017-07-30,16:00,Corinthians,1–1,Flamengo,44.682,Arena Corinthians,Ricardo Marques Ribeiro,Relatório da Partida,
