Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2020-08-08,19:00,Fortaleza,0.5,0–2,2.6,Atl Paranaense,,Estádio Castelão,Braulio da Silva Machado,Relatório da Partida,
1,sáb,2020-08-08,19:30,Coritiba,0.1,0–1,1.1,Internacional,,Estádio Major Antônio Couto Pereira,Bruno Arleu de Araujo,Relatório da Partida,
1,dom,2020-08-09,16:00,Santos,1.6,1–1,1.1,Bragantino,,Estádio Urbano Caldeira,Ricardo Marques Ribeiro,Relatório da Partida,
1,dom,2020-08-09,16:00,Flamengo,2.2,0–1,0.7,Atlético Mineiro,,Estadio Jornalista Mário Filho,Raphael Claus,Relatório da Partida,
1,dom,2020-08-09,19:00,Grêmio,1.2,1–0,0.5,Fluminense,,Arena do Grêmio,Wilton Sampaio,Relatório da Partida,
1,sáb,2020-08-08,21:00,Sport Recife,1.7,3–2,2.3,Ceará,,Estádio Adelmar da Costa Carvalho,Edina Alves Batista,Relatório da Partida,
,,,,,,,,,,,,,
2,qua,2020-08-12,19:15,Atlético Mineiro,2.3,3–2,1.0,Corinthians,,Estádio Raimundo Sampaio,Wagner do Nascimento Magalhaes,Relatório da Partida,
2,qua,2020-08-12,19:15,Atl Paranaense,2.4,2–1,1.7,Goiás,,Estádio Joaquim Américo Guimarães,Diego Pombo Lopez,Relatório da Partida,
2,qua,2020-08-12,19:15,Bragantino,1.8,1–1,0.7,Botafogo (RJ),,Estádio Nabi Abi Chedid,André Luiz de Freitas Castro,Relatório da Partida,
2,qua,2020-08-12,20:30,Bahia,2.3,1–0,0.9,Coritiba,,Estádio Governador Roberto Santos,Flavio Rodrigues De Souza,Relatório da Partida,
2,qua,2020-08-12,20:30,Atl Goianiense,1.8,3–0,1.0,Flamengo,,Estádio Olímpico Pedro Ludovico Teixeira,Luiz Flávio de Oliveira,Relatório da Partida,
2,qui,2020-08-13,19:15,São Paulo,1.4,1–0,0.7,Fortaleza,,Estádio do Morumbi,Leandro Pedro Vuaden,Relatório da Partida,
2,qui,2020-08-13,19:30,Internacional,2.6,2–0,0.3,Santos,,Estádio José Pinheiro Borba,Marcelo de Lima Henrique,Relatório da Partida,
2,qui,2020-08-13,20:00,Vasco da Gama,0.8,2–0,0.6,Sport Recife,,Estádio Club de Regatas Vasco da Gama,Rodolpho Toski Marques,Relatório da Partida,
2,qua,2020-08-12,21:30,Ceará,1.3,1–1,1.6,Grêmio,,Estádio Castelão,Caio Max Augusto Vieira,Relatório da Partida,
2,qua,2020-08-12,21:30,Fluminense,0.4,1–1,0.6,Palmeiras,,Estadio Jornalista Mário Filho,Rafael Traci,Relatório da Partida,
,,,,,,,,,,,,,
3,sáb,2020-08-15,19:00,Grêmio,3.1,0–0,0.3,Corinthians,,Arena do Grêmio,Bruno Arleu de Araujo,Relatório da Partida,
3,sáb,2020-08-15,19:30,Coritiba,0.4,0–1,1.4,Flamengo,,Estádio Major Antônio Couto Pereira,Rodrigo D'Alonso Ferreira,Relatório da Partida,
3,dom,2020-08-16,11:00,Atlético Mineiro,2.1,2–0,1.0,Ceará,,Estádio Raimundo Sampaio,Savio Pereira,Relatório da Partida,
