Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
1;Tammy Abraham;engENG;FW;Roma;23;1997;34.3;9;0;0;38;49;17;16;5;13;1;1;0;68;78;80
2;Francesco Acerbi;itITA;DF;Lazio;33;1988;28.2;2;1;0;18;16;4;3;34;12;1;0;0;162;69;43
3;Michel Aebischer;chSUI;MF;Bologna;24;1997;4.9;1;0;0;13;4;0;7;6;5;0;0;0;27;5;4
4;Felix Afena-Gyan;ghGHA;FW,MF;Roma;18;2003;7.4;5;1;1;15;24;4;8;3;3;0;0;0;31;11;15
5;Kevin Agudelo;coCOL;MF,FW;Spezia;22;1998;13.7;2;1;0;36;24;0;22;8;26;0;0;0;67;15;14
6;Ola Aina;ngNGA;DF;Torino;24;1996;16.0;4;0;0;18;28;1;34;28;19;0;0;0;101;17;25
7;Marley Aké;frFRA;FW,MF;Juventus;20;2001;0.9;1;0;0;6;2;0;1;1;0;0;0;0;3;1;0
8;Jean-Daniel Akpa-Akpro;ciCIV;MF;Lazio;28;1992;3.5;1;0;0;13;8;0;0;2;10;0;1;0;13;4;4
9;Luis Alberto;esESP;MF;Lazio;28;1992;26.1;5;0;0;13;26;1;143;13;17;0;0;0;136;6;12
10;Giorgio Altare;itITA;DF;Cagliari;22;1998;16.3;5;0;0;35;10;1;27;30;28;0;1;0;126;46;34
11;Wisdom Amey;itITA;DF;Bologna;15;2005;0.8;0;0;0;1;2;0;0;3;2;0;0;0;4;3;1
12;Kelvin Amian;frFRA;DF;Spezia;23;1998;29.4;9;2;1;36;14;1;24;32;42;0;0;0;105;41;29
13;Nadiem Amiri;deGER;MF,FW;Genoa;24;1996;7.6;0;0;0;7;19;1;20;0;4;0;0;0;40;3;7
14;Ethan Ampadu;wlsWAL;MF,DF;Venezia;20;2000;25.4;13;2;1;46;27;0;20;51;43;0;0;0;157;66;33
15;Sofyan Amrabat;maMAR;MF;Fiorentina;24;1996;10.5;6;0;0;25;14;0;6;5;13;0;0;0;67;6;13
16;Felipe Anderson;brBRA;FW;Lazio;28;1993;32.1;2;0;0;43;37;7;86;20;45;0;0;0;150;11;20
17;Ebenezer Annan;ghGHA;DF;Bologna;18;2002;0.3;0;0;0;0;0;0;1;1;1;0;0;0;2;0;0
18;Cristian Ansaldi;arARG;DF;Torino;34;1986;7.7;2;0;0;13;4;2;57;6;9;0;0;0;36;3;3
19;Janis Antiste;frFRA;FW;Spezia;18;2002;8.8;0;0;0;15;6;5;12;4;11;0;0;0;36;16;19
20;Mattia Aramu;itITA;MF,FW;Venezia;26;1995;23.3;6;0;0;29;81;7;144;8;15;1;1;0;91;11;27
21;Marko Arnautović;atAUT;FW;Bologna;32;1989;29.9;6;0;0;45;21;14;12;7;9;0;0;0;77;25;41
22;Tolgay Arslan;deGER;MF;Udinese;30;1990;18.4;9;0;0;28;36;0;33;13;20;1;0;0;140;6;8
23;Arthur;brBRA;FW;Fiorentina;23;1998;8.3;1;0;0;16;10;1;2;1;5;0;0;0;15;12;26
24;Kristoffer Askildsen;noNOR;MF;Sampdoria;20;2001;8.4;5;0;0;17;14;0;2;15;6;0;0;1;43;21;10
25;Kristjan Asllani;alALB;MF;Empoli;19;2002;15.0;2;0;0;13;23;0;29;19;9;0;0;0;122;4;6
26;Emil Audero;itITA;GK;Sampdoria;24;1997;28.4;2;0;0;0;6;0;0;2;1;0;0;0;31;7;0
27;Tommaso Augello;itITA;DF;Sampdoria;26;1994;26.6;0;0;0;12;21;1;74;29;20;0;0;0;172;33;19
28;Ramzi Aya;itITA;DF;Salernitana;30;1990;1.5;1;0;0;1;0;0;1;0;1;0;0;0;8;0;1
29;Kaan Ayhan;trTUR;DF;Sassuolo;26;1994;15.0;2;1;0;13;5;1;2;13;12;0;1;0;68;24;34
30;Milan Badelj;hrCRO;MF;Genoa;32;1989;31.6;4;0;0;39;19;0;10;85;37;1;0;0;258;34;28
31;Nicola Bagnolini;itITA;GK;Bologna;17;2004;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;Issa Bah;luLUX;FW;Venezia;19;2002;0.1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
33;Nedim Bajrami;alALB;MF,FW;Empoli;22;1999;22.8;3;0;0;16;14;7;156;3;14;0;0;0;91;0;14
34;Tiemoué Bakayoko;frFRA;MF;Milan;26;1994;5.6;3;0;0;12;10;0;1;9;13;0;1;0;33;16;8
35;Tommaso Baldanzi;itITA;FW;Empoli;18;2003;0.2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
36;Keita Baldé;snSEN;FW;Cagliari;26;1995;13.7;2;0;0;27;30;9;8;4;4;1;1;0;33;20;46
37;Fodé Ballo-Touré;snSEN;DF;Milan;24;1997;5.0;2;0;0;12;10;1;18;3;14;0;1;0;35;5;9
38;Filippo Bandinelli;itITA;MF;Empoli;26;1995;21.7;10;0;0;53;18;5;68;10;20;0;1;0;117;12;31
39;Mattia Bani;itITA;DF;Genoa;27;1993;13.5;1;0;0;14;19;0;1;20;13;0;0;0;70;42;27
40;Antonín Barák;czCZE;MF,FW;Hellas Verona;26;1994;26.0;4;0;0;27;17;3;13;6;8;1;0;0;156;41;68
41;Francesco Bardi;itITA;GK;Bologna;29;1992;2.0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
42;Nicolò Barella;itITA;MF;Inter;24;1997;32.4;9;0;0;30;52;4;66;21;42;1;0;0;190;22;24
43;Musa Barrow;gmGAM;FW,MF;Bologna;22;1998;23.7;0;0;0;10;25;6;112;6;4;0;0;0;93;15;48
44;Daniele Baselli;itITA;MF,FW;Torino;29;1992;1.7;0;0;0;3;4;1;5;1;3;0;0;0;11;2;6
45;Daniele Baselli;itITA;MF;Cagliari;29;1992;3.2;1;0;0;2;3;0;17;2;5;0;0;0;24;2;3
46;Toma Bašić;hrCRO;MF;Lazio;24;1996;10.9;3;0;0;13;6;0;15;4;8;0;0;0;41;8;10
47;Alessandro Bastoni;itITA;DF;Inter;22;1999;25.7;4;0;0;30;28;0;29;35;25;0;1;0;152;43;26
48;Simone Bastoni;itITA;MF,DF;Spezia;24;1996;25.4;5;1;0;30;35;1;113;30;34;0;0;0;185;25;13
49;Rodrigo Becão;brBRA;DF;Udinese;25;1996;34.8;10;0;0;57;45;4;17;42;46;0;1;0;193;63;32
50;Valon Behrami;chSUI;MF,FW;Genoa;36;1985;3.5;3;0;0;8;5;0;2;1;1;0;0;0;13;0;7
51;Vid Belec;siSVN;GK;Salernitana;31;1990;21.5;1;0;0;1;1;0;0;0;0;0;1;0;14;1;0
52;Raoul Bellanova;itITA;DF,FW;Cagliari;21;2000;27.7;3;0;0;10;35;2;96;21;15;0;1;0;123;15;26
53;Andrea Belotti;itITA;FW;Torino;27;1993;15.2;1;0;0;26;51;16;13;2;3;1;0;0;41;55;77
54;Marco Benassi;itITA;DF,MF;Fiorentina;26;1994;1.8;1;0;0;4;0;0;4;3;0;0;0;0;9;3;5
55;Marco Benassi;itITA;MF;Empoli;26;1994;4.2;1;0;0;5;5;0;13;3;3;0;0;0;14;7;14
56;Filip Benković;hrCRO;DF,FW;Udinese;24;1997;0.1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1
57;Ismaël Bennacer;dzALG;MF;Milan;23;1997;16.9;7;0;0;25;44;0;24;25;30;0;0;0;153;15;18
58;Rodrigo Bentancur;uyURU;MF;Juventus;24;1997;12.8;1;0;0;25;8;0;4;26;18;0;0;0;86;20;20
59;Alessandro Berardi;itITA;GK;Hellas Verona;30;1991;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
60;Domenico Berardi;itITA;FW;Sassuolo;26;1994;31.3;9;0;0;53;76;11;102;31;19;2;0;0;151;18;18
61;Bartosz Bereszyński;plPOL;DF;Sampdoria;29;1992;32.7;12;0;0;34;37;0;60;42;38;0;0;0;191;45;20
62;Etrit Berisha;alALB;GK;Torino;32;1989;10.0;1;0;0;1;3;0;0;0;0;0;1;0;18;0;0
63;Federico Bernardeschi;itITA;MF,FW;Juventus;27;1994;16.4;5;0;0;16;27;4;51;5;10;0;0;0;82;7;17
64;Nicolò Bertola;itITA;MF,DF;Spezia;18;2003;0.4;0;0;0;0;0;0;0;3;2;0;0;0;4;1;1
65;Daniel Bessa;itITA;MF;Hellas Verona;28;1993;8.5;5;1;1;21;12;2;17;5;2;0;0;0;84;8;7
66;Beto;gwGNB;FW;Udinese;23;1998;24.1;1;0;0;52;24;13;2;5;6;0;0;0;54;73;123
67;Luis Binks;engENG;DF;Bologna;19;2001;7.2;3;0;0;7;6;0;1;17;4;0;0;0;35;19;13
68;Cristiano Biraghi;itITA;DF;Fiorentina;28;1992;35.0;5;1;1;28;38;7;278;19;24;0;0;1;173;4;16
69;Davide Biraschi;itITA;DF;Genoa;27;1994;10.3;4;0;0;12;11;1;14;16;16;0;0;0;53;21;16
70;Bjarki Bjarkason;isISL;MF;Venezia;21;2000;0.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
71;Jeremie Boga;ciCIV;FW,MF;Atalanta;24;1997;8.5;0;0;0;1;17;3;24;1;3;0;0;0;37;3;6
72;Jeremie Boga;ciCIV;FW,MF;Sassuolo;24;1997;7.4;0;0;0;1;9;2;7;2;4;1;0;0;25;2;5
73;Luka Bogdan;hrCRO;DF;Salernitana;25;1996;4.4;0;0;0;2;1;0;1;6;3;0;0;0;18;6;8
74;Emil Bohinen;noNOR;MF;Salernitana;22;1999;7.8;5;0;0;16;13;1;20;12;9;0;0;0;61;6;13
75;Giacomo Bonaventura;itITA;MF;Fiorentina;31;1989;25.2;8;1;1;31;49;2;36;14;17;2;0;0;141;16;16
76;Federico Bonazzoli;itITA;FW,MF;Salernitana;24;1997;20.7;6;0;0;31;66;6;23;6;12;0;0;0;76;11;24
77;Kevin Bonifazi;itITA;DF;Bologna;25;1996;13.4;4;1;1;15;10;0;3;16;16;0;1;1;97;34;18
78;Leonardo Bonucci;itITA;DF;Juventus;34;1987;22.3;1;0;0;17;8;1;3;26;5;0;1;0;95;44;35
79;Mehdi Bourabia;maMAR;MF;Spezia;29;1991;3.1;0;0;0;6;6;0;3;3;1;0;0;0;20;1;2
80;Edoardo Bove;itITA;MF,DF;Roma;19;2002;0.8;0;0;0;1;3;0;2;1;1;0;0;0;4;0;3
81;Josip Brekalo;hrCRO;MF;Torino;23;1998;25.4;1;0;0;20;21;5;135;4;5;0;0;0;128;17;31
82;Gleison Bremer;brBRA;DF;Torino;24;1997;32.1;7;0;0;66;20;5;1;105;24;0;0;0;284;131;147
83;Marcelo Brozović;hrCRO;MF;Inter;28;1992;32.6;7;0;0;43;32;0;23;37;45;0;0;0;252;13;24
84;Aleksander Buksa;plPOL;FW;Genoa;18;2003;0.7;0;0;0;2;0;0;0;0;0;0;0;0;4;3;3
85;Alessandro Buongiorno;itITA;DF;Torino;22;1999;13.1;5;0;0;27;16;1;6;31;9;0;1;0;60;53;27
86;Gianluca Busio;usUSA;MF;Venezia;19;2002;21.7;8;0;0;31;17;0;38;21;28;0;0;0;99;31;33
87;Jovane Cabral;cvCPV;FW;Lazio;23;1998;2.1;0;0;0;5;3;0;2;1;1;0;0;0;6;1;4
88;Liberato Cacace;nzNZL;DF;Empoli;20;2000;5.2;1;0;0;9;6;0;11;8;6;0;0;0;29;2;6
89;Martín Cáceres;uyURU;DF;Cagliari;34;1987;9.2;3;1;0;7;9;0;12;14;7;0;0;0;55;5;5
90;Felipe Caicedo;ecECU;FW;Genoa;32;1988;3.2;1;0;0;6;2;4;0;0;3;1;0;0;10;15;17
91;Felipe Caicedo;ecECU;FW,DF;Inter;32;1988;0.3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
92;Davide Calabria;itITA;DF;Milan;24;1996;23.5;2;0;0;15;28;1;53;23;37;0;0;0;140;10;27
93;Riccardo Calafiori;itITA;DF;Genoa;19;2002;0.9;1;0;0;3;0;0;0;2;0;0;0;0;2;1;0
94;Riccardo Calafiori;itITA;DF;Roma;19;2002;1.9;2;0;0;4;0;0;3;3;4;0;0;0;8;1;2
