Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2009-08-22,,Bologna,1–1,Fiorentina,,,Andrea Gervasoni,Relatório da Partida,
1,sáb,2009-08-22,,Siena,1–2,Milan,,,Paolo Tagliavento,Relatório da Partida,
1,dom,2009-08-23,,Livorno,0–0,Cagliari,,,Sebastiano Peruzzo,Relatório da Partida,
1,dom,2009-08-23,,Palermo,2–1,Napoli,,,Roberto Rosetti,Relatório da Partida,
1,dom,2009-08-23,,Juventus,1–0,Chievo,,,Gabriele Gava,Relatório da Partida,
1,dom,2009-08-23,,Lazio,1–0,Atalanta,,,Nicola Pierpaoli,Relatório da Partida,
1,dom,2009-08-23,,Catania,1–2,Sampdoria,,,Luca Banti,Relatório da Partida,
1,dom,2009-08-23,,Udinese,2–2,Parma,,,Paolo Valeri,Relatório da Partida,
1,dom,2009-08-23,,Inter,1–1,Bari,,,Carmine Russo,Relatório da Partida,
1,dom,2009-08-23,,Genoa,3–2,Roma,,,Emidio Morganti,Relatório da Partida,
,,,,,,,,,,,
2,sáb,2009-08-29,,Bari,0–0,Bologna,,,Massimiliano Velotto,Relatório da Partida,
2,sáb,2009-08-29,,Milan,0–4,Inter,,,Nicola Rizzoli,Relatório da Partida,
2,dom,2009-08-30,,Sampdoria,3–1,Udinese,,,Matteo Trefoloni,Relatório da Partida,
2,dom,2009-08-30,,Roma,1–3,Juventus,,,Gianluca Rocchi,Relatório da Partida,
2,dom,2009-08-30,,Atalanta,0–1,Genoa,,,Max Saccani,Relatório da Partida,
2,dom,2009-08-30,,Napoli,3–1,Livorno,,,Andrea De Marco,Relatório da Partida,
2,dom,2009-08-30,,Chievo,1–2,Lazio,,,Antonio Damato,Relatório da Partida,
2,dom,2009-08-30,,Parma,2–1,Catania,,,Paolo Mazzoleni,Relatório da Partida,
2,dom,2009-08-30,,Cagliari,1–3,Siena,,,Riccardo Pinzani,Relatório da Partida,
2,dom,2009-08-30,,Fiorentina,1–0,Palermo,,,Daniele Orsato,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2009-09-12,,Livorno,0–0,Milan,,,Daniele Orsato,Relatório da Partida,
3,sáb,2009-09-12,,Lazio,0–2,Juventus,,,Andrea Gervasoni,Relatório da Partida,
3,dom,2009-09-13,,Bologna,0–2,Chievo,,,Paolo Mazzoleni,Relatório da Partida,
3,dom,2009-09-13,,Fiorentina,1–0,Cagliari,,,Luca Banti,Relatório da Partida,
3,dom,2009-09-13,,Palermo,1–1,Bari,,,Andrea Romeo,Relatório da Partida,
3,dom,2009-09-13,,Inter,2–0,Parma,,,Roberto Rosetti,Relatório da Partida,
3,dom,2009-09-13,,Atalanta,0–1,Sampdoria,,,Gabriele Gava,Relatório da Partida,
3,dom,2009-09-13,,Genoa,4–1,Napoli,,,Paolo Tagliavento,Relatório da Partida,
3,dom,2009-09-13,,Udinese,4–2,Catania,,,Mauro Bergonzi,Relatório da Partida,
3,dom,2009-09-13,,Siena,1–2,Roma,,,Antonio Damato,Relatório da Partida,
,,,,,,,,,,,
4,sáb,2009-09-19,,Napoli,0–0,Udinese,,,Max Saccani,Relatório da Partida,
4,sáb,2009-09-19,,Juventus,2–0,Livorno,,,Nicola Pierpaoli,Relatório da Partida,
4,dom,2009-09-20,,Cagliari,1–2,Inter,,,Daniele Orsato,Relatório da Partida,
4,dom,2009-09-20,,Catania,1–1,Lazio,,,Emidio Morganti,Relatório da Partida,
4,dom,2009-09-20,,Parma,1–0,Palermo,,,Antonio Giannoccaro,Relatório da Partida,
4,dom,2009-09-20,,Chievo,3–1,Genoa,,,Gianluca Rocchi,Relatório da Partida,
4,dom,2009-09-20,,Sampdoria,4–1,Siena,,,Carmine Russo,Relatório da Partida,
4,dom,2009-09-20,,Bari,4–1,Atalanta,,,Dino Tommasi,Relatório da Partida,
4,dom,2009-09-20,,Roma,3–1,Fiorentina,,,Nicola Rizzoli,Relatório da Partida,
4,dom,2009-09-20,,Milan,1–0,Bologna,,,Paolo Valeri,Relatório da Partida,
,,,,,,,,,,,
5,qua,2009-09-23,,Palermo,3–3,Roma,,,Gianluca Rocchi,Relatório da Partida,
5,qua,2009-09-23,,Siena,0–0,Chievo,,,Nicola Stefanini,Relatório da Partida,
5,qua,2009-09-23,,Atalanta,0–0,Catania,,,Andrea De Marco,Relatório da Partida,
5,qua,2009-09-23,,Inter,3–1,Napoli,,,Matteo Trefoloni,Relatório da Partida,
5,qua,2009-09-23,,Udinese,1–0,Milan,,,Luca Banti,Relatório da Partida,
5,qua,2009-09-23,,Fiorentina,2–0,Sampdoria,,,Emidio Morganti,Relatório da Partida,
5,qua,2009-09-23,,Bologna,2–0,Livorno,,,Mauro Bergonzi,Relatório da Partida,
5,qua,2009-09-23,,Bari,0–1,Cagliari,,,Gianpaolo Calvarese,Relatório da Partida,
5,qua,2009-09-23,,Lazio,1–2,Parma,,,Massimiliano Velotto,Relatório da Partida,
5,qui,2009-09-24,,Genoa,2–2,Juventus,,,Max Saccani,Relatório da Partida,
,,,,,,,,,,,
6,sáb,2009-09-26,,Sampdoria,1–0,Inter,,,Nicola Rizzoli,Relatório da Partida,
6,sáb,2009-09-26,,Livorno,0–1,Fiorentina,,,Antonio Damato,Relatório da Partida,
6,dom,2009-09-27,,Juventus,1–1,Bologna,,,Carmine Russo,Relatório da Partida,
6,dom,2009-09-27,,Udinese,2–0,Genoa,,,Matteo Trefoloni,Relatório da Partida,
6,dom,2009-09-27,,Parma,0–2,Cagliari,,,Dino Tommasi,Relatório da Partida,
6,dom,2009-09-27,,Lazio,1–1,Palermo,,,Mauro Bergonzi,Relatório da Partida,
6,dom,2009-09-27,,Milan,0–0,Bari,,,Christian Brighi,Relatório da Partida,
6,dom,2009-09-27,,Napoli,2–1,Siena,,,Paolo Valeri,Relatório da Partida,
6,dom,2009-09-27,,Catania,1–1,Roma,,,Max Saccani,Relatório da Partida,
6,dom,2009-09-27,,Chievo,1–1,Atalanta,,,Maurizio Ciampi,Relatório da Partida,
,,,,,,,,,,,
7,sáb,2009-10-03,,Bari,0–0,Catania,,,Andrea Romeo,Relatório da Partida,
7,sáb,2009-10-03,,Inter,2–1,Udinese,,,Mauro Bergonzi,Relatório da Partida,
7,dom,2009-10-04,,Roma,2–1,Napoli,,,Luca Banti,Relatório da Partida,
7,dom,2009-10-04,,Siena,0–0,Livorno,,,Antonio Giannoccaro,Relatório da Partida,
7,dom,2009-10-04,,Bologna,1–3,Genoa,,,Andrea Gervasoni,Relatório da Partida,
7,dom,2009-10-04,,Atalanta,1–1,Milan,,,Gianluca Rocchi,Relatório da Partida,
7,dom,2009-10-04,,Cagliari,1–2,Chievo,,,Sebastiano Peruzzo,Relatório da Partida,
7,dom,2009-10-04,,Sampdoria,1–1,Parma,,,Paolo Mazzoleni,Relatório da Partida,
7,dom,2009-10-04,,Palermo,2–0,Juventus,,,Daniele Orsato,Relatório da Partida,
7,dom,2009-10-04,,Fiorentina,0–0,Lazio,,,Christian Brighi,Relatório da Partida,
,,,,,,,,,,,
8,sáb,2009-10-17,,Juventus,1–1,Fiorentina,,,Nicola Rizzoli,Relatório da Partida,
8,sáb,2009-10-17,,Genoa,0–5,Inter,,,Emidio Morganti,Relatório da Partida,
8,dom,2009-10-18,,Parma,1–0,Siena,,,Christian Brighi,Relatório da Partida,
8,dom,2009-10-18,,Udinese,1–3,Atalanta,,,Nicola Pierpaoli,Relatório da Partida,
8,dom,2009-10-18,,Lazio,1–1,Sampdoria,,,Daniele Orsato,Relatório da Partida,
8,dom,2009-10-18,,Livorno,1–2,Palermo,,,Paolo Tagliavento,Relatório da Partida,
8,dom,2009-10-18,,Catania,2–1,Cagliari,,,Antonio Damato,Relatório da Partida,
8,dom,2009-10-18,,Milan,2–1,Roma,,,Roberto Rosetti,Relatório da Partida,
8,dom,2009-10-18,,Chievo,1–2,Bari,,,Renzo Candussio,Relatório da Partida,
8,dom,2009-10-18,,Napoli,2–1,Bologna,,,Andrea De Marco,Relatório da Partida,
,,,,,,,,,,,
9,sáb,2009-10-24,,Sampdoria,4–1,Bologna,,,Max Saccani,Relatório da Partida,
9,sáb,2009-10-24,,Inter,2–1,Catania,,,Antonio Giannoccaro,Relatório da Partida,
9,dom,2009-10-25,,Bari,2–0,Lazio,,,Sebastiano Peruzzo,Relatório da Partida,
9,dom,2009-10-25,,Siena,0–1,Juventus,,,Paolo Tagliavento,Relatório da Partida,
9,dom,2009-10-25,,Atalanta,3–1,Parma,,,Andrea Romeo,Relatório da Partida,
9,dom,2009-10-25,,Chievo,1–2,Milan,,,Mauro Bergonzi,Relatório da Partida,
9,dom,2009-10-25,,Fiorentina,0–1,Napoli,,,Emidio Morganti,Relatório da Partida,
9,dom,2009-10-25,,Palermo,1–0,Udinese,,,Andrea De Marco,Relatório da Partida,
9,dom,2009-10-25,,Roma,0–1,Livorno,,,Carmine Russo,Relatório da Partida,
9,dom,2009-10-25,,Cagliari,3–2,Genoa,,,Gabriele Gava,Relatório da Partida,
,,,,,,,,,,,
10,qua,2009-10-28,,Parma,2–0,Bari,,,Leonardo Baracani,Relatório da Partida,
10,qua,2009-10-28,,Lazio,0–1,Cagliari,,,Christian Brighi,Relatório da Partida,
10,qua,2009-10-28,,Bologna,2–1,Siena,,,Andrea Romeo,Relatório da Partida,
10,qua,2009-10-28,,Juventus,5–1,Sampdoria,,,Gianluca Rocchi,Relatório da Partida,
10,qua,2009-10-28,,Napoli,2–2,Milan,,,Nicola Rizzoli,Relatório da Partida,
10,qua,2009-10-28,,Livorno,1–0,Atalanta,,,Mauro Bergonzi,Relatório da Partida,
10,qua,2009-10-28,,Catania,1–2,Chievo,,,Paolo Valeri,Relatório da Partida,
10,qua,2009-10-28,,Genoa,2–1,Fiorentina,,,Max Saccani,Relatório da Partida,
10,qua,2009-10-28,,Udinese,2–1,Roma,,,Antonio Damato,Relatório da Partida,
10,qui,2009-10-29,,Inter,5–3,Palermo,,,Paolo Tagliavento,Relatório da Partida,
,,,,,,,,,,,
11,sáb,2009-10-31,,Milan,2–0,Parma,,,Carmine Russo,Relatório da Partida,
11,sáb,2009-10-31,,Juventus,2–3,Napoli,,,Antonio Damato,Relatório da Partida,
11,dom,2009-11-01,,Livorno,0–2,Inter,,,Emidio Morganti,Relatório da Partida,
11,dom,2009-11-01,,Sampdoria,0–0,Bari,,,Paolo Valeri,Relatório da Partida,
11,dom,2009-11-01,,Roma,2–1,Bologna,,,Leonardo Baracani,Relatório da Partida,
11,dom,2009-11-01,,Chievo,1–1,Udinese,,,Andrea Gervasoni,Relatório da Partida,
11,dom,2009-11-01,,Siena,1–1,Lazio,,,Nicola Pierpaoli,Relatório da Partida,
11,dom,2009-11-01,,Cagliari,3–0,Atalanta,,,Massimiliano Velotto,Relatório da Partida,
11,dom,2009-11-01,,Fiorentina,3–1,Catania,,,Paolo Tagliavento,Relatório da Partida,
11,dom,2009-11-01,,Palermo,0–0,Genoa,,,Christian Brighi,Relatório da Partida,
,,,,,,,,,,,
12,sáb,2009-11-07,,Catania,0–0,Napoli,,,Roberto Rosetti,Relatório da Partida,
12,sáb,2009-11-07,,Atalanta,2–5,Juventus,,,Emidio Morganti,Relatório da Partida,
12,dom,2009-11-08,,Inter,1–1,Roma,,,Gianluca Rocchi,Relatório da Partida,
12,dom,2009-11-08,,Bologna,3–1,Palermo,,,Domenico Celi,Relatório da Partida,
12,dom,2009-11-08,,Cagliari,2–0,Sampdoria,,,Andrea Gervasoni,Relatório da Partida,
12,dom,2009-11-08,,Genoa,4–2,Siena,,,Leonardo Baracani,Relatório da Partida,
12,dom,2009-11-08,,Parma,2–0,Chievo,,,Riccardo Pinzani,Relatório da Partida,
12,dom,2009-11-08,,Udinese,0–1,Fiorentina,,,Carmine Russo,Relatório da Partida,
12,dom,2009-11-08,,Bari,1–0,Livorno,,,Paolo Mazzoleni,Relatório da Partida,
12,dom,2009-11-08,,Lazio,1–2,Milan,,,Antonio Damato,Relatório da Partida,
,,,,,,,,,,,
13,sáb,2009-11-21,,Fiorentina,2–3,Parma,,,Daniele Orsato,Relatório da Partida,
13,sáb,2009-11-21,,Bologna,1–3,Inter,,,Roberto Rosetti,Relatório da Partida,
13,dom,2009-11-22,,Palermo,1–1,Catania,,,Andrea Romeo,Relatório da Partida,
13,dom,2009-11-22,,Roma,3–1,Bari,,,Gabriele Gava,Relatório da Partida,
13,dom,2009-11-22,,Napoli,0–0,Lazio,,,Max Saccani,Relatório da Partida,
13,dom,2009-11-22,,Milan,4–3,Cagliari,,,Paolo Valeri,Relatório da Partida,
13,dom,2009-11-22,,Juventus,1–0,Udinese,,,Christian Brighi,Relatório da Partida,
13,dom,2009-11-22,,Siena,0–2,Atalanta,,,Antonio Giannoccaro,Relatório da Partida,
13,dom,2009-11-22,,Sampdoria,2–1,Chievo,,,Carmine Russo,Relatório da Partida,
13,dom,2009-11-22,,Livorno,2–1,Genoa,,,Nicola Rizzoli,Relatório da Partida,
,,,,,,,,,,,
14,sáb,2009-11-28,,Genoa,3–0,Sampdoria,,,Roberto Rosetti,Relatório da Partida,
14,sáb,2009-11-28,,Udinese,2–0,Livorno,,,Maurizio Ciampi,Relatório da Partida,
14,dom,2009-11-29,,Lazio,0–0,Bologna,,,Mauro Bergonzi,Relatório da Partida,
14,dom,2009-11-29,,Bari,2–1,Siena,,,Renzo Candussio,Relatório da Partida,
14,dom,2009-11-29,,Catania,0–2,Milan,,,Christian Brighi,Relatório da Partida,
14,dom,2009-11-29,,Chievo,1–0,Palermo,,,Paolo Mazzoleni,Relatório da Partida,
14,dom,2009-11-29,,Cagliari,2–0,Juventus,,,Andrea De Marco,Relatório da Partida,
14,dom,2009-11-29,,Atalanta,1–2,Roma,,,Paolo Tagliavento,Relatório da Partida,
14,dom,2009-11-29,,Parma,1–1,Napoli,,,Matteo Trefoloni,Relatório da Partida,
14,dom,2009-11-29,,Inter,1–0,Fiorentina,,,Antonio Damato,Relatório da Partida,
,,,,,,,,,,,
15,sáb,2009-12-05,,Juventus,2–1,Inter,,,Max Saccani,Relatório da Partida,
15,sáb,2009-12-05,,Milan,3–0,Sampdoria,,,Gianluca Rocchi,Relatório da Partida,
15,dom,2009-12-06,,Roma,1–0,Lazio,,,Nicola Rizzoli,Relatório da Partida,
