Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2018-08-18,18:00 (13:00),Chievo,1.1,2–3,3.1,Juventus,29.500,Stadio Marc'Antonio Bentegodi,Fabrizio Pasqua,Relatório da Partida,
1,sáb,2018-08-18,20:30 (15:30),Lazio,1.0,1–2,1.4,Napoli,32.000,Stadio Olimpico,Luca Banti,Relatório da Partida,
1,dom,2018-08-19,18:00 (13:00),Torino,0.6,0–1,1.2,Roma,18.000,Stadio Olimpico di Torino,Marco Di Bello,Relatório da Partida,
1,dom,2018-08-19,20:30 (15:30),Sassuolo,1.5,1–0,1.1,Inter,19.104,Stadio Città del Tricolore,Maurizio Mariani,Relatório da Partida,
1,dom,2018-08-19,20:30 (15:30),Empoli,1.3,2–0,0.9,Cagliari,7.335,Stadio Carlo Castellani,Daniele Chiffi,Relatório da Partida,
1,dom,2018-08-19,20:30 (15:30),Parma,1.5,2–2,1.9,Udinese,13.141,Stadio Ennio Tardini,Giampaolo Calvarese,Relatório da Partida,
1,dom,2018-08-19,20:30 (15:30),Bologna,1.0,0–1,0.6,SPAL,21.158,Stadio Renato Dall'Ara,Piero Giacomelli,Relatório da Partida,
1,seg,2018-08-20,20:30 (15:30),Atalanta,2.2,4–0,0.3,Frosinone,18.217,Stadio Atleti Azzurri d'Italia,Marco Piccinini,Relatório da Partida,
,,,,,,,,,,,,,
2,sáb,2018-08-25,18:00 (13:00),Juventus,1.6,2–0,0.3,Lazio,40.171,Allianz Stadium,Massimiliano Irrati,Relatório da Partida,
2,sáb,2018-08-25,20:30 (15:30),Napoli,1.4,3–2,0.7,Milan,34.474,Stadio San Paolo,Paolo Valeri,Relatório da Partida,
2,dom,2018-08-26,18:00 (13:00),SPAL,1.4,1–0,0.3,Parma,6.000,Stadio Paolo Mazza,Daniele Orsato,Relatório da Partida,
2,dom,2018-08-26,20:30 (15:30),Cagliari,1.3,2–2,1.8,Sassuolo,14.432,Sardegna Arena,Luca Pairetto,Relatório da Partida,
2,dom,2018-08-26,20:30 (15:30),Genoa,1.1,2–1,1.5,Empoli,19.523,Stadio Comunale Luigi Ferraris,Livio Marinelli,Relatório da Partida,
2,dom,2018-08-26,20:30 (15:30),Inter,0.8,2–2,1.1,Torino,59.135,Stadio Giuseppe Meazza,Paolo Mazzoleni,Relatório da Partida,
2,dom,2018-08-26,20:30 (15:30),Frosinone,1.7,0–0,0.9,Bologna,,Stadio Olimpico di Torino,Gianluca Manganiello,Relatório da Partida,
2,dom,2018-08-26,20:30 (15:30),Udinese,1.8,1–0,0.7,Sampdoria,15.770,Dacia Arena,Federico La Penna,Relatório da Partida,
2,dom,2018-08-26,20:30 (15:30),Fiorentina,3.5,6–1,0.7,Chievo,27.790,Stadio Artemio Franchi,Rosario Abisso,Relatório da Partida,
2,seg,2018-08-27,20:30 (15:30),Roma,2.5,3–3,3.0,Atalanta,41.725,Stadio Olimpico,Michael Fabbri,Relatório da Partida,
,,,,,,,,,,,,,
3,sex,2018-08-31,20:30 (15:30),Milan,1.9,2–1,0.3,Roma,57.789,Stadio Giuseppe Meazza,Marco Guida,Relatório da Partida,
3,sáb,2018-09-01,18:00 (13:00),Bologna,0.5,0–3,1.9,Inter,26.082,Stadio Renato Dall'Ara,Marco Di Bello,Relatório da Partida,
3,sáb,2018-09-01,20:30 (15:30),Parma,1.9,1–2,2.3,Juventus,20.814,Stadio Ennio Tardini,Daniele Doveri,Relatório da Partida,
3,dom,2018-09-02,18:00 (13:00),Fiorentina,0.9,1–0,0.2,Udinese,31.009,Stadio Artemio Franchi,Antonio Giua,Relatório da Partida,
3,dom,2018-09-02,20:30 (15:30),Torino,2.0,1–0,0.9,SPAL,17.785,Stadio Olimpico di Torino,Fabrizio Pasqua,Relatório da Partida,
3,dom,2018-09-02,20:30 (15:30),Chievo,1.1,0–0,1.2,Empoli,8.100,Stadio Marc'Antonio Bentegodi,Piero Giacomelli,Relatório da Partida,
3,dom,2018-09-02,20:30 (15:30),Sampdoria,0.8,3–0,1.2,Napoli,19.835,Stadio Comunale Luigi Ferraris,Davide Massa,Relatório da Partida,
3,dom,2018-09-02,20:30 (15:30),Atalanta,0.4,0–1,0.3,Cagliari,17.709,Stadio Atleti Azzurri d'Italia,Fabio Maresca,Relatório da Partida,
3,dom,2018-09-02,20:30 (15:30),Lazio,2.6,1–0,0.5,Frosinone,34.465,Stadio Olimpico,Giampaolo Calvarese,Relatório da Partida,
3,dom,2018-09-02,20:30 (15:30),Sassuolo,1.7,5–3,1.9,Genoa,9.740,Stadio Città del Tricolore,Gianluca Rocchi,Relatório da Partida,
,,,,,,,,,,,,,
4,sáb,2018-09-15,15:00 (10:00),Inter,1.3,0–1,0.3,Parma,59.648,Stadio Giuseppe Meazza,Gianluca Manganiello,Relatório da Partida,
4,sáb,2018-09-15,18:00 (13:00),Napoli,1.4,1–0,0.3,Fiorentina,20.131,Stadio San Paolo,Michael Fabbri,Relatório da Partida,
4,sáb,2018-09-15,20:30 (15:30),Frosinone,0.7,0–5,2.5,Sampdoria,12.502,Stadio Benito Stirpe,Massimiliano Irrati,Relatório da Partida,
4,dom,2018-09-16,12:30 (07:30),Roma,2.4,2–2,1.6,Chievo,39.849,Stadio Olimpico,Paolo Mazzoleni,Relatório da Partida,
4,dom,2018-09-16,15:00 (10:00),Udinese,0.3,1–1,0.7,Torino,18.813,Dacia Arena,Paolo Valeri,Relatório da Partida,
4,dom,2018-09-16,15:00 (10:00),Juventus,2.4,2–1,0.8,Sassuolo,40.563,Allianz Stadium,Daniele Chiffi,Relatório da Partida,
4,dom,2018-09-16,15:00 (10:00),Genoa,0.7,1–0,0.8,Bologna,20.032,Stadio Comunale Luigi Ferraris,Luca Banti,Relatório da Partida,
4,dom,2018-09-16,18:00 (13:00),Empoli,1.6,0–1,2.4,Lazio,10.832,Stadio Carlo Castellani,Daniele Orsato,Relatório da Partida,
4,dom,2018-09-16,20:30 (15:30),Cagliari,0.5,1–1,2.1,Milan,16.201,Sardegna Arena,Rosario Abisso,Relatório da Partida,
4,seg,2018-09-17,20:30 (15:30),SPAL,1.7,2–0,0.8,Atalanta,14.153,Stadio Paolo Mazza,Maurizio Mariani,Relatório da Partida,
,,,,,,,,,,,,,
1,qua,2018-09-19,19:00 (14:00),Sampdoria,0.5,1–1,1.4,Fiorentina,18.334,Stadio Comunale Luigi Ferraris,Fabio Maresca,Relatório da Partida,
,,,,,,,,,,,,,
5,sex,2018-09-21,20:30 (15:30),Sassuolo,2.2,3–1,1.1,Empoli,10.183,Stadio Città del Tricolore,Federico La Penna,Relatório da Partida,
5,sáb,2018-09-22,15:00 (10:00),Parma,2.3,2–0,0.9,Cagliari,14.852,Stadio Ennio Tardini,Giampaolo Calvarese,Relatório da Partida,
5,sáb,2018-09-22,18:00 (13:00),Fiorentina,1.5,3–0,0.6,SPAL,30.068,Stadio Artemio Franchi,Davide Ghersini,Relatório da Partida,
5,sáb,2018-09-22,20:30 (15:30),Sampdoria,0.4,0–1,0.9,Inter,22.835,Stadio Comunale Luigi Ferraris,Marco Guida,Relatório da Partida,
5,dom,2018-09-23,12:30 (07:30),Torino,1.2,1–3,2.0,Napoli,22.655,Stadio Olimpico di Torino,Massimiliano Irrati,Relatório da Partida,
5,dom,2018-09-23,15:00 (10:00),Lazio,2.9,4–1,0.7,Genoa,30.000,Stadio Olimpico,Rosario Abisso,Relatório da Partida,
5,dom,2018-09-23,15:00 (10:00),Bologna,0.9,2–0,2.9,Roma,20.067,Stadio Renato Dall'Ara,Davide Massa,Relatório da Partida,
5,dom,2018-09-23,15:00 (10:00),Chievo,1.5,0–2,1.1,Udinese,10.000,Stadio Marc'Antonio Bentegodi,Luca Pairetto,Relatório da Partida,
5,dom,2018-09-23,18:00 (13:00),Milan,2.6,2–2,1.8,Atalanta,51.684,Stadio Giuseppe Meazza,Daniele Doveri,Relatório da Partida,
5,dom,2018-09-23,20:30 (15:30),Frosinone,0.1,0–2,3.0,Juventus,16.000,Stadio Benito Stirpe,Piero Giacomelli,Relatório da Partida,
,,,,,,,,,,,,,
6,ter,2018-09-25,21:00 (16:00),Inter,1.7,2–1,1.8,Fiorentina,55.840,Stadio Giuseppe Meazza,Paolo Mazzoleni,Relatório da Partida,
6,qua,2018-09-26,19:00 (14:00),Udinese,0.9,1–2,1.6,Lazio,19.455,Dacia Arena,Fabio Maresca,Relatório da Partida,
6,qua,2018-09-26,21:00 (16:00),Napoli,2.6,3–0,0.1,Parma,29.354,Stadio San Paolo,Daniele Doveri,Relatório da Partida,
6,qua,2018-09-26,21:00 (16:00),Genoa,1.3,2–0,1.2,Chievo,18.969,Stadio Comunale Luigi Ferraris,Fabrizio Pasqua,Relatório da Partida,
6,qua,2018-09-26,21:00 (16:00),Cagliari,1.0,0–0,2.1,Sampdoria,14.038,Sardegna Arena,Gianluca Rocchi,Relatório da Partida,
6,qua,2018-09-26,21:00 (16:00),Roma,2.4,4–0,0.6,Frosinone,34.380,Stadio Olimpico,Marco Di Bello,Relatório da Partida,
6,qua,2018-09-26,21:00 (16:00),Juventus,1.1,2–0,0.3,Bologna,38.472,Allianz Stadium,Maurizio Mariani,Relatório da Partida,
6,qua,2018-09-26,21:00 (16:00),Atalanta,0.8,0–0,0.3,Torino,18.144,Stadio Atleti Azzurri d'Italia,Daniele Orsato,Relatório da Partida,
6,qui,2018-09-27,19:00 (14:00),SPAL,1.1,0–2,1.9,Sassuolo,13.945,Stadio Paolo Mazza,Eugenio Abbattista,Relatório da Partida,
6,qui,2018-09-27,21:00 (16:00),Empoli,1.2,1–1,1.4,Milan,13.890,Stadio Carlo Castellani,Michael Fabbri,Relatório da Partida,
,,,,,,,,,,,,,
7,sáb,2018-09-29,15:00 (10:00),Roma,2.0,3–1,0.9,Lazio,47.600,Stadio Olimpico,Gianluca Rocchi,Relatório da Partida,
7,sáb,2018-09-29,18:00 (13:00),Juventus,2.8,3–1,1.5,Napoli,39.252,Allianz Stadium,Luca Banti,Relatório da Partida,
7,sáb,2018-09-29,20:30 (15:30),Inter,1.0,2–0,0.2,Cagliari,55.486,Stadio Giuseppe Meazza,Davide Massa,Relatório da Partida,
7,dom,2018-09-30,12:30 (07:30),Bologna,1.6,2–1,1.0,Udinese,19.039,Stadio Renato Dall'Ara,Gianluca Manganiello,Relatório da Partida,
7,dom,2018-09-30,15:00 (10:00),Chievo,0.3,0–1,1.6,Torino,10.500,Stadio Marc'Antonio Bentegodi,Marco Guida,Relatório da Partida,
7,dom,2018-09-30,15:00 (10:00),Fiorentina,1.1,2–0,0.8,Atalanta,30.535,Stadio Artemio Franchi,Paolo Valeri,Relatório da Partida,
7,dom,2018-09-30,15:00 (10:00),Frosinone,1.6,1–2,1.0,Genoa,12.384,Stadio Benito Stirpe,Juan Sacchi,Relatório da Partida,
7,dom,2018-09-30,18:00 (13:00),Parma,0.6,1–0,1.3,Empoli,14.584,Stadio Ennio Tardini,Luca Pairetto,Relatório da Partida,
7,dom,2018-09-30,20:30 (15:30),Sassuolo,0.7,1–4,1.2,Milan,16.795,Stadio Città del Tricolore,Piero Giacomelli,Relatório da Partida,
7,seg,2018-10-01,20:30 (15:30),Sampdoria,1.2,2–1,1.3,SPAL,17.885,Stadio Comunale Luigi Ferraris,Federico La Penna,Relatório da Partida,
,,,,,,,,,,,,,
8,sex,2018-10-05,20:30 (15:30),Torino,1.8,3–2,2.0,Frosinone,16.554,Stadio Olimpico di Torino,Ivan Pezzuto,Relatório da Partida,
8,sáb,2018-10-06,15:00 (10:00),Cagliari,1.7,2–0,0.4,Bologna,15.019,Sardegna Arena,Fabrizio Pasqua,Relatório da Partida,
8,sáb,2018-10-06,18:00 (13:00),Udinese,0.7,0–2,2.3,Juventus,25.000,Dacia Arena,Rosario Abisso,Relatório da Partida,
8,sáb,2018-10-06,20:30 (15:30),Empoli,2.1,0–2,0.8,Roma,10.670,Stadio Carlo Castellani,Paolo Mazzoleni,Relatório da Partida,
8,dom,2018-10-07,12:30 (07:30),Genoa,1.8,1–3,1.2,Parma,20.511,Stadio Comunale Luigi Ferraris,Daniele Chiffi,Relatório da Partida,
8,dom,2018-10-07,15:00 (10:00),Milan,2.7,3–1,0.5,Chievo,48.088,Stadio Giuseppe Meazza,Giampaolo Calvarese,Relatório da Partida,
8,dom,2018-10-07,15:00 (10:00),Atalanta,2.0,0–1,0.5,Sampdoria,19.164,Stadio Atleti Azzurri d'Italia,Massimiliano Irrati,Relatório da Partida,
8,dom,2018-10-07,15:00 (10:00),Lazio,1.5,1–0,1.1,Fiorentina,30.000,Stadio Olimpico,Daniele Orsato,Relatório da Partida,
8,dom,2018-10-07,18:00 (13:00),Napoli,1.5,2–0,1.0,Sassuolo,29.647,Stadio San Paolo,Marco Di Bello,Relatório da Partida,
8,dom,2018-10-07,20:30 (15:30),SPAL,3.0,1–2,1.4,Inter,15.750,Stadio Paolo Mazza,Fabio Maresca,Relatório da Partida,
,,,,,,,,,,,,,
9,sáb,2018-10-20,15:00 (10:00),Roma,1.6,0–2,1.6,SPAL,39.838,Stadio Olimpico,Luca Pairetto,Relatório da Partida,
9,sáb,2018-10-20,18:00 (13:00),Juventus,1.8,1–1,1.0,Genoa,37.735,Allianz Stadium,Federico La Penna,Relatório da Partida,
9,sáb,2018-10-20,20:30 (15:30),Udinese,2.0,0–3,1.8,Napoli,21.449,Dacia Arena,Maurizio Mariani,Relatório da Partida,
9,dom,2018-10-21,12:30 (07:30),Frosinone,1.1,3–3,1.6,Empoli,12.287,Stadio Benito Stirpe,Daniele Orsato,Relatório da Partida,
9,dom,2018-10-21,15:00 (10:00),Chievo,0.9,1–5,2.1,Atalanta,12.000,Stadio Marc'Antonio Bentegodi,Gianluca Rocchi,Relatório da Partida,
9,dom,2018-10-21,15:00 (10:00),Bologna,1.5,2–2,0.9,Torino,23.245,Stadio Renato Dall'Ara,Luca Banti,Relatório da Partida,
9,dom,2018-10-21,15:00 (10:00),Parma,0.2,0–2,2.8,Lazio,18.969,Stadio Ennio Tardini,Michael Fabbri,Relatório da Partida,
9,dom,2018-10-21,18:00 (13:00),Fiorentina,1.6,1–1,1.0,Cagliari,31.567,Stadio Artemio Franchi,Piero Giacomelli,Relatório da Partida,
