;Class.;Jogador;Nação;Pos.;Equipe;Idade;Nascimento;90s;CrtsA;CrtV;2CrdY;Fts;FltsP;Desativado;Crz;Crts;TklW;Pênaltis convertidos;PKcon;OG;Recuperação;GanhosAereos;PerdasAereos;Ganhos%;Goleiro;Atacante;Lateral;Zagueiro;Tipo
0;1;Abner;br BRA;ZG;Atl Paranaense;22;2000;21.6;6;0;0;24;12;1;47;36;26;0.0;0.0;0;137.0;20.0;28.0;41.7;0;0;0;1;Defesa
1;2;Adryelson;br BRA;ZG;Botafogo (RJ);24;1998;14.1;1;0;0;10;4;2;0;20;11;0.0;0.0;0;49.0;68.0;32.0;68.0;0;0;0;1;Defesa
2;3;Adson;br BRA;ATLT;Corinthians;22;2000;13.8;2;0;0;25;20;3;15;13;22;0.0;0.0;0;54.0;8.0;19.0;29.6;0;1;1;0;Ataque
3;4;Airton;br BRA;AT;Atl Goianiense;23;1999;18.4;3;0;0;32;22;1;79;10;24;0.0;0.0;0;59.0;19.0;22.0;46.3;0;1;0;0;Ataque
4;5;Carlos Alberto;br BRA;ATLT;América (MG);20;2002;1.7;1;0;0;1;1;0;3;4;1;0.0;0.0;0;5.0;4.0;9.0;30.8;0;1;1;0;Ataque
5;6;Yuri Alberto;br BRA;AT;Corinthians;21;2001;14.1;3;1;1;24;23;6;7;2;8;0.0;0.0;0;31.0;33.0;46.0;41.8;0;1;0;0;Ataque
6;7;Ale;br BRA;LT;América (MG);32;1990;19.8;1;1;0;41;44;0;23;28;20;0.0;1.0;0;172.0;26.0;27.0;49.1;0;0;1;0;Defesa
7;8;Alexandre Alemão;br BRA;AT;Internacional;24;1998;21.4;2;0;0;52;65;2;12;4;11;3.0;0.0;0;46.0;45.0;77.0;36.9;0;1;0;0;Ataque
8;9;Alerrandro;br BRA;AT;Bragantino;22;2000;9.3;2;0;0;11;11;4;2;4;1;0.0;0.0;0;20.0;10.0;29.0;25.6;0;1;0;0;Ataque
9;10;Alesson;br BRA;LTAT;Cuiabá;23;1999;11.4;3;0;0;18;7;0;33;3;9;0.0;0.0;0;41.0;16.0;27.0;37.2;0;1;1;0;Ataque
