;datetime;home_team;away_team;home_goal;away_goal;season;stage
0;2013-02-12 20:15:00;Nacional (URU);Barcelona-EQU;2;2;2013;group stage
1;2013-02-13 22:00:00;Boca Juniors;Toluca;1;2;2013;group stage
2;2013-02-19 23:45:00;Toluca;Nacional (URU);2;3;2013;group stage
3;2013-02-27 19:45:00;Barcelona-EQU;Boca Juniors;1;2;2013;group stage
4;2013-03-07 00:15:00;Toluca;Barcelona-EQU;1;1;2013;group stage
5;2013-03-07 21:30:00;Boca Juniors;Nacional (URU);0;1;2013;group stage
6;2013-03-13 19:45:00;Barcelona-EQU;Toluca;0;0;2013;group stage
7;2013-03-14 19:15:00;Nacional (URU);Boca Juniors;0;1;2013;group stage
8;2013-04-03 19:45:00;Boca Juniors;Barcelona-EQU;1;0;2013;group stage
9;2013-04-04 19:15:00;Nacional (URU);Toluca;4;0;2013;group stage
10;2013-04-17 19:45:00;Barcelona-EQU;Nacional (URU);1;0;2013;group stage
11;2013-04-17 19:45:00;Toluca;Boca Juniors;3;2;2013;group stage
12;2013-02-14 22:00:00;Palmeiras;Sporting Cristal;2;1;2013;group stage
13;2013-02-21 21:30:00;Tigre;Libertad;0;2;2013;group stage
14;2013-02-28 17:00:00;Sporting Cristal;Tigre;2;0;2013;group stage
15;2013-02-28 19:15:00;Libertad;Palmeiras;2;0;2013;group stage
16;2013-03-06 19:45:00;Libertad;Sporting Cristal;2;2;2013;group stage
17;2013-03-06 19:45:00;Tigre;Palmeiras;1;0;2013;group stage
18;2013-03-12 19:15:00;Sporting Cristal;Libertad;1;1;2013;group stage
19;2013-04-02 21:30:00;Palmeiras;Tigre;2;0;2013;group stage
20;2013-04-09 21:30:00;Tigre;Sporting Cristal;3;1;2013;group stage
21;2013-04-11 19:15:00;Palmeiras;Libertad;1;0;2013;group stage
22;2013-04-18 19:45:00;Libertad;Tigre;3;5;2013;group stage
23;2013-04-18 19:45:00;Sporting Cristal;Palmeiras;1;0;2013;group stage
24;2013-02-13 22:00:00;Atlético-MG;São Paulo;2;1;2013;group stage
25;2013-02-14 22:00:00;The Strongest;Arsenal Sarandí;2;1;2013;group stage
26;2013-02-26 21:45:00;Arsenal Sarandí;Atlético-MG;2;5;2013;group stage
27;2013-02-28 21:30:00;São Paulo;The Strongest;2;1;2013;group stage
28;2013-03-07 19:15:00;São Paulo;Arsenal Sarandí;1;1;2013;group stage
29;2013-03-07 21:30:00;Atlético-MG;The Strongest;2;1;2013;group stage
30;2013-03-13 22:00:00;The Strongest;Atlético-MG;1;2;2013;group stage
31;2013-03-14 21:30:00;Arsenal Sarandí;São Paulo;2;1;2013;group stage
32;2013-04-03 22:00:00;Atlético-MG;Arsenal Sarandí;5;2;2013;group stage
33;2013-04-04 21:30:00;The Strongest;São Paulo;2;1;2013;group stage
34;2013-04-17 22:00:00;Arsenal Sarandí;The Strongest;2;1;2013;group stage
35;2013-04-17 22:00:00;São Paulo;Atlético-MG;2;0;2013;group stage
36;2013-02-12 22:30:00;Emelec;Vélez Sarsfield;1;0;2013;group stage
37;2013-02-13 19:30:00;Deportes Iquique;Peñarol;1;2;2013;group stage
38;2013-02-19 19:15:00;Peñarol;Emelec;1;0;2013;group stage
39;2013-02-20 19:45:00;Vélez Sarsfield;Deportes Iquique;3;0;2013;group stage
40;2013-02-26 19:30:00;Peñarol;Vélez Sarsfield;0;1;2013;group stage
41;2013-02-27 19:45:00;Deportes Iquique;Emelec;2;0;2013;group stage
42;2013-03-05 23:45:00;Emelec;Deportes Iquique;2;1;2013;group stage
43;2013-03-12 19:15:00;Vélez Sarsfield;Peñarol;3;1;2013;group stage
44;2013-04-02 19:15:00;Deportes Iquique;Vélez Sarsfield;1;3;2013;group stage
45;2013-04-02 23:45:00;Emelec;Peñarol;2;0;2013;group stage
46;2013-04-09 19:15:00;Peñarol;Deportes Iquique;3;0;2013;group stage
47;2013-04-09 19:15:00;Vélez Sarsfield;Emelec;0;0;2013;group stage
48;2013-02-19 21:30:00;Millonarios;Tijuana;0;1;2013;group stage
