competition_id,pretty_name,type,sub_type,country_id,country_name,country_latitude,country_longitude,domestic_league_code,name,confederation,url
L1,Bundesliga,domestic_league,first_tier,40,Germany,51.1638175,10.4478313,L1,bundesliga,europa,https://www.transfermarkt.co.uk/bundesliga/startseite/wettbewerb/L1
DFB,Dfb Pokal,domestic_cup,domestic_cup,40,Germany,51.1638175,10.4478313,L1,dfb-pokal,europa,https://www.transfermarkt.co.uk/dfb-pokal/startseite/wettbewerb/DFB
DFL,Dfl Supercup,other,domestic_super_cup,40,Germany,51.1638175,10.4478313,L1,dfl-supercup,europa,https://www.transfermarkt.co.uk/dfl-supercup/startseite/wettbewerb/DFL
NL1,Eredivisie,domestic_league,first_tier,122,Netherlands,52.2434979,5.6343227,NL1,eredivisie,europa,https://www.transfermarkt.co.uk/eredivisie/startseite/wettbewerb/NL1
NLP,Toto Knvb Beker,domestic_cup,domestic_cup,122,Netherlands,52.2434979,5.6343227,NL1,toto-knvb-beker,europa,https://www.transfermarkt.co.uk/toto-knvb-beker/startseite/wettbewerb/NLP
NLSC,Johan Cruijff Schaal,other,domestic_super_cup,122,Netherlands,52.2434979,5.6343227,NL1,johan-cruijff-schaal,europa,https://www.transfermarkt.co.uk/johan-cruijff-schaal/startseite/wettbewerb/NLSC
BE1,Jupiler Pro League,domestic_league,first_tier,19,Belgium,50.6402809,4.6667145,BE1,jupiler-pro-league,europa,https://www.transfermarkt.co.uk/jupiler-pro-league/startseite/wettbewerb/BE1
BESC,Belgian Supercup,other,domestic_super_cup,19,Belgium,50.6402809,4.6667145,BE1,belgian-supercup,europa,https://www.transfermarkt.co.uk/belgian-supercup/startseite/wettbewerb/BESC
ES1,Laliga,domestic_league,first_tier,157,Spain,39.3260685,-4.8379791,ES1,laliga,europa,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1
CDR,Copa Del Rey,domestic_cup,domestic_cup,157,Spain,39.3260685,-4.8379791,ES1,copa-del-rey,europa,https://www.transfermarkt.co.uk/copa-del-rey/startseite/wettbewerb/CDR
