;ano_campeonato;data;horario;rodada;estadio;arbitro;publico;publico_max;time_man;time_vis;tecnico_man;tecnico_vis;colocacao_man;colocacao_vis;valor_equipe_titular_man;valor_equipe_titular_vis;idade_media_titular_man;idade_media_titular_vis;gols_man;gols_vis;gols_1_tempo_man;gols_1_tempo_vis;escanteios_man;escanteios_vis;faltas_man;faltas_vis;chutes_bola_parada_man;chutes_bola_parada_vis;defesas_man;defesas_vis;impedimentos_man;impedimentos_vis;chutes_man;chutes_vis;chutes_fora_man;chutes_fora_vis
0;2003;2003-03-29;08:00;1;Estádio Brinco de Ouro da Princesa;;;;Guarani;Vasco da Gama;;;;;;;;;4.0;2.0;;;;;;;;;;;;;;;;
1;2003;2003-03-29;08:00;1;Arena da Baixada;;;;Atlético-PR;Grêmio;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;
2;2003;2003-03-30;09:00;1;Estádio Jornalista Mário Filho;;;;Flamengo;Coritiba FC;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;
3;2003;2003-03-30;09:00;1;Estádio de Hailé Pinheiro;;;;Goiás EC;Paysandu SC;;;;;;;;;2.0;2.0;;;;;;;;;;;;;;;;
4;2003;2003-03-30;09:00;1;Estádio Beira-Rio;;;;Internacional;Ponte Preta;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;
5;2003;2003-03-30;09:00;1;Estádio Heriberto Hülse;;;;Criciúma EC;Fluminense;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;
6;2003;2003-03-30;09:00;1;Estádio Alfredo Jaconi;;;;Juventude;São Paulo;;;;;;;;;2.0;2.0;;;;;;;;;;;;;;;;
7;2003;2003-03-30;09:00;1;Estádio Governador Plácido Castelo;;;;Fortaleza;EC Bahia;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;
8;2003;2003-03-30;09:00;1;Estádio Governador Magalhães Pinto;;;;Cruzeiro;São Caetano;;;;;;;;;2.0;2.0;;;;;;;;;;;;;;;;
9;2003;2003-03-30;09:00;1;Estádio Manoel Barradas;;;;EC Vitória;Figueirense FC;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;
10;2003;2003-03-30;11:00;1;Estádio Urbano Caldeira;;;;Santos FC;Paraná;;;;;;;;;2.0;2.0;;;;;;;;;;;;;;;;
11;2003;2003-03-30;11:00;1;Neo Química Arena;;;;Corinthians;Atlético-MG;;;;;;;;;0.0;3.0;;;;;;;;;;;;;;;;
12;2003;2003-04-05;09:00;2;Estádio Jornalista Mário Filho;;;;Fluminense;Fortaleza;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;
13;2003;2003-04-05;09:00;2;Estádio Raimundo Sampaio;;;;Atlético-MG;Santos FC;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;
14;2003;2003-04-05;09:00;2;Estádio Major Antônio Couto Pereira;;;;Coritiba FC;Internacional;;;;;;;;;0.0;1.0;;;;;;;;;;;;;;;;
